compound_name,Concentration uM,morphology score,infection rate (%),Cell model,chembl_id,is_CP_hit,is_324_hit,top_74_rank,is_74_hit,is_5_hit,HIT_antiviral_AB_Y/N,HIT_CPE_Y/N,HIT_cellpaiting_Y/N,is_AB_hit,is_CPE_hit,Concentration CPE (nM),Inhibition of cytopathicity (%)
4-galactosyllactose,10.0,-0.07,114.0,Vero E6,CHEMBL4303712,False,False,,False,False,N,N,N,False,False,100.0,1.58
4-hydroxy-phenazone,10.0,-0.07,116.0,Vero E6,CHEMBL1526434,False,False,,False,False,N,N,N,False,False,100.0,4.58
4-iodo-6-phenylpyrimidine,10.0,0.25,81.5,Vero E6,CHEMBL497802,False,False,,False,False,N,N,N,False,False,833.33,1.94
4-iodo-L-phenylalanine,10.0,0.2,105.0,Vero E6,CHEMBL1235284,False,False,,False,False,N,N,N,False,False,1.0,0.62
4-methylgenistein,10.0,0.14,103.0,Vero E6,CHEMBL131921,False,False,,False,False,N,N,N,False,False,10000.0,2.29
4-methylhistamine,10.0,0.11,99.5,Vero E6,CHEMBL275443,False,False,,False,False,N,N,N,False,False,10000.0,0.0
4-mu-8C,10.0,0.21,106.0,Vero E6,CHEMBL272357,False,False,,False,False,N,N,N,False,False,10000.0,6.12
4-phenolsulfonic-acid,10.0,-0.09,113.5,Vero E6,CHEMBL1398657,False,False,,False,False,N,N,N,False,False,100.0,0.79
"4-phenyl-1,2,3,4-tetrahydroisoquinoline",10.0,-0.26,113.5,Vero E6,CHEMBL1316537,False,False,,False,False,N,N,N,False,False,833.33,8.92
4-propylbenzoic-acid,10.0,0.19,95.0,Vero E6,CHEMBL116159,False,False,,False,False,N,N,N,False,False,10000.0,1.58
4-pyrimidinecarbonitrile,10.0,0.08,97.0,Vero E6,CHEMBL3352956,False,False,,False,False,N,N,N,False,False,100.0,4.16
4-tert-butylphenol,10.0,0.09,110.0,Vero E6,CHEMBL16217,False,False,,False,False,N,N,N,False,False,10000.0,2.59
4BP-TQS,10.0,-0.06,95.0,Vero E6,CHEMBL4303195,False,False,,False,False,N,N,N,False,False,8.33,1.37
4E1RCat,10.0,0.18,93.0,Vero E6,CHEMBL4577351,False,False,,False,False,N,N,N,False,False,100.0,1.72
4EGI-1,10.0,0.23,102.5,Vero E6,CHEMBL3310197,False,False,,False,False,N,N,N,False,False,1.0,4.49
