compound_name,Concentration uM,morphology score,infection rate (%),Cell model,chembl_id,is_CP_hit,is_324_hit,top_74_rank,is_74_hit,is_5_hit
"6,7-dehydro-17-acetoxy-progesterone",10.0,0.11,105.5,Vero E6,CHEMBL4303675,False,False,,False,False
6-aminochrysene,10.0,0.14,101.0,Vero E6,CHEMBL313154,False,False,,False,False
6-benzylaminopurine,10.0,0.19,99.0,Vero E6,CHEMBL228862,False,False,,False,False
6-chloromelatonin,10.0,0.02,103.5,Vero E6,CHEMBL34730,False,False,,False,False
6-diazo-5-oxo-L-norleucine,10.0,0.2,93.5,Vero E6,CHEMBL4303391,False,False,,False,False
6-iodo-nordihydrocapsaicin,10.0,0.04,90.0,Vero E6,CHEMBL177809,False,False,,False,False
"7,8,9,10-tetrahydroazepino[2,1-b]quinazolin-12(6H)-one",10.0,-0.1,105.5,Vero E6,CHEMBL1192114,False,False,,False,False
7-aminocephalosporanic-acid,10.0,-0.04,104.5,Vero E6,CHEMBL1615585,False,False,,False,False
7-chlorokynurenic-acid,10.0,0.03,110.0,Vero E6,CHEMBL311389,False,False,,False,False
7-hydroxy-DPAT,10.0,-0.36,122.0,Vero E6,CHEMBL1255966,False,False,,False,False
7-hydroxy-PIPAT,10.0,-0.1,118.5,Vero E6,CHEMBL110239,False,False,,False,False
7-keto-DHEA,10.0,-0.18,113.5,Vero E6,CHEMBL1875999,False,False,,False,False
7-methoxytacrine,10.0,0.6,64.5,Vero E6,CHEMBL1256415,True,True,37.0,True,False
7-nitroindazole,10.0,0.05,100.0,Vero E6,CHEMBL247378,False,False,,False,False
8-M-PDOT,10.0,-0.05,93.5,Vero E6,CHEMBL99377,False,False,,False,False
8-bromo-cAMP,10.0,0.42,102.0,Vero E6,CHEMBL1626177,False,False,,False,False
8-bromo-cGMP,10.0,0.05,97.0,Vero E6,CHEMBL1741141,False,False,,False,False
8-hydroxy-DPAT,10.0,0.06,98.5,Vero E6,CHEMBL56,False,False,,False,False
8-hydroxy-PIPAT,10.0,-0.05,105.5,Vero E6,CHEMBL284716,False,False,,False,False
9-aminoacridine,0.83,0.1,105.5,Vero E6,CHEMBL43184,False,False,,False,False
9-anthracenecarboxylic-acid,10.0,0.25,89.5,Vero E6,CHEMBL1513985,False,False,,False,False
A-1070722,10.0,-0.05,101.0,Vero E6,CHEMBL1982660,False,False,,False,False
A-1120,10.0,0.0,109.0,Vero E6,CHEMBL1230001,False,False,,False,False
A-317491,10.0,0.19,95.5,Vero E6,CHEMBL596234,False,False,,False,False
A-33903,10.0,0.19,105.0,Vero E6,CHEMBL204738,False,False,,False,False
A-366,10.0,0.02,105.5,Vero E6,CHEMBL3109630,False,False,,False,False
A-412997,10.0,-0.1,108.0,Vero E6,CHEMBL375596,False,False,,False,False
A-438079,10.0,0.04,99.5,Vero E6,CHEMBL377219,False,False,,False,False
A-582941,10.0,0.15,91.0,Vero E6,CHEMBL526281,False,False,,False,False
A-674563,10.0,0.11,92.5,Vero E6,CHEMBL379218,False,False,,False,False
A-7,10.0,0.53,52.0,Vero E6,CHEMBL1331148,True,True,59.0,True,False
A-769662,10.0,0.09,106.5,Vero E6,CHEMBL512504,False,False,,False,False
A-784168,10.0,0.13,108.0,Vero E6,CHEMBL482834,False,False,,False,False
A-803467,10.0,0.03,111.5,Vero E6,CHEMBL250699,False,False,,False,False
A-804598,10.0,0.1,98.5,Vero E6,CHEMBL1628690,False,False,,False,False
A-839977,10.0,-0.06,109.5,Vero E6,CHEMBL1628691,False,False,,False,False
A-867744,10.0,0.1,102.5,Vero E6,CHEMBL490153,False,False,,False,False
A-887826,10.0,-0.15,108.0,Vero E6,CHEMBL4303253,False,False,,False,False
A-939572,10.0,-0.1,114.0,Vero E6,CHEMBL469169,False,False,,False,False
A-967079,10.0,0.04,109.5,Vero E6,CHEMBL3697701,False,False,,False,False
A-987306,10.0,0.25,83.5,Vero E6,CHEMBL1935450,False,False,,False,False
A12B4C3,10.0,0.5,69.5,Vero E6,CHEMBL4303462,True,True,73.0,True,False
A205804,10.0,-0.15,114.5,Vero E6,CHEMBL267678,False,False,,False,False
A61603,10.0,0.03,110.5,Vero E6,CHEMBL109783,False,False,,False,False
A66,10.0,0.16,94.5,Vero E6,CHEMBL3218581,False,False,,False,False
A740003,10.0,0.3,97.0,Vero E6,CHEMBL255787,False,False,,False,False
A77636,0.83,-0.07,115.0,Vero E6,CHEMBL291143,False,False,,False,False
A922500,10.0,0.2,100.0,Vero E6,CHEMBL430405,False,False,,False,False
A922500,10.0,-0.09,105.0,Vero E6,CHEMBL430405,False,False,,False,False
AA-29504,10.0,-0.02,108.0,Vero E6,CHEMBL4303215,False,False,,False,False
ABACAVIR SULFATE,10.0,0.04,101.5,Vero E6,CHEMBL4303288,False,False,,False,False
ABC-294640,10.0,0.01,97.0,Vero E6,CHEMBL2158685,False,False,,False,False
ABT-202,10.0,0.02,102.5,Vero E6,CHEMBL5498530,False,False,,False,False
ABT-239,10.0,0.44,80.5,Vero E6,CHEMBL351231,False,False,,False,False
ABT-491,10.0,0.16,105.5,Vero E6,CHEMBL369225,False,False,,False,False
ABT-639,10.0,0.06,104.0,Vero E6,CHEMBL3590674,False,False,,False,False
ABT-702,10.0,0.05,107.5,Vero E6,CHEMBL66089,False,False,,False,False
ABT-724,10.0,0.14,103.5,Vero E6,CHEMBL440687,False,False,,False,False
ABT-737,10.0,0.1,107.5,Vero E6,CHEMBL376408,False,False,,False,False
ABT-751,10.0,-0.21,106.0,Vero E6,CHEMBL20684,False,False,,False,False
AC-186,10.0,0.09,93.0,Vero E6,CHEMBL4303689,False,False,,False,False
AC-261066,10.0,-0.13,108.0,Vero E6,CHEMBL198997,False,False,,False,False
AC-264613,10.0,-0.16,112.0,Vero E6,CHEMBL494502,False,False,,False,False
AC-55541,10.0,0.03,98.5,Vero E6,CHEMBL493076,False,False,,False,False
AC-55649,10.0,-0.01,96.0,Vero E6,CHEMBL425027,False,False,,False,False
AC-710,10.0,-0.02,101.0,Vero E6,CHEMBL2206278,False,False,,False,False
AC-7954-(+/-),10.0,-0.1,106.5,Vero E6,CHEMBL192359,False,False,,False,False
ACDPP,10.0,0.23,79.0,Vero E6,CHEMBL1616372,False,False,,False,False
ACPC,10.0,0.18,109.0,Vero E6,CHEMBL265325,False,False,,False,False
ACT-132577,10.0,0.07,120.0,Vero E6,CHEMBL2165326,False,False,,False,False
ACT-462206,10.0,-0.09,113.0,Vero E6,CHEMBL3597952,False,False,,False,False
ACTB-1003,0.83,0.23,96.5,Vero E6,CHEMBL3991934,False,False,,False,False
ACY-1215,0.83,-0.13,106.5,Vero E6,CHEMBL2364628,False,False,,False,False
AD-5467,10.0,0.02,101.5,Vero E6,CHEMBL164603,False,False,,False,False
ADD-233089,10.0,0.02,98.5,Vero E6,CHEMBL1516308,False,False,,False,False
ADENOSINE TRIPHOSPHATE DISODIUM,10.0,-0.01,99.5,Vero E6,CHEMBL2106579,False,False,,False,False
ADL5859,10.0,0.01,121.5,Vero E6,CHEMBL494480,False,False,,False,False
ADX-10059,10.0,0.22,97.5,Vero E6,CHEMBL3545036,False,False,,False,False
ADX-47273,10.0,0.24,93.5,Vero E6,CHEMBL381055,False,False,,False,False
AEE788,10.0,-0.14,124.5,Vero E6,CHEMBL587723,False,False,,False,False
AEG3482,10.0,0.29,97.5,Vero E6,CHEMBL19231,False,False,,False,False
AF38469,10.0,-0.21,109.0,Vero E6,CHEMBL3098745,False,False,,False,False
AFN-1252,10.0,0.18,94.0,Vero E6,CHEMBL1652621,False,False,,False,False
AG-1024,10.0,0.14,107.5,Vero E6,CHEMBL2218926,False,False,,False,False
AG-14361,10.0,0.09,97.5,Vero E6,CHEMBL65892,False,False,,False,False
AG-490,10.0,0.21,98.0,Vero E6,CHEMBL56543,False,False,,False,False
AG-555,0.83,-0.07,119.0,Vero E6,CHEMBL53898,False,False,,False,False
AG-556,0.83,0.17,89.5,Vero E6,CHEMBL440298,False,False,,False,False
AGI-5198,10.0,0.18,107.5,Vero E6,CHEMBL2180727,False,False,,False,False
AGI-6780,10.0,0.2,101.5,Vero E6,CHEMBL3392845,False,False,,False,False
AGN-192403,10.0,0.11,82.0,Vero E6,CHEMBL430112,False,False,,False,False
AGN-194310,10.0,-0.01,111.0,Vero E6,CHEMBL4303670,False,False,,False,False
AGN-195183,10.0,-0.14,110.5,Vero E6,CHEMBL107430,False,False,,False,False
AGP-103,10.0,0.06,108.0,Vero E6,CHEMBL1173474,False,False,,False,False
AH-7614,10.0,0.17,95.5,Vero E6,CHEMBL3311302,False,False,,False,False
AH11110,10.0,0.08,104.5,Vero E6,CHEMBL1356346,False,False,,False,False
AH6809,10.0,0.1,100.5,Vero E6,CHEMBL1317823,False,False,,False,False
AI-10-49,10.0,-0.25,116.5,Vero E6,CHEMBL4303677,False,False,,False,False
AIM-100,10.0,0.0,105.5,Vero E6,CHEMBL247070,False,False,,False,False
AJ76-(+),10.0,0.05,100.5,Vero E6,CHEMBL27441,False,False,,False,False
AK-7,10.0,0.06,107.0,Vero E6,CHEMBL3222141,False,False,,False,False
AL-8697,10.0,-0.2,107.5,Vero E6,CHEMBL2087742,False,False,,False,False
ALS-8112,10.0,-0.01,103.5,Vero E6,CHEMBL3417243,False,False,,False,False
ALX-5407,10.0,0.04,108.5,Vero E6,CHEMBL180966,False,False,,False,False
AM-1241,10.0,0.61,72.5,Vero E6,CHEMBL408430,True,True,71.0,True,False
AM-24,10.0,-0.08,112.0,Vero E6,CHEMBL81721,False,False,,False,False
AM-251,10.0,0.25,93.0,Vero E6,CHEMBL285932,False,False,,False,False
AM-281,10.0,0.11,87.5,Vero E6,CHEMBL476833,False,False,,False,False
AM-404,10.0,0.01,106.0,Vero E6,CHEMBL39878,False,False,,False,False
AM-580,10.0,-0.33,112.0,Vero E6,CHEMBL69367,False,False,,False,False
AM-630,10.0,0.12,102.0,Vero E6,CHEMBL181633,False,False,,False,False
AM095,0.83,0.15,111.5,Vero E6,CHEMBL2182052,False,False,,False,False
AM679,10.0,-0.1,111.5,Vero E6,CHEMBL595092,False,False,,False,False
AMD-3465,10.0,0.13,100.5,Vero E6,CHEMBL477121,False,False,,False,False
AMD11070,10.0,0.04,102.5,Vero E6,CHEMBL518924,False,False,,False,False
AMG-208,10.0,0.03,109.5,Vero E6,CHEMBL496102,False,False,,False,False
AMG-232,10.0,-0.12,114.0,Vero E6,CHEMBL3125702,False,False,,False,False
AMG-337,10.0,0.08,105.0,Vero E6,CHEMBL3785909,False,False,,False,False
AMG-487-(+/-),10.0,0.18,91.5,Vero E6,CHEMBL397983,False,False,,False,False
AMG-487-(+/-),10.0,0.14,106.0,Vero E6,CHEMBL397983,False,False,,False,False
AMG-517,10.0,0.16,108.5,Vero E6,CHEMBL229430,False,False,,False,False
AMG-548,10.0,0.65,35.0,Vero E6,CHEMBL585902,True,True,,False,False
AMG-837,10.0,0.08,108.5,Vero E6,CHEMBL1829173,False,False,,False,False
AMG-925,10.0,0.0,110.0,Vero E6,CHEMBL3237719,False,False,,False,False
AMG-9810,10.0,-0.07,109.5,Vero E6,CHEMBL195789,False,False,,False,False
AMG-PERK-44,10.0,0.06,76.0,Vero E6,CHEMBL3407862,False,True,,False,False
AMG319,10.0,0.06,109.0,Vero E6,CHEMBL4303596,False,False,,False,False
AMG319,10.0,-0.09,118.5,Vero E6,CHEMBL4303596,False,False,,False,False
AMG458,10.0,0.32,98.0,Vero E6,CHEMBL460472,False,False,,False,False
AMG900,0.83,0.2,19.5,Vero E6,CHEMBL2140408,False,True,,False,False
AMI-1,10.0,0.02,101.5,Vero E6,CHEMBL3109656,False,False,,False,False
AMN-082,10.0,0.14,101.0,Vero E6,CHEMBL1387826,False,False,,False,False
AMPA-(RS),10.0,0.04,99.5,Vero E6,CHEMBL14815,False,False,,False,False
AMPA-(RS),10.0,0.03,109.5,Vero E6,CHEMBL14815,False,False,,False,False
AMZ30,10.0,-0.18,109.0,Vero E6,CHEMBL1550905,False,False,,False,False
AN2718,10.0,-0.1,106.5,Vero E6,CHEMBL211538,False,False,,False,False
ANA-12,10.0,0.02,99.5,Vero E6,CHEMBL4303548,False,False,,False,False
ANR-94,10.0,0.24,88.0,Vero E6,CHEMBL4303273,False,False,,False,False
AP-18,10.0,0.11,97.5,Vero E6,CHEMBL593902,False,False,,False,False
AP26113,0.83,-0.07,120.0,Vero E6,CHEMBL3397300,False,False,,False,False
APC-100,10.0,-0.08,115.5,Vero E6,CHEMBL37676,False,False,,False,False
APD597,10.0,-0.01,100.5,Vero E6,CHEMBL1951032,False,False,,False,False
APD668,10.0,0.08,98.0,Vero E6,CHEMBL1775179,False,False,,False,False
API-001,10.0,0.05,99.5,Vero E6,CHEMBL2170062,False,False,,False,False
