compound_name,chembl_id,is_AB_hit,infection rate (%)
ABT-724,CHEMBL440687,False,103.5
ABT-737,CHEMBL376408,False,107.5
ABT-751,CHEMBL20684,False,106.0
AC-186,CHEMBL4303689,False,93.0
AC-261066,CHEMBL198997,False,108.0
AC-264613,CHEMBL494502,False,112.0
AC-55541,CHEMBL493076,False,98.5
AC-55649,CHEMBL425027,False,96.0
AC-710,CHEMBL2206278,False,101.0
AC-7954-(+/-),CHEMBL192359,False,106.5
ACDPP,CHEMBL1616372,False,79.0
ACPC,CHEMBL265325,False,109.0
ACT-132577,CHEMBL2165326,False,120.0
ACT-462206,CHEMBL3597952,False,113.0
ACTB-1003,CHEMBL3991934,False,96.5
ACY-1215,CHEMBL2364628,False,106.5
AD-5467,CHEMBL164603,False,101.5
ADD-233089,CHEMBL1516308,False,98.5
ADENOSINE TRIPHOSPHATE DISODIUM,CHEMBL2106579,False,99.5
ADL5859,CHEMBL494480,False,121.5
ADX-10059,CHEMBL3545036,False,97.5
ADX-47273,CHEMBL381055,False,93.5
AEE788,CHEMBL587723,False,124.5
AEG3482,CHEMBL19231,False,97.5
AF38469,CHEMBL3098745,False,109.0
AFN-1252,CHEMBL1652621,False,94.0
AG-1024,CHEMBL2218926,False,107.5
AG-14361,CHEMBL65892,False,97.5
AG-490,CHEMBL56543,False,98.0
AG-555,CHEMBL53898,False,119.0
AG-556,CHEMBL440298,False,89.5
AGI-5198,CHEMBL2180727,False,107.5
AGI-6780,CHEMBL3392845,False,101.5
AGN-192403,CHEMBL430112,False,82.0
AGN-194310,CHEMBL4303670,False,111.0
AGN-195183,CHEMBL107430,False,110.5
AGP-103,CHEMBL1173474,False,108.0
AH-7614,CHEMBL3311302,False,95.5
AH11110,CHEMBL1356346,False,104.5
AH6809,CHEMBL1317823,False,100.5
AI-10-49,CHEMBL4303677,False,116.5
AIM-100,CHEMBL247070,False,105.5
AJ76-(+),CHEMBL27441,False,100.5
AK-7,CHEMBL3222141,False,107.0
AL-8697,CHEMBL2087742,False,107.5
ALS-8112,CHEMBL3417243,False,103.5
ALX-5407,CHEMBL180966,False,108.5
AM-1241,CHEMBL408430,False,72.5
AM-24,CHEMBL81721,False,112.0
AM-251,CHEMBL285932,False,93.0
AM-281,CHEMBL476833,False,87.5
AM-404,CHEMBL39878,False,106.0
AM-580,CHEMBL69367,False,112.0
AM-630,CHEMBL181633,False,102.0
AM095,CHEMBL2182052,False,111.5
AM679,CHEMBL595092,False,111.5
AMD-3465,CHEMBL477121,False,100.5
AMD11070,CHEMBL518924,False,102.5
AMG-208,CHEMBL496102,False,109.5
AMG-232,CHEMBL3125702,False,114.0
AMG-337,CHEMBL3785909,False,105.0
AMG-487-(+/-),CHEMBL397983,False,91.5
AMG-487-(+/-),CHEMBL397983,False,106.0
AMG-517,CHEMBL229430,False,108.5
AMG-548,CHEMBL585902,True,35.0
AMG-837,CHEMBL1829173,False,108.5
AMG-925,CHEMBL3237719,False,110.0
AMG-9810,CHEMBL195789,False,109.5
AMG-PERK-44,CHEMBL3407862,False,76.0
AMG319,CHEMBL4303596,False,109.0
AMG319,CHEMBL4303596,False,118.5
AMG458,CHEMBL460472,False,98.0
AMG900,CHEMBL2140408,True,19.5
AMI-1,CHEMBL3109656,False,101.5
AMN-082,CHEMBL1387826,False,101.0
AMPA-(RS),CHEMBL14815,False,109.5
AMPA-(RS),CHEMBL14815,False,99.5
AMZ30,CHEMBL1550905,False,109.0
AN2718,CHEMBL211538,False,106.5
ANA-12,CHEMBL4303548,False,99.5
ANR-94,CHEMBL4303273,False,88.0
AP-18,CHEMBL593902,False,97.5
AP26113,CHEMBL3397300,False,120.0
APC-100,CHEMBL37676,False,115.5
APD597,CHEMBL1951032,False,100.5
APD668,CHEMBL1775179,False,98.0
API-001,CHEMBL2170062,False,99.5
API-1,CHEMBL4303566,False,105.5
APR-246,CHEMBL3186011,False,80.5
APTO-253,CHEMBL4297261,False,102.5
APY-29,CHEMBL1231018,False,110.0
APY0201,CHEMBL4303292,True,50.5
APcK-110,CHEMBL4303655,False,105.5
AQ-RA741,CHEMBL43383,False,108.0
AR-12,CHEMBL1650595,False,99.5
AR-42,CHEMBL191482,False,103.5
AR-A014418,CHEMBL259850,False,106.5
AR-C155858,CHEMBL375166,False,106.0
ARC-239,CHEMBL362051,False,100.0
ARQ-092,CHEMBL4297188,True,29.5
ARQ-621,CHEMBL4303449,False,112.5
ARRY-334543,CHEMBL2103842,False,97.0
ARTENIMOL,CHEMBL307261,False,84.0
ARV-825,CHEMBL4226052,False,100.5
AS-1269574,CHEMBL1956589,False,101.0
AS-1892802,CHEMBL2023158,False,94.0
AS-1949490,CHEMBL2337806,False,94.5
AS-2034178,CHEMBL4303234,False,109.5
AS-2444697,CHEMBL3546136,False,117.5
AS-252424,CHEMBL379156,False,108.0
AS-604850,CHEMBL1231533,False,105.5
AS-703026,CHEMBL2107832,False,113.5
AS-77,CHEMBL444449,False,98.5
ASA-404,CHEMBL71263,False,114.0
ASC-J9,CHEMBL128748,False,80.5
ASCORBIC ACID,CHEMBL196,False,111.0
ASP-2535,CHEMBL4303475,False,103.0
ASP3026,CHEMBL3545360,False,71.0
AST-1306,CHEMBL1947204,False,101.5
AT-1015,CHEMBL4303347,False,100.0
AT-7519,CHEMBL445813,False,109.0
AT-9283,CHEMBL495727,False,118.5
AT13148,CHEMBL3544960,False,108.5
AT13387,CHEMBL1214827,False,118.0
AT7867,CHEMBL428462,False,112.5
ATB-346,CHEMBL4211107,False,97.0
ATN-161,CHEMBL4297456,False,93.0
ATPA,CHEMBL113180,False,106.0
ATROPINE SULFATE,CHEMBL3185794,False,105.5
AV-608,CHEMBL1765508,False,81.5
AVE-0991,CHEMBL4303593,False,97.0
AVL-292,CHEMBL3301625,False,116.0
AVN-944,CHEMBL3349001,False,97.0
AY-9944,CHEMBL3775982,True,49.0
AZ-10417808,CHEMBL586058,False,108.5
AZ-10606120,CHEMBL562308,False,115.5
AZ-12080282,CHEMBL2059865,False,97.0
AZ-628,CHEMBL2144069,False,93.5
AZ191,CHEMBL3421968,False,100.5
AZ20,CHEMBL2325697,False,105.5
AZ3146,CHEMBL2140523,False,98.0
AZ505,CHEMBL2169920,False,100.0
AZ5104,CHEMBL3353411,False,112.5
AZ960,CHEMBL1774055,False,110.0
AZD1080,CHEMBL1969664,False,100.0
AZD1208,CHEMBL2048872,False,109.5
AZD1283,CHEMBL2419490,False,108.0
AZD1446,CHEMBL2179529,False,105.0
AZD1480,CHEMBL1231124,False,108.5
AZD1981,CHEMBL1914489,False,97.0
AZD2014,CHEMBL2336325,False,108.5
AZD2461,CHEMBL4098253,False,103.0
AZD2858,CHEMBL2177161,False,99.0
AZD3264,CHEMBL4303437,False,104.0
AZD3463,CHEMBL4203266,False,102.5
AZD3514,CHEMBL2346976,False,98.5
AZD3759,CHEMBL3623290,False,113.5
AZD3839,CHEMBL2177913,False,92.5
AZD3965,CHEMBL3335793,False,101.0
AZD3988,CHEMBL2036730,False,91.0
AZD4282,CHEMBL773,False,103.5
AZD4547,CHEMBL3348846,False,79.5
AZD5363,CHEMBL2325741,False,120.5
AZD5438,CHEMBL488436,False,99.5
AZD5582,CHEMBL3108827,False,112.5
AZD6482,CHEMBL2165191,False,105.0
AZD6738,CHEMBL3648328,False,90.0
AZD7545,CHEMBL1231132,False,104.5
AZD7687,CHEMBL2178944,False,89.5
AZD7762,CHEMBL2041933,False,106.0
AZD8055,CHEMBL1801204,False,105.0
AZD8186,CHEMBL3408248,False,122.0
AZD8330,CHEMBL3182621,False,107.0
AZD8835,CHEMBL3894518,False,94.0
AZD8931,CHEMBL2408045,False,107.0
AZD9272,CHEMBL2164551,False,89.0
AZD9496,CHEMBL3623004,False,105.0
AZD9668,CHEMBL3617964,False,106.0
AZM-475271,CHEMBL426161,False,114.0
Abiraterone (CB-7598),CHEMBL254328,False,115.0
BAG-956,CHEMBL2134545,False,109.0
BAM7,CHEMBL3187660,False,91.5
BAN-ORL-24,CHEMBL201945,False,63.5
BAX-channel-blocker,CHEMBL1402326,False,104.5
BAY-11-7082,CHEMBL403183,False,112.5
BAY-11-7085,CHEMBL270299,False,89.5
BAY-41-2272,CHEMBL353759,False,102.0
BAY-60-6583,CHEMBL4202825,False,107.5
BAY-60-7550,CHEMBL370962,False,100.0
BAY-61-3606,CHEMBL541400,True,27.0
BAY-85-8050,CHEMBL1650467,False,110.0
BAY-87-2243,CHEMBL4303384,False,98.5
BAY-K-8644-(+/-),CHEMBL513599,False,93.5
BAY-K-8644-(+/-),CHEMBL513599,False,90.0
BAY-W-9798,CHEMBL4303598,False,113.5
BAZ2-ICR,CHEMBL4296718,False,97.0
BC-11,CHEMBL4303420,False,109.0
BCI-540,CHEMBL37935,False,103.0
BCTC,CHEMBL441472,True,58.5
BCX-1470,CHEMBL2220483,False,76.0
BD-1008,CHEMBL20377,False,74.5
BD-1047,CHEMBL143360,False,82.5
BD-1063,CHEMBL73824,False,94.0
BE-2254,CHEMBL1515808,False,106.5
BET-BAY-002,CHEMBL3785668,False,108.5
