chembl_id,mechanism_of_action,action_type,target_chembl_id,protein_symbol,ensg_id,disease_id,protein_association_score,moa_association_score_x,moa_protein_count_x,moa_protein_symbols_x,moa_association_score_y,moa_protein_count_y,moa_protein_symbols_y
CHEMBL252164,Heat shock protein HSP90 inhibitor,INHIBITOR,CHEMBL2095165,HSP90AA1,ENSG00000080824,MONDO_0100096,0.27675609658130823,,,,0.27675609658130823,1.0,HSP90AA1
CHEMBL1879463,Serine/threonine-protein kinase mTOR inhibitor,INHIBITOR,CHEMBL2842,MTOR,ENSG00000198793,MONDO_0100096,0.1041835974237717,,,,0.1041835974237717,1.0,MTOR
CHEMBL1879463,PI3-kinase class I inhibitor,INHIBITOR,CHEMBL3559703,PIK3R1,ENSG00000145675,MONDO_0100096,0.09571858132522278,,,,0.09571858132522278,1.0,PIK3R1
CHEMBL1852688,Fibroblast growth factor receptor inhibitor,INHIBITOR,CHEMBL2095217,FGFR3,ENSG00000068078,MONDO_0100096,0.2955957393193681,,,,0.2955957393193681,1.0,FGFR3
CHEMBL3752910,,,,,,MONDO_0100096,,,,,,,
CHEMBL1092926,,,,,,MONDO_0100096,,,,,,,
CHEMBL1738731,,,,,,MONDO_0100096,,,,,,,
CHEMBL77538,,,,,,MONDO_0100096,,,,,,,
CHEMBL3360305,,,,,,MONDO_0100096,,,,,,,
CHEMBL458997,,,,,,MONDO_0100096,,,,,,,
CHEMBL509032,,,,,,MONDO_0100096,,,,,,,
CHEMBL2419706,,,,,,MONDO_0100096,,,,,,,
CHEMBL3609372,,,,,,MONDO_0100096,,,,,,,
CHEMBL1627056,,,,,,MONDO_0100096,,,,,,,
CHEMBL3586462,,,,,,MONDO_0100096,,,,,,,
CHEMBL757,,,,,,MONDO_0100096,,,,,,,
CHEMBL1200946,Androgen Receptor agonist,AGONIST,CHEMBL1871,AR,ENSG00000169083,MONDO_0100096,0.4069456596579756,,,,0.4069456596579756,1.0,AR
CHEMBL451532,,,,,,MONDO_0100096,,,,,,,
CHEMBL1159645,,,,,,MONDO_0100096,,,,,,,
CHEMBL1162,Progesterone receptor agonist,AGONIST,CHEMBL208,PGR,ENSG00000082175,MONDO_0100096,0.08650399627078231,,,,0.08650399627078231,1.0,PGR
CHEMBL4303507,,,,,,MONDO_0100096,,,,,,,
CHEMBL1234916,,,,,,MONDO_0100096,,,,,,,
CHEMBL3581764,,,,,,MONDO_0100096,,,,,,,
CHEMBL407874,,,,,,MONDO_0100096,,,,,,,
