rank,chembl_id,composite_final,direct_antiviral_score,focus_protein_score,focus_pathway_score,focus_moa_score,focus_protein_hits,focus_pathways,focus_moas,veroE6_relevant,mechanistic_rationale,compound_name,is_CPE_hit,Concentration CPE (nM),Inhibition of cytopathicity (%),in_prior,in_cpe,prior_norm,cpe_norm,composite_rerank_score,rerank
12.0,CHEMBL572878,1.2893678518225051,0.3638038509630142,0.0360726078658958,2.293092777578477,0.0,AAK1,ER-Phagosome pathway; FCGR3A-mediated phagocytosis; PINK1-PRKN Mediated Mitophagy,,True,Host protein hits: AAK1 | Relevant pathways: ER-Phagosome pathway; FCGR3A-mediated phagocytosis; PINK1-PRKN Mediated Mitophagy,tozasertib,False,833.33,0.2,True,True,0.3735899491398653,0.0848006847640009,0.22919531695193313,36
2892.0,CHEMBL3545403,8.8699165124328e-05,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,BMS-833923,True,10000.0,61.26,True,True,2.5700281374867007e-05,0.4581193445830276,0.22907252243220125,37
76.0,CHEMBL2140173,0.5351844962206,0.4577042230404515,0.0,3.051361486936344,0.0,,Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane,,True,Relevant pathways: Macroautophagy; Synthesis of PIPs at the early endosome membrane; Synthesis of PIPs at the late endosome membrane,KU-60019,True,10000.0,35.72,True,True,0.155067887291347,0.3019686965028125,0.22851829189707973,38
532.0,CHEMBL1093458,0.0826331305293677,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,Endoxifen HCl,True,10000.0,57.04,True,True,0.023942668485257,0.4323184152604549,0.22813054187285595,39
383.0,CHEMBL1908394,0.1282010293413602,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,GSK461364,True,10000.0,54.78,True,True,0.0371458121618424,0.4185008559550013,0.22782333405842187,40
7.0,CHEMBL608533,1.4634793063317082,0.410519851729679,0.0360726078658958,2.604532782689576,0.0,AAK1,ER-Phagosome pathway; FCGR3A-mediated phagocytosis; PINK1-PRKN Mediated Mitophagy,,True,Host protein hits: AAK1 | Relevant pathways: ER-Phagosome pathway; FCGR3A-mediated phagocytosis; PINK1-PRKN Mediated Mitophagy,midostaurin,False,8.33,-8.56,True,True,0.42403815082476,0.0312423575446319,0.22764025418469594,41
13.0,CHEMBL76,1.270033105672097,1.1386179930418092,2.070214532803289,0.0,0.0,ACE2,,,False,Host protein hits: ACE2,chloroquine,False,100.0,0.51,True,True,0.3679877722120373,0.08669601369528,0.22734189295365867,42
30.0,CHEMBL1336,0.9340996085214064,0.235266202507432,0.0,1.5684413500495469,0.0,,ARL13B-mediated ciliary trafficking of INPP5E; FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,False,Relevant pathways: ARL13B-mediated ciliary trafficking of INPP5E; FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,sorafenib,True,10000.0,16.38,True,True,0.2706521841271405,0.183724627048178,0.22718840558765924,43
1831.0,CHEMBL3707247,0.0051354221979823,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,ozanimod,True,10000.0,59.17,True,True,0.0014879711131653,0.4453411592076303,0.2234145651603978,44
19.0,CHEMBL273264,1.1356988070366028,1.011709959763137,1.8394726541147943,0.0,0.0,TMPRSS2,,,False,Host protein hits: TMPRSS2,nafamostat,False,10000.0,4.81,True,True,0.3290648661352054,0.1129860601614086,0.221025463148307,45
17.0,CHEMBL87563,1.1499209900192937,1.011709959763137,1.8394726541147943,0.0,0.0,TMPRSS2,,,False,Host protein hits: TMPRSS2,gabexate,False,833.33,3.6,True,True,0.3331856952761299,0.1055881633651259,0.2193869293206279,46
22.0,CHEMBL191003,0.98273798432643,0.1895195718716908,0.0360726078658958,1.1311975836363206,0.0,AAK1,FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,True,Host protein hits: AAK1 | Relevant pathways: FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,JNJ-7706621,False,10000.0,10.78,True,True,0.2847449880678935,0.1494864269992663,0.2171157075335799,47
15.0,CHEMBL1241674,1.1659378889706853,0.2491357801739629,0.0360726078658958,1.5286389723181348,0.0,AAK1,ER-Phagosome pathway; FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,,True,Host protein hits: AAK1 | Relevant pathways: ER-Phagosome pathway; FCGR3A-mediated phagocytosis; Regulation of actin dynamics for phagocytic cup formation,PP242,False,8.33,2.09,True,True,0.3378265372640628,0.0963560772805087,0.21709130727228576,48
3460.0,CHEMBL1476463,0.0,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,wiskostatin,True,10000.0,57.26,True,True,0.0,0.4336634874052336,0.2168317437026168,49
349.0,CHEMBL328190,0.1569971521569247,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,lasofoxifene,True,10000.0,49.64,True,True,0.0454893907944924,0.3870750794815359,0.21628223513801415,50
3937.0,CHEMBL2135651,0.0,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,Salinomycin (Procoxacin),True,10000.0,56.96,True,True,0.0,0.431829298116899,0.2159146490584495,51
26.0,CHEMBL371064,0.9564823332067426,0.8887905599431484,1.341144453180426,0.981138174697081,0.013301281631173,"CTSB,CTSD,CTSK,CTSL",Endosomal/Vacuolar pathway,Cathepsin K inhibitor,True,"Host protein hits: CTSB,CTSD,CTSK,CTSL | Relevant pathways: Endosomal/Vacuolar pathway | MoA: Cathepsin K inhibitor",balicatib,False,10000.0,10.83,True,True,0.2771375024674317,0.1497921252139887,0.2134648138407102,52
356.0,CHEMBL46740,0.1493185176392203,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,bazedoxifene,True,10000.0,48.93,True,True,0.0432645325627023,0.3827341648324774,0.21299934869758985,53
4316.0,CHEMBL3421914,0.0,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,DDR1-IN-1,True,10000.0,55.96,True,True,0.0,0.4257153338224505,0.21285766691122526,54
18.0,CHEMBL506247,1.1471191634354851,1.011709959763137,1.8394726541147943,0.0,0.0,TMPRSS2,,,False,Host protein hits: TMPRSS2,tannic-acid,False,8.33,0.91,True,True,0.3323738755541908,0.0891415994130594,0.21075773748362508,55
16.0,CHEMBL288441,1.1582678139863427,0.3638038509630142,0.0360726078658958,2.293092777578477,0.0,AAK1,ER-Phagosome pathway; FCGR3A-mediated phagocytosis; PINK1-PRKN Mediated Mitophagy,,True,Host protein hits: AAK1 | Relevant pathways: ER-Phagosome pathway; FCGR3A-mediated phagocytosis; PINK1-PRKN Mediated Mitophagy,bosutinib,False,1.0,0.33,True,True,0.3356041591279482,0.0855955001222793,0.21059982962511375,56
4016.0,CHEMBL2364627,0.0,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,LY2228820,True,10000.0,55.22,True,True,0.0,0.4211910002445586,0.2105955001222793,57
2486.0,CHEMBL1825141,0.0006017645082601,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,crizotinib-(S),True,10000.0,54.98,True,True,0.0001743592193006,0.4197236488138909,0.20994900401659575,58
2486.0,CHEMBL1825141,0.0006017645082601,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,crizotinib-(S),True,10000.0,54.98,True,True,0.0001743592193006,0.4197236488138909,0.20994900401659575,58
473.0,CHEMBL214957,0.0966043130413614,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,GW-803430,True,10000.0,49.88,True,True,0.0279907710936025,0.3885424309122036,0.20826660100290303,60
4224.0,CHEMBL3182327,0.0,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,PIK-293,True,10000.0,54.31,True,True,0.0,0.4156272927366105,0.20781364636830524,61
333.0,CHEMBL189584,0.1730925134224565,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,PD-173074,True,10000.0,45.14,True,True,0.0501529669710493,0.3595622401565175,0.2048576035637834,62
