compound_name,chembl_id,is_CPE_hit,Concentration CPE (nM),Inhibition of cytopathicity (%)
AF38469,CHEMBL3098745,False,10000.0,2.54
AFN-1252,CHEMBL1652621,False,100.0,1.59
AG-1024,CHEMBL2218926,False,10000.0,4.93
AG-14361,CHEMBL65892,False,10000.0,6.38
AG-490,CHEMBL56543,False,100.0,7.47
AG-555,CHEMBL53898,False,10000.0,0.75
AG-556,CHEMBL440298,False,100.0,1.91
AGI-5198,CHEMBL2180727,False,833.33,1.79
AGI-6780,CHEMBL3392845,False,10000.0,0.46
AGN-192403,CHEMBL430112,False,833.33,6.62
AGN-194310,CHEMBL4303670,False,10000.0,3.68
AGN-195183,CHEMBL107430,False,10000.0,3.26
AGP-103,CHEMBL1173474,False,1.0,2.81
AH-7614,CHEMBL3311302,False,8.33,-2.13
AH11110,CHEMBL1356346,False,100.0,0.04
AH6809,CHEMBL1317823,False,10000.0,-1.0
AI-10-49,CHEMBL4303677,False,833.33,3.47
AIM-100,CHEMBL247070,False,10000.0,1.78
AJ76-(+),CHEMBL27441,False,100.0,-0.05
AK-7,CHEMBL3222141,False,8.33,1.59
AL-8697,CHEMBL2087742,False,833.33,0.89
ALS-8112,CHEMBL3417243,False,1.0,3.35
ALX-5407,CHEMBL180966,False,8.33,1.55
AM-1241,CHEMBL408430,False,10000.0,4.92
AM-24,CHEMBL81721,False,8.33,0.4
AM-251,CHEMBL285932,False,100.0,3.18
AM-281,CHEMBL476833,False,8.33,1.48
AM-404,CHEMBL39878,False,100.0,3.11
AM-580,CHEMBL69367,False,10000.0,3.21
AM-630,CHEMBL181633,False,10000.0,2.05
AM095,CHEMBL2182052,False,1.0,0.92
AM679,CHEMBL595092,False,8.33,1.81
AMD-3465,CHEMBL477121,False,100.0,3.41
AMD11070,CHEMBL518924,False,100.0,0.37
AMG-208,CHEMBL496102,False,10000.0,1.81
AMG-232,CHEMBL3125702,False,833.33,4.65
AMG-337,CHEMBL3785909,False,100.0,0.19
AMG-487-(+/-),CHEMBL397983,False,100.0,3.44
AMG-487-(+/-),CHEMBL397983,False,100.0,3.44
AMG-517,CHEMBL229430,False,833.33,2.31
AMG-548,CHEMBL585902,True,10000.0,32.89
AMG-837,CHEMBL1829173,False,10000.0,4.27
AMG-925,CHEMBL3237719,False,8.33,-0.1
AMG-9810,CHEMBL195789,False,100.0,1.24
AMG-PERK-44,CHEMBL3407862,True,10000.0,43.44
AMG319,CHEMBL4303596,False,100.0,11.01
AMG319,CHEMBL4303596,False,100.0,11.01
AMG458,CHEMBL460472,False,1.0,2.46
AMG900,CHEMBL2140408,False,1.0,-1.03
AMI-1,CHEMBL3109656,False,100.0,2.19
AMN-082,CHEMBL1387826,False,100.0,3.81
AMPA-(RS),CHEMBL14815,False,100.0,4.04
AMPA-(RS),CHEMBL14815,False,100.0,4.04
AMZ30,CHEMBL1550905,False,8.33,-0.34
AN2718,CHEMBL211538,False,100.0,2.68
ANA-12,CHEMBL4303548,False,10000.0,-0.14
ANR-94,CHEMBL4303273,False,8.33,2.22
AP-18,CHEMBL593902,False,100.0,3.91
AP26113,CHEMBL3397300,False,8.33,0.01
APC-100,CHEMBL37676,False,833.33,4.37
APD597,CHEMBL1951032,False,8.33,0.8
APD668,CHEMBL1775179,False,100.0,2.78
API-001,CHEMBL2170062,False,10000.0,1.91
API-1,CHEMBL4303566,False,1.0,7.05
APR-246,CHEMBL3186011,False,10000.0,4.84
APTO-253,CHEMBL4297261,False,10000.0,2.7
APY-29,CHEMBL1231018,False,10000.0,5.62
APY0201,CHEMBL4303292,True,100.0,27.32
APcK-110,CHEMBL4303655,False,1.0,12.02
AQ-RA741,CHEMBL43383,False,8.33,0.18
AR-12,CHEMBL1650595,False,8.33,2.22
AR-42,CHEMBL191482,False,1.0,3.84
AR-A014418,CHEMBL259850,False,8.33,2.48
AR-C155858,CHEMBL375166,False,8.33,3.88
ARC-239,CHEMBL362051,False,100.0,2.69
ARQ-092,CHEMBL4297188,False,10000.0,11.99
ARQ-621,CHEMBL4303449,False,833.33,1.38
ARRY-334543,CHEMBL2103842,False,1.0,2.68
ARTENIMOL,CHEMBL307261,False,833.33,1.43
ARV-825,CHEMBL4226052,False,833.33,1.39
AS-1269574,CHEMBL1956589,False,1.0,1.81
AS-1892802,CHEMBL2023158,False,8.33,2.37
AS-1949490,CHEMBL2337806,False,10000.0,-0.53
AS-2034178,CHEMBL4303234,False,8.33,4.34
AS-2444697,CHEMBL3546136,False,100.0,-0.57
AS-252424,CHEMBL379156,False,100.0,-0.46
AS-604850,CHEMBL1231533,False,1.0,2.29
AS-703026,CHEMBL2107832,False,1.0,-1.62
AS-77,CHEMBL444449,False,10000.0,5.41
ASA-404,CHEMBL71263,False,1.0,4.48
ASC-J9,CHEMBL128748,True,10000.0,19.73
ASCORBIC ACID,CHEMBL196,False,8.33,-0.03
ASP-2535,CHEMBL4303475,False,833.33,0.55
ASP3026,CHEMBL3545360,False,833.33,2.18
AST-1306,CHEMBL1947204,False,8.33,1.55
AT-1015,CHEMBL4303347,False,10000.0,1.23
AT-7519,CHEMBL445813,False,10000.0,2.5
AT-9283,CHEMBL495727,False,833.33,0.87
AT13148,CHEMBL3544960,False,8.33,1.0
AT13387,CHEMBL1214827,False,10000.0,0.31
AT7867,CHEMBL428462,False,100.0,1.96
ATB-346,CHEMBL4211107,False,10000.0,4.55
ATN-161,CHEMBL4297456,False,10000.0,3.86
ATPA,CHEMBL113180,False,10000.0,2.14
ATROPINE SULFATE,CHEMBL3185794,False,100.0,1.96
AV-608,CHEMBL1765508,False,833.33,2.87
AVE-0991,CHEMBL4303593,False,100.0,2.26
