compound_name,chembl_id,is_CPE_hit,Concentration CPE (nM),Inhibition of cytopathicity (%)
chloramphenicol-sodium-succinate,CHEMBL1201281,False,833.33,3.18
chlorazanil,CHEMBL1984344,False,1.0,0.82
chlorcyclizine,CHEMBL22150,False,8.33,1.4
chlorhexidine,CHEMBL790,False,100.0,4.83
chlorindanol,CHEMBL1449249,False,10000.0,4.12
chlorindione,CHEMBL278519,False,833.33,0.64
chlorisondamine-diiodide,CHEMBL1398654,False,833.33,1.41
chlormadinone-acetate,CHEMBL110691,False,100.0,-10.2
chlormezanone,CHEMBL1200714,False,10000.0,1.19
chlormidazole,CHEMBL152649,False,8.33,-1.1
chlorobutanol,CHEMBL1439973,False,833.33,1.86
chlorocresol,CHEMBL1230222,False,8.33,2.29
chlorogenic-acid,CHEMBL284616,False,8.33,1.67
chlorophyllin,CHEMBL2108919,False,1.0,-0.57
chlorophyllin-copper,CHEMBL2108919,False,8.33,2.9
chloroquine,CHEMBL76,False,100.0,0.51
chlorothiazide,CHEMBL3392493,False,1.0,0.29
chlorothymol,CHEMBL1441646,False,100.0,2.72
chlorotrianisene,CHEMBL1200761,False,10000.0,5.78
chloroxine,CHEMBL1200596,False,1.0,2.69
chloroxoquinoline,CHEMBL1409793,False,10000.0,1.04
chloroxylenol,CHEMBL398440,False,8.33,1.72
chlorphenamine,CHEMBL505,False,8.33,3.27
chlorphenamine,CHEMBL505,False,8.33,3.27
chlorphenesin,CHEMBL388751,False,10000.0,1.21
chlorphensin-carbamate,CHEMBL607710,False,10000.0,4.44
chlorpromazine,CHEMBL71,False,10000.0,7.04
chlorpropamide,CHEMBL498,False,1.0,0.91
chlorprothixene,CHEMBL908,False,1.0,5.54
chlorpyrifos,CHEMBL463210,False,8.33,2.45
chlorquinaldol,CHEMBL224325,False,10000.0,0.43
chlorthalidone,CHEMBL1055,False,100.0,4.69
chlorzoxazone,CHEMBL1371,False,10000.0,1.37
cholecalciferol,CHEMBL1042,False,10000.0,0.91
cholesterol,CHEMBL112570,False,10000.0,2.29
cholic-acid,CHEMBL205596,False,8.33,0.75
choline-alfoscerate,CHEMBL6067974,False,833.33,-1.31
chromanol-(+/-),CHEMBL4303705,False,8.33,0.47
"chromanol-293B-(-)-[3R,4S]",CHEMBL434045,False,833.33,1.12
chromium-picolinate,CHEMBL3185022,False,8.33,3.76
chromocarb,CHEMBL83628,False,833.33,3.21
chrysin,CHEMBL117,False,8.33,0.24
chrysophanic-acid,CHEMBL41092,False,10000.0,5.09
chuanxiongzine,CHEMBL303697,False,833.33,5.75
cianidanol,CHEMBL311498,False,8.33,0.71
ciclopirox,CHEMBL1413,False,8.33,1.21
cicloprofen,CHEMBL2104122,False,10000.0,4.16
cidofovir,CHEMBL152,False,8.33,0.11
ciglitazone,CHEMBL7002,False,10000.0,4.02
cilengitide,CHEMBL429876,False,8.33,-0.5
cilnidipine,CHEMBL452076,False,10000.0,7.9
cilomilast,CHEMBL27220,False,10000.0,-0.83
cilostamide,CHEMBL34431,False,8.33,1.01
cilostazol,CHEMBL799,False,100.0,1.96
cimaterol,CHEMBL1374751,False,100.0,10.52
cimetidine,CHEMBL30,False,833.33,2.3
cinacalcet,CHEMBL1201284,False,8.33,2.9
cinaciguat,CHEMBL1236936,False,8.33,2.69
cinalukast,CHEMBL283754,False,10000.0,1.8
cinanserin,CHEMBL18786,False,1.0,1.46
cinchocaine,CHEMBL1086,False,833.33,3.8
cinchonidine,CHEMBL533841,False,100.0,4.2
cinchonidine,CHEMBL533841,False,100.0,4.2
cinchophen,CHEMBL348000,False,10000.0,2.97
cinepazide,CHEMBL1874750,False,100.0,8.11
cinflumide,CHEMBL132663,False,10000.0,8.23
cinnamaldehyde,CHEMBL293492,False,10000.0,5.38
cinnarazine,CHEMBL1370236,True,100.0,15.36
cinoxacin,CHEMBL1208,False,1.0,0.52
cinromide,CHEMBL93233,False,833.33,2.1
cintriamide,CHEMBL2107098,False,833.33,2.97
ciprofibrate,CHEMBL557555,False,8.33,1.09
ciprofloxacin,CHEMBL8,False,100.0,0.61
ciproxifan,CHEMBL14638,False,10000.0,10.22
cirazoline,CHEMBL13852,False,833.33,0.87
cis-ACPD,CHEMBL34453,False,8.33,2.87
cis-Urocanic acid,CHEMBL1316726,False,10000.0,3.52
cis-Urocanic acid,CHEMBL1316726,False,10000.0,3.52
cis-aconitic-acid,CHEMBL347285,False,1.0,0.99
"cis-exo-camphanediol-2,3",CHEMBL4303575,False,833.33,9.96
"cis-exo-camphanediol-2,3",CHEMBL4303575,False,833.33,9.96
cisapride,CHEMBL560739,False,833.33,2.56
cisplatin,CHEMBL197201,False,833.33,3.21
citalopram,CHEMBL549,False,8.33,2.68
citalopram,CHEMBL549,False,8.33,2.68
citiolone,CHEMBL2104457,False,1.0,3.06
clarithromycin,CHEMBL1741,False,100.0,2.36
clebopride,CHEMBL325109,False,833.33,6.56
clemastine,CHEMBL1626,False,8.33,4.37
clemizole,CHEMBL1407943,False,8.33,-2.64
clenbuterol,CHEMBL49080,False,100.0,1.96
cleviprex,CHEMBL1237132,False,10000.0,4.07
clevudine,CHEMBL458875,False,1.0,3.12
clidinium,CHEMBL620,False,8.33,1.76
climbazole,CHEMBL1437764,False,8.33,1.03
clinafloxacin,CHEMBL278255,False,1.0,2.47
clindamycin-palmitate,CHEMBL1201289,False,833.33,-0.74
clinofibrate,CHEMBL1897738,False,10000.0,0.41
clioquinol,CHEMBL497,False,100.0,-4.78
clobenpropit,CHEMBL14690,False,8.33,1.91
clobetasol-propionate,CHEMBL1159650,False,10000.0,3.52
clobetasone-butyrate,CHEMBL577673,False,10000.0,0.48
clobutinol,CHEMBL1474889,False,8.33,2.65
clocortolone-pivalate,CHEMBL1200975,False,8.33,2.86
clodronic-acid,CHEMBL12318,False,833.33,2.21
clofarabine,CHEMBL1750,False,10000.0,3.69
clofazimine,CHEMBL1083384,False,833.33,6.27
clofedanol,CHEMBL1201313,False,10000.0,2.42
clofibric-acid,CHEMBL683,False,833.33,2.45
clofilium,CHEMBL9484,False,10000.0,3.38
clofoctol,CHEMBL1476605,False,1.0,3.11
clomifene,CHEMBL167779,True,10000.0,21.06
clonidine,CHEMBL134,False,833.33,0.52
clopamide,CHEMBL1605650,False,833.33,5.88
cloperastine,CHEMBL415087,False,100.0,0.64
clopidogrel,CHEMBL1771,False,100.0,1.82
clopidol,CHEMBL446918,False,10000.0,1.78
cloprostenol-(+/-),CHEMBL2218867,False,833.33,5.03
cloranolol,CHEMBL156791,False,8.33,-3.27
clorprenaline,CHEMBL1902627,False,1.0,2.05
clorsulon,CHEMBL1474129,False,100.0,2.84
closantel,CHEMBL12131,False,10000.0,5.87
clotrimazole,CHEMBL104,False,10000.0,2.73
cloxacillin,CHEMBL891,False,833.33,3.43
cloxyquin,CHEMBL225164,False,833.33,3.29
cobimetinib,CHEMBL2146883,False,1.0,-0.38
coenzyme-A,CHEMBL1213327,False,10000.0,2.93
coenzyme-I,CHEMBL1234616,False,10000.0,1.66
colchicine,CHEMBL107,False,1.0,2.74
colforsin,CHEMBL52606,False,8.33,3.19
colforsin,CHEMBL52606,False,8.33,3.19
colforsin-daproate,CHEMBL4303178,True,10000.0,29.55
colfosceril-palmitate,CHEMBL1200737,False,100.0,-5.95
colistimethate,CHEMBL6067483,False,10000.0,5.93
colistin,CHEMBL6067481,False,100.0,5.33
colistin,CHEMBL6067481,False,100.0,5.33
combretastatin-A-4,CHEMBL67,False,1.0,1.94
compound-401,CHEMBL179242,False,8.33,2.7
compound-w,CHEMBL1553155,False,100.0,3.65
conivaptan,CHEMBL1755,False,1.0,3.24
copanlisib,CHEMBL3218576,False,8.33,-1.99
copper-histidine,CHEMBL104875,False,10000.0,0.7
cordycepin,CHEMBL305686,False,100.0,1.03
corosolic-acid,CHEMBL391533,False,8.33,-0.43
corticosterone,CHEMBL110739,False,100.0,0.56
cortisone-acetate,CHEMBL1650,False,833.33,0.49
cortodoxone,CHEMBL253144,False,100.0,1.21
costunolide,CHEMBL86416,True,10000.0,19.31
cot-inhibitor-1,CHEMBL496594,False,8.33,2.31
cot-inhibitor-2,CHEMBL527026,False,10000.0,14.02
cotinine,CHEMBL578211,False,833.33,0.39
coumarin,CHEMBL6466,False,833.33,1.9
coumophos,CHEMBL251680,False,8.33,0.82
creatine,CHEMBL283800,False,8.33,1.25
creatinine,CHEMBL65567,False,1.0,1.26
creatinol-phosphate,CHEMBL2104114,False,8.33,2.42
crenolanib,CHEMBL2105728,False,100.0,2.74
cridanimod,CHEMBL1569545,False,100.0,5.93
crisaborole,CHEMBL484785,False,10000.0,4.65
crizotinib-(S),CHEMBL1825141,True,10000.0,54.98
crizotinib-(S),CHEMBL1825141,True,10000.0,54.98
croconazole,CHEMBL27289,False,833.33,2.28
cromoglicic-acid,CHEMBL428880,False,833.33,0.49
cryptotanshinone,CHEMBL187460,False,100.0,2.85
crystal-violet,CHEMBL459265,False,8.33,1.49
curcumin,CHEMBL140,True,10000.0,23.44
curcumol,CHEMBL4303567,False,100.0,1.91
cutamesine,CHEMBL408867,False,100.0,3.33
cyacetacide,CHEMBL2106008,False,10000.0,7.12
cyanopindolol,CHEMBL378501,False,8.33,1.94
cyclamic-acid,CHEMBL1206440,False,8.33,1.15
cyclandelate,CHEMBL1480987,False,8.33,0.54
cyclic-AMP,CHEMBL316966,False,1.0,3.59
cyclizine,CHEMBL648,False,10000.0,0.42
cyclobenzaprine,CHEMBL669,False,8.33,6.56
cycloheximide,CHEMBL123292,True,833.33,27.64
cyclopenthiazide,CHEMBL1373254,False,8.33,2.37
cyclopentolate,CHEMBL1201338,False,8.33,1.59
cyclophosphamide,CHEMBL88,False,10000.0,0.46
cyclopiazonic-acid,CHEMBL260580,False,10000.0,14.21
cycloserine-(D),CHEMBL771,False,1.0,-2.12
cyclosporin-A,CHEMBL160,True,10000.0,16.96
cyclothiazide,CHEMBL61593,False,100.0,3.55
cyclovalone,CHEMBL17205,True,10000.0,29.46
cyclovirobuxin-D,CHEMBL3348842,False,100.0,3.9
cyproheptadine,CHEMBL516,False,1.0,1.35
cyromazine,CHEMBL1231107,False,833.33,2.37
cysteamine,CHEMBL602,False,1.0,1.07
cyt387,CHEMBL1078178,False,100.0,-0.33
cytarabine,CHEMBL803,False,8.33,2.91
cytisine,CHEMBL497939,False,1.0,1.86
cytochlor,CHEMBL4297275,False,833.33,1.92
dabigatran,CHEMBL48361,False,10000.0,3.34
dabigatran-etexilate,CHEMBL539697,False,8.33,2.6
dabrafenib,CHEMBL2028663,False,10000.0,13.07
dacarbazine,CHEMBL476,False,100.0,2.4
dacinostat,CHEMBL356066,False,1.0,-2.47
daclatasvir,CHEMBL2023898,False,8.33,0.14
dacomitinib,CHEMBL2110732,False,1.0,-4.89
dactinomycin,CHEMBL1554,False,8.33,3.96
daidzein,CHEMBL8145,False,1.0,0.46
dalbavancin,CHEMBL3301669,False,10000.0,1.46
dalcetrapib,CHEMBL313006,False,8.33,-0.46
dalfampridine,CHEMBL284348,False,833.33,2.49
daltroban,CHEMBL71685,False,8.33,3.04
daminozide,CHEMBL2164243,False,8.33,2.15
danazol,CHEMBL1479,False,10000.0,6.39
danegaptide,CHEMBL560592,False,10000.0,3.55
danirixin,CHEMBL3039531,False,10000.0,2.67
danofloxacin,CHEMBL157548,False,10000.0,6.15
danoprevir,CHEMBL258734,False,1.0,1.7
dantrolene,CHEMBL1201288,False,10000.0,1.97
dantron,CHEMBL53418,False,10000.0,0.11
danusertib,CHEMBL402548,False,1.0,2.82
daphnetin,CHEMBL244948,False,833.33,4.54
dapiprazole,CHEMBL1201216,False,100.0,0.65
dapivirine,CHEMBL70663,False,833.33,2.16
dapoxetine,CHEMBL2110900,False,8.33,3.51
daprodustat,CHEMBL3544988,False,833.33,2.38
dapsone,CHEMBL1043,False,833.33,11.09
darapladib,CHEMBL204021,False,8.33,1.73
darglitazone,CHEMBL55624,False,8.33,3.08
darifenacin,CHEMBL1346,False,100.0,2.83
darunavir,CHEMBL1323,False,833.33,0.44
darusentan,CHEMBL23261,False,100.0,0.62
dasabuvir,CHEMBL3137312,False,10000.0,2.61
dasatinib,CHEMBL1421,False,1.0,1.14
daucosterol,CHEMBL506678,False,833.33,0.28
daunorubicin,CHEMBL178,False,833.33,4.26
dazoxiben,CHEMBL267473,False,100.0,3.5
decamethonium,CHEMBL1190,False,10000.0,-1.94
decernotinib,CHEMBL3039513,False,10000.0,2.32
decitabine,CHEMBL1201129,False,100.0,4.5
decoquinate,CHEMBL416230,False,10000.0,2.03
defactinib,CHEMBL3137331,False,100.0,-0.22
deferasirox,CHEMBL550348,False,10000.0,0.43
deferiprone,CHEMBL70927,False,833.33,3.35
degarelix,CHEMBL415606,False,100.0,3.06
dehydroacetic-acid,CHEMBL1724669,False,8.33,3.44
dehydrocholate-acid,CHEMBL514446,False,8.33,2.84
dehydrocholate-acid,CHEMBL514446,False,8.33,2.84
dehydrocorydaline,CHEMBL1917176,False,8.33,0.34
delamanid,CHEMBL218650,False,833.33,2.83
delapril,CHEMBL589583,False,100.0,2.57
delavirdine,CHEMBL593,False,10000.0,2.87
delphinidin,CHEMBL276780,False,100.0,-0.94
delta-tocotrienol,CHEMBL121305,False,833.33,7.95
deltarasin,CHEMBL3286929,False,8.33,-0.65
demeclocycline,CHEMBL1591,False,10000.0,2.34
denatonium-benzoate,CHEMBL1738972,False,10000.0,-0.4
deoxyarbutin,CHEMBL4303145,False,833.33,0.9
deoxycholic-acid,CHEMBL406393,False,8.33,0.25
deoxycorticosterone-acetate,CHEMBL1200542,False,8.33,0.58
deoxyepinephrine,CHEMBL31088,False,8.33,2.29
deptropine,CHEMBL1622878,False,10000.0,12.65
dequalinium,CHEMBL333826,False,8.33,2.58
deracoxib,CHEMBL28636,False,100.0,3.5
desipramine,CHEMBL72,False,8.33,-0.11
deslanoside,CHEMBL1614,False,1.0,-1.34
desloratadine,CHEMBL1172,False,1.0,5.47
desmethylclozapine,CHEMBL845,False,833.33,2.8
desmopressin-acetate,CHEMBL1200556,False,100.0,0.69
desonide,CHEMBL1201109,False,100.0,5.19
desoximetasone,CHEMBL1766,False,833.33,1.96
desoxycorticosterone-pivalate,CHEMBL1200592,False,10000.0,0.98
desoxycortone,CHEMBL1498,False,833.33,1.36
desoxypeganine,CHEMBL355821,False,100.0,-1.21
desvenlafaxine,CHEMBL1118,False,100.0,4.53
detomidine,CHEMBL2110829,False,10000.0,2.25
dexfenfluramine,CHEMBL248702,False,100.0,2.9
dexloxiglumide,CHEMBL550781,False,100.0,2.58
dexniguldipine,CHEMBL2051956,False,100.0,3.05
dexniguldipine,CHEMBL2051956,False,100.0,3.05
dexrazoxane,CHEMBL1738,False,833.33,3.16
dextromethorphan,CHEMBL52440,False,833.33,0.81
dextrose,CHEMBL1222250,False,1.0,0.5
diacetamate,CHEMBL2106185,False,100.0,3.04
diadenosine-tetraphosphate,CHEMBL339385,False,1.0,1.69
dianhydrogalactitol,CHEMBL3137322,False,10000.0,2.5
diarylpropionitrile,CHEMBL334773,False,8.33,1.57
diaveridine,CHEMBL19633,False,833.33,2.81
diazepam,CHEMBL12,False,100.0,1.99
dibekacin,CHEMBL560976,False,1.0,5.18
dibenzothiophene,CHEMBL219828,False,8.33,1.31
dichlorisone-acetate,CHEMBL1385514,False,1.0,-1.93
dichloroacetate,CHEMBL13960,False,1.0,4.14
dichlorophen,CHEMBL33845,False,10000.0,1.46
diclazuril,CHEMBL284733,False,833.33,1.84
diclofenac,CHEMBL139,False,1.0,1.25
diclofenamide,CHEMBL17,False,833.33,0.21
diclofensine,CHEMBL287257,False,833.33,3.57
dicloralurea,CHEMBL2106294,False,100.0,-0.82
dicloxacillin,CHEMBL893,False,10000.0,1.51
dicoumarol,CHEMBL1466,False,10000.0,3.32
dicyclohexylamine,CHEMBL1451838,False,100.0,13.18
dicycloverine,CHEMBL1123,True,1.0,17.48
didanosine,CHEMBL1460,False,833.33,3.97
dideoxyadenosine,CHEMBL23094,False,10000.0,4.14
didox,CHEMBL367788,False,100.0,1.83
dienestrol,CHEMBL1018,False,1.0,2.0
diethylcarbamazine,CHEMBL684,False,833.33,0.55
diethylstilbestrol,CHEMBL411,False,10000.0,6.76
difenpiramide,CHEMBL1489662,False,10000.0,14.81
diflorasone-diacetate,CHEMBL1200545,False,1.0,3.78
difloxacin,CHEMBL6259,False,8.33,2.12
diflunisal,CHEMBL898,False,100.0,2.12
difluprednate,CHEMBL1201749,False,10000.0,6.96
digitoxigenin,CHEMBL1453,False,1.0,-1.6
digoxigenin,CHEMBL1153,False,8.33,-0.54
digoxin,CHEMBL1751,False,1.0,-0.14
dihydrexidine,CHEMBL4280145,False,10000.0,2.92
dihydroergocristine,CHEMBL601773,False,1.0,3.37
dihydroergotamine,CHEMBL1732,False,10000.0,2.88
dihydromyricetin,CHEMBL3348861,False,8.33,3.54
dihydrostreptomycin,CHEMBL1950576,False,833.33,0.85
dihydrotachysterol,CHEMBL2356023,False,8.33,0.52
dihydroxyphenylglycine,CHEMBL39221,False,833.33,4.31
dihydroxyphenylglycine,CHEMBL39221,False,833.33,4.31
diiodothyropropionic-acid,CHEMBL2348292,False,10000.0,-1.42
dilazep,CHEMBL126075,False,10000.0,4.8
diloxanide,CHEMBL2103768,False,1.0,1.32
dimaprit,CHEMBL12344,False,10000.0,2.17
dimemorfan,CHEMBL2106325,False,833.33,1.02
dimenhydrinate,CHEMBL1200406,False,1.0,1.11
dimercaptosuccinic-acid,CHEMBL1201073,False,1.0,0.73
dimesna,CHEMBL2104318,False,100.0,0.65
dimethadione,CHEMBL1099,False,833.33,0.78
dimethisoquin,CHEMBL127643,False,8.33,1.84
dimetindene,CHEMBL22108,False,833.33,3.28
dimetindene,CHEMBL22108,False,833.33,3.28
diminazene-aceturate,CHEMBL35241,False,10000.0,2.42
dimpylate,CHEMBL388560,False,100.0,2.07
dinaciclib,CHEMBL2103840,False,1.0,1.49
dinitolmide,CHEMBL472565,False,8.33,2.03
dinoprostone,CHEMBL548,False,833.33,0.3
dioscin,CHEMBL507001,False,8.33,0.88
diosgenin,CHEMBL412437,False,100.0,0.12
diosmetin,CHEMBL90568,False,10000.0,2.95
diosmin,CHEMBL231884,False,833.33,4.64
dioxybenzone,CHEMBL1326877,False,10000.0,2.94
dipeptamin,CHEMBL3707366,False,8.33,1.67
diperodon,CHEMBL338667,False,1.0,0.17
diphemanil,CHEMBL1201340,False,833.33,2.17
diphencyprone,CHEMBL1373467,False,10000.0,5.98
diphenhydramine,CHEMBL657,False,1.0,0.83
diphenidol,CHEMBL936,False,833.33,-1.92
diphenyleneiodonium,CHEMBL365739,False,8.33,1.31
diphenylguanidine,CHEMBL77675,False,10000.0,2.16
diphenylpyraline,CHEMBL1492,False,1.0,0.97
dipivefrine,CHEMBL1201262,False,8.33,3.76
dipraglurant,CHEMBL2346738,False,10000.0,2.02
dipyridamole,CHEMBL932,False,10000.0,4.52
dipyrocetyl,CHEMBL1451173,False,10000.0,5.25
diroximel-fumarate,CHEMBL3989944,False,10000.0,11.34
disopyramide,CHEMBL517,False,833.33,-0.48
disulfiram,CHEMBL964,True,833.33,26.46
ditiocarb-sodium-trihydrate,CHEMBL961,True,10000.0,23.63
ditolylguanidine,CHEMBL282433,False,8.33,1.77
dixanthogen,CHEMBL331743,False,10000.0,1.23
dizocilpine-(-),CHEMBL132153,False,100.0,2.31
dizocilpine-(-),CHEMBL132153,False,100.0,2.31
dobutamine,CHEMBL926,False,1.0,-0.38
doconexent-ethyl-ester,CHEMBL2447914,False,833.33,0.72
docosanol,CHEMBL1200453,False,10000.0,-4.03
dodecyl-sulfate,CHEMBL1204779,False,8.33,3.45
dodecyl-sulfate,CHEMBL1204779,False,8.33,3.45
dofequidar,CHEMBL65067,False,8.33,4.84
dofetilide,CHEMBL473,False,833.33,-0.28
dolastatin-10,CHEMBL39541,False,8.33,0.79
dolutegravir,CHEMBL1229211,False,10000.0,4.1
domiphen,CHEMBL1187011,False,833.33,0.26
domperidone,CHEMBL219916,False,833.33,2.23
donepezil,CHEMBL502,False,833.33,-1.28
donitriptan,CHEMBL1742428,False,10000.0,1.77
dopamine,CHEMBL59,False,8.33,0.74
doramapimod,CHEMBL103667,False,10000.0,8.03
doramectin,CHEMBL2361641,False,10000.0,2.69
doripenem,CHEMBL491571,False,10000.0,0.46
dorsomorphin,CHEMBL478629,False,100.0,2.59
dorzolamide,CHEMBL218490,False,1.0,-0.7
dosulepin,CHEMBL1492500,False,100.0,5.41
dovitinib,CHEMBL4578973,False,1.0,1.8
doxepin,CHEMBL1628227,False,100.0,1.85
doxercalciferol,CHEMBL1200810,False,10000.0,2.69
doxifluridine,CHEMBL1130,False,100.0,1.63
doxofylline,CHEMBL1527608,False,100.0,-0.01
doxycycline,CHEMBL1433,False,100.0,2.09
doxycycline,CHEMBL1433,False,100.0,2.09
doxylamine,CHEMBL1004,False,833.33,1.53
drofenine,CHEMBL442444,False,8.33,1.9
droloxifene,CHEMBL487,True,10000.0,34.54
dronedarone,CHEMBL184412,True,10000.0,29.32
droperidol,CHEMBL1108,False,8.33,3.34
dropropizine,CHEMBL151445,False,8.33,1.08
dropropizine,CHEMBL151445,False,8.33,1.08
drospirenone,CHEMBL1509,False,10000.0,5.09
drotaverine,CHEMBL551978,False,833.33,2.62
droxidopa,CHEMBL2103827,False,100.0,5.47
droxinostat,CHEMBL1526649,False,1.0,4.45
duloxetine,CHEMBL1175,False,100.0,0.92
dutasteride,CHEMBL1200969,False,100.0,1.66
duvelisib,CHEMBL3039502,False,833.33,0.25
dyclonine,CHEMBL1201217,False,8.33,3.66
dynasore,CHEMBL1209885,False,8.33,1.05
dynole-34-2,CHEMBL483059,False,10000.0,12.55
dyphylline,CHEMBL1752,False,1.0,1.96
eact,CHEMBL4303488,False,10000.0,3.72
ebastine,CHEMBL305660,False,8.33,1.48
ebrotidine,CHEMBL1742471,False,100.0,5.48
ebselen,CHEMBL51085,False,8.33,3.3
ecabet,CHEMBL2104585,False,833.33,0.14
echinomycin,CHEMBL503868,False,1.0,2.0
econazole,CHEMBL808,False,833.33,3.08
edaglitazone,CHEMBL3990804,False,10000.0,2.31
edaravone,CHEMBL290916,False,10000.0,3.57
edoxaban,CHEMBL1269025,False,1.0,-1.16
edoxudine,CHEMBL318153,False,1.0,2.72
efaproxiral,CHEMBL18901,False,100.0,1.44
efaroxan,CHEMBL57895,False,100.0,-0.66
efatutazone,CHEMBL3545280,False,8.33,2.28
efavirenz,CHEMBL223228,False,100.0,0.0
efinaconazole,CHEMBL2103877,False,10000.0,2.84
efloxate,CHEMBL1349073,False,8.33,0.67
efonidipine-monoethanolate,CHEMBL2074922,False,10000.0,4.3
eglumetad,CHEMBL8759,False,10000.0,2.06
elacridar,CHEMBL396298,False,1.0,14.25
elafibranor,CHEMBL3707395,False,10000.0,3.31
elbasvir,CHEMBL3039514,False,8.33,1.52
elesclomol,CHEMBL1972860,True,10000.0,36.42
eletriptan,CHEMBL1510,False,100.0,2.14
eliglustat,CHEMBL2110588,False,833.33,4.02
elinogrel,CHEMBL2103828,False,833.33,3.74
eliprodil,CHEMBL28564,False,833.33,2.59
ellagic-acid,CHEMBL6246,False,100.0,4.12
eltoprazine,CHEMBL282614,False,1.0,3.51
eltrombopag,CHEMBL3186485,False,1.0,2.51
eluxadoline,CHEMBL2159122,False,1.0,2.78
elvitegravir,CHEMBL204656,False,1.0,2.45
embelin,CHEMBL221137,False,1.0,0.27
emedastine,CHEMBL594,False,833.33,1.46
emetine,CHEMBL50588,True,100.0,36.23
emodin,CHEMBL289277,False,10000.0,2.24
emorfazone,CHEMBL2103954,False,10000.0,0.67
emoxipin,CHEMBL3338326,False,8.33,3.95
empagliflozin,CHEMBL2107830,False,833.33,1.13
emtricitabine,CHEMBL885,False,100.0,4.2
enalapril,CHEMBL578,False,833.33,2.42
enalaprilat,CHEMBL577,False,10000.0,2.39
enasidenib,CHEMBL3989908,False,8.33,-0.28
enciprazine,CHEMBL101284,False,8.33,1.14
endo-IWR-1,CHEMBL562310,False,8.33,2.17
enflurane,CHEMBL1257,False,100.0,1.56
enisamium-iodide,CHEMBL1740071,False,8.33,7.37
enocitabine,CHEMBL2106589,False,100.0,-1.69
enoxacin,CHEMBL826,False,1.0,4.58
enoximone,CHEMBL249856,False,10000.0,-2.39
enoxolone,CHEMBL230006,False,833.33,2.65
enprofylline,CHEMBL279898,False,10000.0,4.03
enrofloxacin,CHEMBL15511,False,10000.0,5.39
entacapone,CHEMBL953,False,1.0,-0.37
entrectinib,CHEMBL1983268,False,1.0,4.0
enzastaurin,CHEMBL300138,False,10000.0,3.94
epalrestat,CHEMBL56337,False,833.33,1.15
eperezolid,CHEMBL47955,False,833.33,0.64
eperisone,CHEMBL1902981,False,833.33,4.7
ephedrine,CHEMBL211456,False,833.33,3.01
epicatechin-gallate-(-),CHEMBL36327,False,100.0,5.77
epigallocatechin-gallate-(-),CHEMBL297453,False,8.33,2.17
epinastine,CHEMBL1106,False,833.33,7.29
epinephrine,CHEMBL679,False,1.0,3.04
epirizole,CHEMBL1411693,False,8.33,3.82
eplerenone,CHEMBL1095097,False,8.33,2.8
epomediol,CHEMBL3707255,False,1.0,7.71
epothilone-B,CHEMBL94657,False,10000.0,-0.53
epothilone-D,CHEMBL96172,False,1.0,2.13
eprazinone,CHEMBL1885437,False,833.33,1.64
eprobemide,CHEMBL2104298,False,100.0,4.31
eprosartan,CHEMBL813,False,10000.0,2.22
eptifibatide,CHEMBL1174,False,8.33,8.08
equol,CHEMBL198877,False,833.33,3.83
erastin,CHEMBL401989,False,10000.0,7.21
erbstatin-analog,CHEMBL17329,False,1.0,3.51
ercalcitriol,CHEMBL4303615,False,10000.0,3.34
erdafitinib,CHEMBL3545376,False,10000.0,11.65
erdosteine,CHEMBL1697744,False,8.33,2.17
ergocalciferol,CHEMBL1536,False,100.0,0.95
ergosterol,CHEMBL1232562,False,10000.0,2.85
erlotinib,CHEMBL553,False,8.33,-0.26
ertapenem,CHEMBL1359,False,8.33,3.19
erteberel,CHEMBL278703,False,10000.0,2.31
ertugliflozin,CHEMBL1770248,False,10000.0,0.59
erythritol,CHEMBL349605,False,833.33,0.56
erythromycin,CHEMBL532,False,833.33,2.65
erythromycin-estolate,CHEMBL2220427,False,833.33,2.85
erythromycin-ethylsuccinate,CHEMBL1200688,False,100.0,0.57
erythrosine,CHEMBL1332616,False,8.33,-1.04
esaprazole,CHEMBL1983100,False,100.0,-0.45
escin,CHEMBL4594473,False,100.0,-0.38
esculin,CHEMBL482581,False,8.33,-0.49
eseroline-(-),CHEMBL310934,False,10000.0,6.49
eslicarbazepine-acetate,CHEMBL87992,False,1.0,3.04
esmolol,CHEMBL768,False,8.33,0.64
esomeprazole,CHEMBL1201320,False,10000.0,0.21
estradiol,CHEMBL135,False,8.33,2.24
estradiol-benzoate,CHEMBL282575,False,8.33,-2.11
estradiol-cypionate,CHEMBL1200973,False,10000.0,1.69
estramustine-phosphate,CHEMBL1756,False,8.33,0.03
estriol,CHEMBL193482,False,1.0,2.04
estrone,CHEMBL1405,False,10000.0,2.53
estropipate,CHEMBL1200980,False,833.33,1.96
etacrynic-acid,CHEMBL456,False,833.33,4.17
etafenone,CHEMBL1736151,False,1.0,1.2
etamsylate,CHEMBL1514715,False,10000.0,1.8
etanidazole,CHEMBL47405,False,100.0,4.88
etazolate,CHEMBL356388,False,8.33,4.04
etebenecid,CHEMBL1705586,False,10000.0,2.73
eterobarb,CHEMBL327407,False,10000.0,0.84
ethacizin,CHEMBL1997663,False,10000.0,2.9
ethacridine-lactate-monohydrate,CHEMBL2355915,False,100.0,0.77
ethambutol,CHEMBL44884,False,833.33,5.12
ethaverine,CHEMBL1555736,False,833.33,-7.91
