name,url,associated_proteins,associated_drugs
Factors involved in megakaryocyte development and platelet productio,,p(HGNC:TP53); p(HGNC:ABL1); p(HGNC:JAK2); p(HGNC:MYB); p(HGNC:GATA2); p(HGNC:GATA1); p(HGNC:SH2B3),
Specification of the neural plate borde,,p(HGNC:MYB),
Calmodulin induced event,,p(HGNC:PRKCD); p(HGNC:PRKCA); p(HGNC:PRKCG),
Disinhibition of SNARE formatio,,p(HGNC:PRKCA); p(HGNC:PRKCG); p(HGNC:PRKCB),
Trafficking of GluR2-containing AMPA receptor,,p(HGNC:PRKCA); p(HGNC:PRKCG); p(HGNC:PRKCB),
G alpha (z) signalling event,,p(HGNC:PRKCD); p(HGNC:PRKCE); p(HGNC:PRKCH); p(HGNC:PRKCQ); p(HGNC:PRKCA); p(HGNC:PRKCG); p(HGNC:PRKCB),
WNT5A-dependent internalization of FZD,,p(HGNC:PRKCA); p(HGNC:PRKCG); p(HGNC:PRKCB),
Response to elevated platelet cytosolic Ca2,,p(HGNC:PRKCA); p(HGNC:PRKCG); p(HGNC:PRKCB),
PKR-mediated signalin,,p(HGNC:TP53); p(HGNC:TUBB4B); p(HGNC:FANCF); p(HGNC:NPM1); p(HGNC:FANCB); p(HGNC:TUBB1); p(HGNC:FANCG); p(HGNC:TUBB3); p(HGNC:TUBB2A); p(HGNC:FANCE); p(HGNC:TUBB6); p(HGNC:TUBB2B); p(HGNC:FANCC); p(HGNC:FANCA); p(HGNC:TUBB8); p(HGNC:TUBB4A); p(HGNC:FANCL),
HDR through Single Strand Annealing (SSA,,p(HGNC:ABL1); p(HGNC:ERCC4); p(HGNC:ATM); p(HGNC:BLM),
Formation of Incision Complex in GG-NE,,p(HGNC:ERCC4); p(HGNC:RPS27A),
SUMOylation of DNA replication protein,,p(HGNC:TOP2A); p(HGNC:TOP2B); p(HGNC:NUP98); p(HGNC:NUP214),
RND3 GTPase cycl,,p(HGNC:ANKRD26); p(HGNC:ARHGAP35),
RND2 GTPase cycl,,p(HGNC:ANKRD26); p(HGNC:ARHGAP35),
RND1 GTPase cycl,,p(HGNC:ANKRD26); p(HGNC:ARHGAP35),
Sema4D mediated inhibition of cell attachment and migratio,,p(HGNC:MET); p(HGNC:ARHGAP35),
"PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinase",,p(HGNC:PTK6); p(HGNC:ARHGAP35); p(HGNC:NRAS); p(HGNC:HRAS); p(HGNC:KRAS),
RHOA GTPase cycl,,p(HGNC:ARHGAP35); p(HGNC:BCR),
RHOB GTPase cycl,,p(HGNC:ARHGAP35); p(HGNC:BCR),
RHOC GTPase cycl,,p(HGNC:ARHGAP35); p(HGNC:BCR),
CDC42 GTPase cycl,,p(HGNC:ARHGAP35); p(HGNC:BCR),
RAC1 GTPase cycl,,p(HGNC:ARHGAP35); p(HGNC:PIK3CA); p(HGNC:BCR); p(HGNC:SOS1),
RAC2 GTPase cycl,,p(HGNC:ARHGAP35); p(HGNC:PIK3CA); p(HGNC:BCR),
RHOD GTPase cycl,,p(HGNC:ARHGAP35),
RHOQ GTPase cycl,,p(HGNC:ARHGAP35),
RHOG GTPase cycl,,p(HGNC:ARHGAP35),
RHOJ GTPase cycl,,p(HGNC:ARHGAP35),
RAC3 GTPase cycl,,p(HGNC:ARHGAP35); p(HGNC:BCR),
Inhibition of replication initiation of damaged DNA by RB1/E2F,,p(HGNC:POLA1); p(HGNC:PRIM1); p(HGNC:POLA2); p(HGNC:PRIM2); p(HGNC:RB1),
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cel,,p(HGNC:CD33); p(HGNC:CDH1); p(HGNC:HLA-A),
Neutrophil degranulatio,,p(HGNC:IDH1); p(HGNC:IMPDH1); p(HGNC:PPIA); p(HGNC:TUBB4B); p(HGNC:EEF2); p(HGNC:PRKCD); p(HGNC:CD33); p(HGNC:NRAS); p(HGNC:ELANE); p(HGNC:TUBB); p(HGNC:IMPDH2),
Telomere Extension By Telomeras,,p(HGNC:NOP10); p(HGNC:DKC1); p(HGNC:NHP2); p(HGNC:TERT); p(HGNC:WRAP53); p(HGNC:TINF2); p(HGNC:ACD); p(HGNC:RTEL1),
Neddylatio,,p(HGNC:FBXO11); p(HGNC:RPS27A); p(HGNC:VHL); p(HGNC:PALB2),
Antigen processing: Ubiquitination & Proteasome degradatio,,p(HGNC:FBXO11); p(HGNC:RPS27A); p(HGNC:VHL),
Prolactin receptor signalin,,p(HGNC:JAK2); p(HGNC:STAT5B); p(HGNC:STAT5A); p(HGNC:PTPN11),
Interleukin-7 signalin,,p(HGNC:JAK3); p(HGNC:JAK1); p(HGNC:STAT5B); p(HGNC:HGF); p(HGNC:STAT5A),
Signaling by cytosolic FGFR1 fusion mutant,,p(HGNC:CUX1); p(HGNC:STAT5B); p(HGNC:PIK3CA); p(HGNC:BCR); p(HGNC:STAT5A),
Downstream signal transductio,,p(HGNC:PDGFRB); p(HGNC:PDGFRA); p(HGNC:STAT5B); p(HGNC:NRAS); p(HGNC:HRAS); p(HGNC:PIK3CA); p(HGNC:STAT5A); p(HGNC:PTPN11); p(HGNC:KRAS); p(HGNC:SOS1),
Signaling by Lepti,,p(HGNC:JAK2); p(HGNC:STAT5B); p(HGNC:STAT5A); p(HGNC:PTPN11),
"Interleukin-3, Interleukin-5 and GM-CSF signalin",,p(HGNC:CSF2RA); p(HGNC:JAK2); p(HGNC:IL3RA); p(HGNC:STAT5B); p(HGNC:PIK3CA); p(HGNC:STAT5A); p(HGNC:PTPN11),
Interleukin-20 family signalin,,p(HGNC:JAK2); p(HGNC:JAK3); p(HGNC:JAK1); p(HGNC:STAT5B); p(HGNC:STAT5A); p(HGNC:PTPN11),
Interleukin-15 signalin,,p(HGNC:JAK3); p(HGNC:JAK1); p(HGNC:STAT5B); p(HGNC:IL2RB); p(HGNC:STAT5A); p(HGNC:SOS1),
Interleukin-9 signalin,,p(HGNC:JAK3); p(HGNC:JAK1); p(HGNC:STAT5B); p(HGNC:STAT5A),
Interleukin-2 signalin,,p(HGNC:SYK); p(HGNC:IL2RA); p(HGNC:LCK); p(HGNC:JAK3); p(HGNC:JAK1); p(HGNC:STAT5B); p(HGNC:IL2RB); p(HGNC:STAT5A),
Interleukin-21 signalin,,p(HGNC:JAK3); p(HGNC:JAK1); p(HGNC:STAT5B); p(HGNC:STAT5A),
Erythropoietin activates STAT,,p(HGNC:JAK2); p(HGNC:LYN); p(HGNC:STAT5B); p(HGNC:STAT5A),
STAT5 Activatio,,p(HGNC:FLT3); p(HGNC:STAT5B); p(HGNC:STAT5A); p(HGNC:PTPN11),
Signaling by CSF3 (G-CSF,,p(HGNC:CSF3R); p(HGNC:SYK); p(HGNC:JAK2); p(HGNC:LYN); p(HGNC:JAK1); p(HGNC:STAT5B); p(HGNC:STAT5A); p(HGNC:PTPN11); p(HGNC:KRAS),
STAT5 activation downstream of FLT3 ITD mutant,,p(HGNC:FLT3); p(HGNC:STAT5B); p(HGNC:NOX4); p(HGNC:STAT5A); p(HGNC:PTPN11),
Signaling by FLT3 fusion protein,,p(HGNC:STAT5B); p(HGNC:NRAS); p(HGNC:HRAS); p(HGNC:NOX4); p(HGNC:PIK3CA); p(HGNC:ETV6); p(HGNC:STAT5A); p(HGNC:KRAS); p(HGNC:SOS1),
Inactivation of CSF3 (G-CSF) signalin,,p(HGNC:CSF3R); p(HGNC:SYK); p(HGNC:JAK2); p(HGNC:LYN); p(HGNC:JAK1); p(HGNC:STAT5B); p(HGNC:RPS27A); p(HGNC:STAT5A),
Growth hormone receptor signalin,,p(HGNC:JAK2); p(HGNC:LYN); p(HGNC:STAT5B); p(HGNC:STAT5A),
Signaling by AL,,p(HGNC:ALK); p(HGNC:JAK3); p(HGNC:PIK3CA),
ALK mutants bind TKI,,p(HGNC:ALK); p(HGNC:NPM1),
ASP-3026-resistant ALK mutant,,p(HGNC:ALK),
NVP-TAE684-resistant ALK mutant,,p(HGNC:ALK),
alectinib-resistant ALK mutant,,p(HGNC:ALK),
brigatinib-resistant ALK mutant,,p(HGNC:ALK),
ceritinib-resistant ALK mutant,,p(HGNC:ALK),
crizotinib-resistant ALK mutant,,p(HGNC:ALK),
lorlatinib-resistant ALK mutant,,p(HGNC:ALK),
Signaling by ALK fusions and activated point mutant,,p(HGNC:TP53); p(HGNC:MDM2); p(HGNC:ALK); p(HGNC:NPM1); p(HGNC:RPS27A); p(HGNC:PIK3CA),
MDK and PTN in ALK signalin,,p(HGNC:ALK),
Platelet Aggregation (Plug Formation,,p(HGNC:MPL),
Formation of the beta-catenin:TCF transactivating comple,,p(HGNC:KMT2D); p(HGNC:EP300); p(HGNC:TERT),
Deactivation of the beta-catenin transactivating comple,,p(HGNC:XPO1); p(HGNC:KMT2D); p(HGNC:RPS27A),
Activation of anterior HOX genes in hindbrain development during early embryogenesi,,p(HGNC:RARG); p(HGNC:RARA); p(HGNC:RARB); p(HGNC:KMT2D); p(HGNC:EP300); p(HGNC:SUZ12); p(HGNC:PBX1); p(HGNC:CTCF); p(HGNC:EZH2); p(HGNC:KMT2C); p(HGNC:KDM6A),
RUNX1 regulates genes involved in megakaryocyte differentiation and platelet functio,,p(HGNC:PRKCQ); p(HGNC:KMT2D); p(HGNC:EP300); p(HGNC:KMT2A); p(HGNC:KMT2C); p(HGNC:RUNX1); p(HGNC:GATA1),
Formation of WDR5-containing histone-modifying complexe,,p(HGNC:KMT2D); p(HGNC:KMT2A); p(HGNC:KMT2C); p(HGNC:KDM6A),
Epigenetic regulation of gene expression by MLL3 and MLL4 complexe,,p(HGNC:KMT2D); p(HGNC:KMT2C); p(HGNC:KDM6A),
MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosi,,p(HGNC:ABL1); p(HGNC:KMT2D); p(HGNC:EP300); p(HGNC:MED12); p(HGNC:KMT2C); p(HGNC:KDM6A); p(HGNC:CEBPA); p(HGNC:RB1),
Apoptotic cleavage of cellular protein,,p(HGNC:FNTA); p(HGNC:PRKCD); p(HGNC:PRKCQ),
"Inactivation, recovery and regulation of the phototransduction cascad",,p(HGNC:FNTA); p(HGNC:PRKCQ); p(HGNC:PRKCA); p(HGNC:FNTB),
RAS processin,,p(HGNC:FNTA); p(HGNC:PRKCQ); p(HGNC:NRAS); p(HGNC:RPS27A); p(HGNC:HRAS); p(HGNC:KRAS); p(HGNC:FNTB),
Potential therapeutics for SAR,,p(HGNC:IMPDH1); p(HGNC:SYK); p(HGNC:NR3C1); p(HGNC:FNTA); p(HGNC:JAK2); p(HGNC:FKBP1A); p(HGNC:JAK3); p(HGNC:JAK1); p(HGNC:TUBB); p(HGNC:IMPDH2); p(HGNC:FNTB); p(HGNC:SOS1),
Regulation of gene expression by Hypoxia-inducible Facto,,p(HGNC:EP300),
RORA activates gene expressio,,p(HGNC:EP300),
Polo-like kinase mediated event,,p(HGNC:EP300),
Pre-NOTCH Transcription and Translatio,,p(HGNC:TP53); p(HGNC:EP300); p(HGNC:NOTCH2); p(HGNC:RUNX1); p(HGNC:NOTCH1); p(HGNC:PRKCI),
PPARA activates gene expressio,,p(HGNC:EP300); p(HGNC:MED12); p(HGNC:TXNRD1),
Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cell,,p(HGNC:EP300); p(HGNC:NOTCH1),
NOTCH1 Intracellular Domain Regulates Transcriptio,,p(HGNC:EP300); p(HGNC:RPS27A); p(HGNC:NOTCH1),
SMAD2/SMAD3:SMAD4 heterotrimer regulates transcriptio,,p(HGNC:EP300); p(HGNC:RPS27A),
NOTCH2 intracellular domain regulates transcriptio,,p(HGNC:EP300); p(HGNC:NOTCH2),
Constitutive Signaling by NOTCH1 PEST Domain Mutant,,p(HGNC:EP300); p(HGNC:RPS27A); p(HGNC:NOTCH1),
Constitutive Signaling by NOTCH1 HD+PEST Domain Mutant,,p(HGNC:EP300); p(HGNC:RPS27A); p(HGNC:NOTCH1),
LRR FLII-interacting protein 1 (LRRFIP1) activates type I IFN productio,,p(HGNC:EP300),
HATs acetylate histone,,p(HGNC:EP300),
Attenuation phas,,p(HGNC:EP300),
Transcriptional regulation of white adipocyte differentiatio,,p(HGNC:EP300); p(HGNC:MED12); p(HGNC:CEBPA),
SUMOylation of transcription cofactor,,p(HGNC:EP300); p(HGNC:NPM1),
Circadian Cloc,,p(HGNC:NR3C1); p(HGNC:EP300); p(HGNC:RPS27A),
B-WICH complex positively regulates rRNA expressio,,p(HGNC:EP300); p(HGNC:SF3B1),
CD209 (DC-SIGN) signalin,,p(HGNC:RAF1); p(HGNC:LYN); p(HGNC:EP300); p(HGNC:NRAS); p(HGNC:HRAS); p(HGNC:KRAS),
Metalloprotease DUB,,p(HGNC:EP300); p(HGNC:RPS27A),
TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arres,,p(HGNC:TP53); p(HGNC:EP300),
Regulation of TP53 Activity through Acetylatio,,p(HGNC:TP53); p(HGNC:EP300); p(HGNC:PML),
Regulation of TP53 Activity through Methylatio,,p(HGNC:TP53); p(HGNC:MDM2); p(HGNC:EP300); p(HGNC:RPS27A); p(HGNC:ATM),
PI5P Regulates TP53 Acetylatio,,p(HGNC:TP53); p(HGNC:EP300),
Activation of the TFAP2 (AP-2) family of transcription factor,,p(HGNC:EP300),
RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not know,,p(HGNC:EP300); p(HGNC:RUNX1),
RUNX3 regulates NOTCH signalin,,p(HGNC:EP300); p(HGNC:NOTCH1),
Regulation of RUNX3 expression and activit,,p(HGNC:MDM2); p(HGNC:EP300); p(HGNC:CDKN2A); p(HGNC:RPS27A),
RUNX3 regulates p14-AR,,p(HGNC:EP300); p(HGNC:RUNX1); p(HGNC:KRAS),
NOTCH3 Intracellular Domain Regulates Transcriptio,,p(HGNC:EP300); p(HGNC:PBX1); p(HGNC:NOTCH1),
NOTCH4 Intracellular Domain Regulates Transcriptio,,p(HGNC:FLT4); p(HGNC:EP300); p(HGNC:NOTCH2); p(HGNC:NOTCH1),
NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflu,,p(HGNC:EP300),
NGF-stimulated transcriptio,,p(HGNC:EP300),
TRAF3-dependent IRF activation pathwa,,p(HGNC:EP300),
TRAF6 mediated IRF7 activatio,,p(HGNC:EP300),
FOXO-mediated transcription of cell death gene,,p(HGNC:EP300),
Regulation of FOXO transcriptional activity by acetylatio,,p(HGNC:EP300),
Heme signalin,,p(HGNC:XPO1); p(HGNC:EP300),
SARS-CoV-1 targets host intracellular signalling and regulatory pathway,,p(HGNC:EP300),
Nuclear events mediated by NFE2L,,p(HGNC:EP300); p(HGNC:CDKN2A),
Formation of paraxial mesoder,,p(HGNC:EP300); p(HGNC:NOTCH1),
NFE2L2 regulating inflammation associated gene,,p(HGNC:EP300),
NFE2L2 regulating anti-oxidant/detoxification enzyme,,p(HGNC:EP300); p(HGNC:TXNRD1),
NFE2L2 regulates pentose phosphate pathway gene,,p(HGNC:EP300),
NFE2L2 regulating tumorigenic gene,,p(HGNC:BCL2); p(HGNC:EP300); p(HGNC:NOTCH1),
NFE2L2 regulating MDR associated enzyme,,p(HGNC:EP300),
NFE2L2 regulating ER-stress associated gene,,p(HGNC:EP300),
Regulation of NFE2L2 gene expressio,,p(HGNC:EP300); p(HGNC:NOTCH1),
Zygotic genome activation (ZGA,,p(HGNC:TP53); p(HGNC:EP300),
Evasion by RSV of host interferon response,,p(HGNC:JAK1); p(HGNC:EP300); p(HGNC:RPS27A),
TGFBR3 expressio,,p(HGNC:RARA); p(HGNC:EP300); p(HGNC:TCF3),
Oxidative Stress Induced Senescenc,,p(HGNC:TP53); p(HGNC:MDM2); p(HGNC:SUZ12); p(HGNC:CDKN2A); p(HGNC:RPS27A); p(HGNC:EZH2),
SUMOylation of chromatin organization protein,,p(HGNC:SUZ12); p(HGNC:NUP98); p(HGNC:NUP214),
Regulation of PTEN gene transcriptio,,p(HGNC:TP53); p(HGNC:SUZ12); p(HGNC:EZH2),
Transcriptional Regulation by E2F,,p(HGNC:SUZ12); p(HGNC:EZH2),
HCMV Early Event,,p(HGNC:TUBB4B); p(HGNC:EGFR); p(HGNC:SUZ12); p(HGNC:EZH2); p(HGNC:TUBB1); p(HGNC:NUP98); p(HGNC:TUBB3); p(HGNC:TUBB2A); p(HGNC:NUP214); p(HGNC:TUBB6); p(HGNC:TUBB2B); p(HGNC:TUBB8); p(HGNC:PML); p(HGNC:TUBB4A),
Other interleukin signalin,,p(HGNC:CSF3R); p(HGNC:CSF1R); p(HGNC:JAK1),
Interleukin receptor SHC signalin,,p(HGNC:IL2RA); p(HGNC:CSF2RA); p(HGNC:JAK2); p(HGNC:JAK3); p(HGNC:JAK1); p(HGNC:IL3RA); p(HGNC:IL2RB); p(HGNC:PIK3CA); p(HGNC:SOS1),
Nuclear import of Rev protei,,p(HGNC:NPM1); p(HGNC:NUP98); p(HGNC:NUP214),
Deposition of new CENPA-containing nucleosomes at the centromer,,p(HGNC:NPM1),
TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertai,,p(HGNC:TP53); p(HGNC:NPM1),
TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiatio,,p(HGNC:NPM1),
SARS-CoV-1-host interaction,,p(HGNC:NPM1),
Abacavir transmembrane transpor,,p(HGNC:ABCB1),
ABC-family proteins mediated transpor,,p(HGNC:ABCB1); p(HGNC:RPS27A),
Atorvastatin ADM,,p(HGNC:ABCB1),
Prednisone ADM,,p(HGNC:ABCB1),
Signaling by PDG,,p(HGNC:PDGFRB); p(HGNC:PDGFRA),
Apoptotic factor-mediated respons,,p(HGNC:CDKN2A),
Oncogene Induced Senescenc,,p(HGNC:TP53); p(HGNC:MDM2); p(HGNC:CDKN2A); p(HGNC:RPS27A); p(HGNC:RB1),
SUMOylation of DNA damage response and repair protein,,p(HGNC:CDKN2A); p(HGNC:STAG2); p(HGNC:RAD21); p(HGNC:NUP98); p(HGNC:NUP214); p(HGNC:PML); p(HGNC:BLM),
SUMOylation of transcription factor,,p(HGNC:TP53); p(HGNC:MDM2); p(HGNC:CDKN2A),
Regulation of TP53 Degradatio,,p(HGNC:TP53); p(HGNC:MDM2); p(HGNC:CDKN2A); p(HGNC:RPS27A); p(HGNC:ATM),
Stabilization of p5,,p(HGNC:TP53); p(HGNC:MDM2); p(HGNC:CDKN2A); p(HGNC:RPS27A); p(HGNC:ATM),
Defective Intrinsic Pathway for Apoptosis Due to p14ARF Loss of Functio,,p(HGNC:CDKN2A),
Evasion of Oncogene Induced Senescence Due to p14ARF Defect,,p(HGNC:CDKN2A),
Evasion of Oxidative Stress Induced Senescence Due to p14ARF Defect,,p(HGNC:CDKN2A),
Effects of PIP2 hydrolysi,,p(HGNC:PRKCD); p(HGNC:PRKCE); p(HGNC:PRKCH); p(HGNC:PRKCQ),
SHC1 events in ERBB2 signalin,,p(HGNC:EGFR); p(HGNC:PRKCD); p(HGNC:PRKCE); p(HGNC:PRKCA); p(HGNC:NRAS); p(HGNC:HRAS); p(HGNC:KRAS); p(HGNC:SOS1),
DAG and IP3 signalin,,p(HGNC:PRKCD); p(HGNC:PRKCE),
Role of phospholipids in phagocytosi,,p(HGNC:SYK); p(HGNC:PRKCD); p(HGNC:PRKCE); p(HGNC:PIK3CA),
HuR (ELAVL1) binds and stabilizes mRN,,p(HGNC:XPO1); p(HGNC:PRKCD); p(HGNC:PRKCA); p(HGNC:SET); p(HGNC:NUP214),
VEGFR2 mediated cell proliferatio,,p(HGNC:KDR); p(HGNC:PRKCD); p(HGNC:PRKCA); p(HGNC:NRAS); p(HGNC:HRAS); p(HGNC:PRKCZ); p(HGNC:KRAS); p(HGNC:PRKCB),
CLEC7A (Dectin-1) signalin,,p(HGNC:SYK); p(HGNC:PRKCD); p(HGNC:RPS27A),
RHO GTPases Activate NADPH Oxidase,,p(HGNC:PRKCD); p(HGNC:PRKCA); p(HGNC:PRKCZ); p(HGNC:PRKCB),
Interferon gamma signalin,,p(HGNC:JAK2); p(HGNC:PRKCD); p(HGNC:JAK1); p(HGNC:IRF4); p(HGNC:HLA-A); p(HGNC:PML),
KEAP1-NFE2L2 pathwa,,p(HGNC:PRKCD); p(HGNC:RPS27A); p(HGNC:PALB2); p(HGNC:PRKCI),
RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs,,p(HGNC:IL2RA); p(HGNC:RUNX1),
VEGF binds to VEGFR leading to receptor dimerizatio,,p(HGNC:KDR); p(HGNC:FLT1); p(HGNC:FLT4),
High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cell,,p(HGNC:KDR); p(HGNC:FLT4); p(HGNC:PIK3CA),
Meiotic synapsi,,p(HGNC:STAG2); p(HGNC:RAD21); p(HGNC:TINF2); p(HGNC:ACD),
Separation of Sister Chromatid,,p(HGNC:XPO1); p(HGNC:TUBB4B); p(HGNC:STAG2); p(HGNC:RPS27A); p(HGNC:RAD21); p(HGNC:TUBB1); p(HGNC:TUBB3); p(HGNC:TUBB2A); p(HGNC:RPS27); p(HGNC:TUBB6); p(HGNC:TUBB2B); p(HGNC:TUBB8); p(HGNC:TUBB4A),
Establishment of Sister Chromatid Cohesio,,p(HGNC:STAG2); p(HGNC:RAD21),
Cohesin Loading onto Chromati,,p(HGNC:STAG2); p(HGNC:RAD21),
Resolution of Sister Chromatid Cohesio,,p(HGNC:XPO1); p(HGNC:TUBB4B); p(HGNC:STAG2); p(HGNC:RAD21); p(HGNC:TUBB1); p(HGNC:TUBB3); p(HGNC:TUBB2A); p(HGNC:RPS27); p(HGNC:TUBB6); p(HGNC:TUBB2B); p(HGNC:TUBB8); p(HGNC:TUBB4A),
TP53 Regulates Transcription of DNA Repair Gene,,p(HGNC:TP53); p(HGNC:FANCD2); p(HGNC:FANCI); p(HGNC:ATM); p(HGNC:FANCC),
Pre-NOTCH Processing in the Endoplasmic Reticulu,,p(HGNC:NOTCH2); p(HGNC:NOTCH1),
Pre-NOTCH Processing in Golg,,p(HGNC:NOTCH2); p(HGNC:NOTCH1),
NOTCH2 Activation and Transmission of Signal to the Nucleu,,p(HGNC:NOTCH2); p(HGNC:RPS27A),
Notch-HLH transcription pathwa,,p(HGNC:NOTCH2); p(HGNC:NOTCH1),
Defective LFNG causes SCDO,,p(HGNC:NOTCH2); p(HGNC:NOTCH1),
Transcriptional regulation of pluripotent stem cell,,p(HGNC:PBX1),
UCH proteinase,,p(HGNC:ASXL1); p(HGNC:RPS27A),
Nuclear Receptor transcription pathwa,,p(HGNC:NR3C1); p(HGNC:RARG); p(HGNC:RARA); p(HGNC:RARB),
Signaling by Retinoic Aci,,p(HGNC:RARG); p(HGNC:RARA); p(HGNC:RARB),
NOTCH3 Intracellular Domain Regulates Transcription. [Q13422-,,p(HGNC:IKZF1),
Transport of Mature mRNA derived from an Intron-Containing Transcrip,,p(HGNC:SRSF2); p(HGNC:NUP98); p(HGNC:U2AF1); p(HGNC:NUP214); p(HGNC:U2AF2),
mRNA Splicing - Major Pathwa,,p(HGNC:SRSF2); p(HGNC:U2AF1); p(HGNC:DDX41); p(HGNC:SF3B1); p(HGNC:U2AF2),
mRNA Splicing - Minor Pathwa,,p(HGNC:SRSF2); p(HGNC:ZCRB1); p(HGNC:SF3B1); p(HGNC:ZRSR2),
mRNA 3'-end processin,,p(HGNC:SRSF2); p(HGNC:U2AF1); p(HGNC:U2AF2),
Processing of Capped Intron-Containing Pre-mRN,,p(HGNC:SRSF2),
RNA Polymerase II Transcription Terminatio,,p(HGNC:SRSF2); p(HGNC:U2AF1); p(HGNC:U2AF2),
Interleukin-4 and Interleukin-13 signalin,,p(HGNC:TP53); p(HGNC:BCL2); p(HGNC:OPRM1); p(HGNC:JAK2); p(HGNC:JAK3); p(HGNC:JAK1); p(HGNC:IRF4); p(HGNC:HGF),
Interferon alpha/beta signalin,,p(HGNC:JAK1); p(HGNC:IRF4); p(HGNC:RPS27A); p(HGNC:PTPN11); p(HGNC:HLA-A),
Regulation of MITF-M-dependent genes involved in pigmentatio,,p(HGNC:IRF4),
Neurophilin interactions with VEGF and VEGF,,p(HGNC:KDR); p(HGNC:FLT1),
SOS-mediated signallin,,p(HGNC:NRAS); p(HGNC:HRAS); p(HGNC:KRAS); p(HGNC:SOS1),
Activation of RAS in B cell,,p(HGNC:NRAS); p(HGNC:HRAS); p(HGNC:KRAS),
SHC1 events in ERBB4 signalin,,p(HGNC:NRAS); p(HGNC:HRAS); p(HGNC:KRAS); p(HGNC:SOS1),
Signalling to RA,,p(HGNC:NRAS); p(HGNC:HRAS); p(HGNC:KRAS); p(HGNC:SOS1),
p38MAPK event,,p(HGNC:NRAS); p(HGNC:HRAS); p(HGNC:KRAS),
GRB2 events in EGFR signalin,,p(HGNC:EGFR); p(HGNC:NRAS); p(HGNC:HRAS); p(HGNC:KRAS); p(HGNC:SOS1),
SHC1 events in EGFR signalin,,p(HGNC:EGFR); p(HGNC:NRAS); p(HGNC:HRAS); p(HGNC:KRAS); p(HGNC:SOS1),
GRB2 events in ERBB2 signalin,,p(HGNC:EGFR); p(HGNC:NRAS); p(HGNC:HRAS); p(HGNC:KRAS); p(HGNC:SOS1),
Tie2 Signalin,,p(HGNC:NRAS); p(HGNC:HRAS); p(HGNC:PIK3CA); p(HGNC:PTPN11); p(HGNC:KRAS); p(HGNC:SOS1),
EGFR Transactivation by Gastri,,p(HGNC:EGFR); p(HGNC:PRKCA); p(HGNC:NRAS); p(HGNC:HRAS); p(HGNC:KRAS); p(HGNC:SOS1),
DAP12 signalin,,p(HGNC:SYK); p(HGNC:LCK); p(HGNC:NRAS); p(HGNC:HRAS); p(HGNC:PIK3CA); p(HGNC:KRAS); p(HGNC:SOS1),
SHC-related events triggered by IGF1,,p(HGNC:NRAS); p(HGNC:HRAS); p(HGNC:KRAS); p(HGNC:SOS1),
FCERI mediated MAPK activatio,,p(HGNC:SYK); p(HGNC:LYN); p(HGNC:NRAS); p(HGNC:HRAS); p(HGNC:KRAS); p(HGNC:SOS1),
NCAM signaling for neurite out-growt,,p(HGNC:NRAS); p(HGNC:HRAS); p(HGNC:KRAS); p(HGNC:SOS1),
Ras activation upon Ca2+ influx through NMDA recepto,,p(HGNC:NRAS); p(HGNC:HRAS); p(HGNC:KRAS),
SHC-mediated cascade:FGFR,,p(HGNC:NRAS); p(HGNC:HRAS); p(HGNC:KRAS); p(HGNC:SOS1),
FRS-mediated FGFR1 signalin,,p(HGNC:NRAS); p(HGNC:HRAS); p(HGNC:PTPN11); p(HGNC:KRAS); p(HGNC:SOS1),
FRS-mediated FGFR2 signalin,,p(HGNC:NRAS); p(HGNC:HRAS); p(HGNC:PTPN11); p(HGNC:KRAS); p(HGNC:SOS1),
FRS-mediated FGFR3 signalin,,p(HGNC:NRAS); p(HGNC:HRAS); p(HGNC:PTPN11); p(HGNC:KRAS); p(HGNC:SOS1),
FRS-mediated FGFR4 signalin,,p(HGNC:NRAS); p(HGNC:HRAS); p(HGNC:PTPN11); p(HGNC:KRAS); p(HGNC:SOS1),
Signaling by FGFR2 in diseas,,p(HGNC:NRAS); p(HGNC:HRAS); p(HGNC:PIK3CA); p(HGNC:KRAS); p(HGNC:SOS1),
Signaling by FGFR4 in diseas,,p(HGNC:NRAS); p(HGNC:HRAS); p(HGNC:PIK3CA); p(HGNC:KRAS); p(HGNC:SOS1),
Signaling by FGFR1 in diseas,,p(HGNC:CUX1); p(HGNC:NRAS); p(HGNC:HRAS); p(HGNC:PIK3CA); p(HGNC:BCR); p(HGNC:KRAS); p(HGNC:SOS1),
Signaling by FGFR3 in diseas,,p(HGNC:NRAS); p(HGNC:HRAS); p(HGNC:PIK3CA); p(HGNC:KRAS); p(HGNC:SOS1),
