name,url,associated_proteins,associated_drugs
Regulation of TP53 Degradation,,p(HGNC:TP53); p(HGNC:MDM2),
Regulation of TP53 Activity through Methylation,,p(HGNC:TP53); p(HGNC:MDM2),
Stabilization of p53,,p(HGNC:TP53); p(HGNC:MDM2),
Regulation of RUNX3 expression and activity,,p(HGNC:MDM2),
NPAS4 regulates expression of target genes,,p(HGNC:XPO1); p(HGNC:RET); p(HGNC:MDM2),
Class B/2 (Secretin family receptors),,p(HGNC:SMO),
Hedgehog 'off' state,,p(HGNC:SMO); p(HGNC:TUBB4B),
BBSome-mediated cargo-targeting to cilium,,p(HGNC:SMO),
Hedgehog 'on' state,,p(HGNC:SMO),
Activation of SMO,,p(HGNC:SMO),
PRC2 methylates histones and DNA,,p(HGNC:DNMT3A); p(HGNC:DNMT1),
NoRC negatively regulates rRNA expression,,p(HGNC:DNMT1),
SUMOylation of DNA methylation proteins,,p(HGNC:DNMT3A); p(HGNC:DNMT1),
DNA methylation,,p(HGNC:DNMT3A); p(HGNC:DNMT1),
STAT3 nuclear events downstream of ALK signaling,,p(HGNC:DNMT1),
Nuclear events stimulated by ALK signaling in cancer,,p(HGNC:DNMT1),
Formation of the nephric duct,,p(HGNC:RET),
Formation of the ureteric bud,,p(HGNC:RET),
Translocation of SLC2A4 (GLUT4) to the plasma membrane,,p(HGNC:TUBB4B),
Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane,,p(HGNC:TUBB4B),
Gap junction assembly,,p(HGNC:TUBB4B),
MHC class II antigen presentation,,p(HGNC:TUBB4B),
Separation of Sister Chromatids,,p(HGNC:XPO1); p(HGNC:TUBB4B),
Resolution of Sister Chromatid Cohesion,,p(HGNC:XPO1); p(HGNC:TUBB4B),
Regulation of PLK1 Activity at G2/M Transition,,p(HGNC:TUBB4B),
Loss of Nlp from mitotic centrosomes,,p(HGNC:TUBB4B),
Recruitment of mitotic centrosome proteins and complexes,,p(HGNC:TUBB4B),
Loss of proteins required for interphase microtubule organization from the centrosome,,p(HGNC:TUBB4B),
Recruitment of NuMA to mitotic centrosomes,,p(HGNC:TUBB4B),
Prefoldin mediated transfer of substrate to CCT/TriC,,p(HGNC:TUBB4B),
Formation of tubulin folding intermediates by CCT/TriC,,p(HGNC:TUBB4B),
Post-chaperonin tubulin folding pathway,,p(HGNC:TUBB4B),
Recycling pathway of L1,,p(HGNC:TUBB4B),
Cilium Assembly,,p(HGNC:TUBB4B),
Anchoring of the basal body to the plasma membrane,,p(HGNC:TUBB4B),
Intraflagellar transport,,p(HGNC:TUBB4B),
RHO GTPases activate IQGAPs,,p(HGNC:TUBB4B),
RHO GTPases Activate Formins,,p(HGNC:XPO1); p(HGNC:TUBB4B),
COPI-mediated anterograde transport,,p(HGNC:TUBB4B),
COPI-dependent Golgi-to-ER retrograde traffic,,p(HGNC:TUBB4B),
COPI-independent Golgi-to-ER retrograde traffic,,p(HGNC:TUBB4B),
