chembl_id,drug_name,smiles,in_protein_list,in_pathway_list,in_moa_list,n_targets,n_pathways,n_moas,targets_list,pathway_ids_list,pathway_names_list,moa_list,preferred_name,targets,mechanisms,is_known_aml_drug_in_kg
CHEMBL538867,PATIDEGIB,CC1=C2C[C@H]3[C@@H](CC[C@@H]4C[C@H](NS(C)(=O)=O)CC[C@@]43C)[C@@H]2CC[C@@]2(C1)O[C@@H]1C[C@H](C)CN[C@H]1[C@H]2C,True,True,False,1,6,0,SMO,R-HSA-165158;R-HSA-373080;R-HSA-5610787;R-HSA-5620922;R-HSA-5632684;R-HSA-5635838,Activation of SM;Activation of SMO;BBSome-mediated cargo-targeting to ciliu;BBSome-mediated cargo-targeting to cilium;Class B/2 (Secretin family receptors;Class B/2 (Secretin family receptors);Hedgehog 'off' stat;Hedgehog 'off' state;Hedgehog 'on' stat;Hedgehog 'on' state,,,,,False
CHEMBL3545403,BMS-833923,CNCc1ccc(C)c(NC(=O)c2ccc(Nc3nc(-c4ccccc4)c4ccccc4n3)cc2)c1,True,True,False,1,6,0,SMO,R-HSA-165158;R-HSA-373080;R-HSA-5610787;R-HSA-5620922;R-HSA-5632684;R-HSA-5635838,Activation of SM;Activation of SMO;BBSome-mediated cargo-targeting to ciliu;BBSome-mediated cargo-targeting to cilium;Class B/2 (Secretin family receptors;Class B/2 (Secretin family receptors);Hedgehog 'off' stat;Hedgehog 'off' state;Hedgehog 'on' stat;Hedgehog 'on' state,,,,,False
CHEMBL2142592,TALADEGIB,CN(C(=O)c1ccc(F)cc1C(F)(F)F)C1CCN(c2nnc(-c3ccnn3C)c3ccccc23)CC1,True,True,False,1,6,0,SMO,R-HSA-165158;R-HSA-373080;R-HSA-5610787;R-HSA-5620922;R-HSA-5632684;R-HSA-5635838,Activation of SM;Activation of SMO;BBSome-mediated cargo-targeting to ciliu;BBSome-mediated cargo-targeting to cilium;Class B/2 (Secretin family receptors;Class B/2 (Secretin family receptors);Hedgehog 'off' stat;Hedgehog 'off' state;Hedgehog 'on' stat;Hedgehog 'on' state,,,,,False
CHEMBL2205230,TAK-441,CCc1cc2c(c(OCC(F)(F)F)c(C(=O)NC3CCN(C(=O)CO)CC3)n2C)c(=O)n1CC(=O)c1ccccc1,True,True,False,1,6,0,SMO,R-HSA-165158;R-HSA-373080;R-HSA-5610787;R-HSA-5620922;R-HSA-5632684;R-HSA-5635838,Activation of SM;Activation of SMO;BBSome-mediated cargo-targeting to ciliu;BBSome-mediated cargo-targeting to cilium;Class B/2 (Secretin family receptors;Class B/2 (Secretin family receptors);Hedgehog 'off' stat;Hedgehog 'off' state;Hedgehog 'on' stat;Hedgehog 'on' state,,,,,False
CHEMBL3133037,LEQ506,Cc1c(Cc2ccccc2)nnc(N2CCN(c3cnc(C(C)(C)O)cn3)[C@H](C)C2)c1C,True,True,False,1,6,0,SMO,R-HSA-165158;R-HSA-373080;R-HSA-5610787;R-HSA-5620922;R-HSA-5632684;R-HSA-5635838,Activation of SM;Activation of SMO;BBSome-mediated cargo-targeting to ciliu;BBSome-mediated cargo-targeting to cilium;Class B/2 (Secretin family receptors;Class B/2 (Secretin family receptors);Hedgehog 'off' stat;Hedgehog 'off' state;Hedgehog 'on' stat;Hedgehog 'on' state,,,,,False
CHEMBL866,MYCOPHENOLIC ACID,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2,True,True,True,2,4,1,IMPDH1;IMPDH2,R-HSA-6798695;R-HSA-73817;R-HSA-9679191;R-HSA-9748787,Azathioprine ADM;Azathioprine ADME;Neutrophil degranulatio;Neutrophil degranulation;Potential therapeutics for SAR;Potential therapeutics for SARS;Purine ribonucleoside monophosphate biosynthesi;Purine ribonucleoside monophosphate biosynthesis,Inosine-5'-monophosphate dehydrogenase (IMPDH) inhibitor,,,,False
CHEMBL1643,RIBAVIRIN,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,True,True,True,1,4,1,IMPDH1,R-HSA-6798695;R-HSA-73817;R-HSA-9679191;R-HSA-9748787,Azathioprine ADM;Azathioprine ADME;Neutrophil degranulatio;Neutrophil degranulation;Potential therapeutics for SAR;Potential therapeutics for SARS;Purine ribonucleoside monophosphate biosynthesi;Purine ribonucleoside monophosphate biosynthesis,RNA inhibitor,,,,False
CHEMBL2106643,MYCOPHENOLATE SODIUM,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)[O-])C(=O)OC2.[Na+],True,True,True,2,4,1,IMPDH1;IMPDH2,R-HSA-6798695;R-HSA-73817;R-HSA-9679191;R-HSA-9748787,Azathioprine ADM;Azathioprine ADME;Neutrophil degranulatio;Neutrophil degranulation;Potential therapeutics for SAR;Potential therapeutics for SARS;Purine ribonucleoside monophosphate biosynthesi;Purine ribonucleoside monophosphate biosynthesis,Inosine-5'-monophosphate dehydrogenase (IMPDH) inhibitor,,,,False
CHEMBL245019,MIZORIBINE,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1O,True,True,False,2,4,0,IMPDH1;IMPDH2,R-HSA-6798695;R-HSA-73817;R-HSA-9679191;R-HSA-9748787,Azathioprine ADM;Azathioprine ADME;Neutrophil degranulatio;Neutrophil degranulation;Potential therapeutics for SAR;Potential therapeutics for SARS;Purine ribonucleoside monophosphate biosynthesi;Purine ribonucleoside monophosphate biosynthesis,,,,,False
CHEMBL3349001,AVN-944,CC[C@H](CC#N)OC(=O)N[C@@H](C)c1cccc(NC(=O)Nc2ccc(-c3cnco3)c(OC)c2)c1,True,True,False,2,4,0,IMPDH1;IMPDH2,R-HSA-6798695;R-HSA-73817;R-HSA-9679191;R-HSA-9748787,Azathioprine ADM;Azathioprine ADME;Neutrophil degranulatio;Neutrophil degranulation;Potential therapeutics for SAR;Potential therapeutics for SARS;Purine ribonucleoside monophosphate biosynthesi;Purine ribonucleoside monophosphate biosynthesis,,,,,False
