drug_name,chembl_id,inchikey,smiles,overall_score,mechanistic_score,n_unique_genes,n_unique_pathways,n_unique_moa,max_phase,admet_penalty,AMES_mutagenic,hERG_inhibition,logS,logP,assay_top_uM,assay_series_uM
UCN-01,CHEMBL574737,PBCZSGKMGDDXIJ-KRUBCLEUSA-N,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N[C@H]4O,0.572877827380589,2.1930023576319138,11,42,0,2.0,1.75,1.0,0.0,-4.85,3.844900000000002,10.0,"10,3.333,1.111,0.3704,0.1235,0.04115,0.01372,0.004572,0.001524,0.0005081"
MOTESANIB,CHEMBL572881,RAHBGWKEPAQNFF-UHFFFAOYSA-N,CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21,0.5681415130390398,2.155946624897175,6,42,1,3.0,1.5,0.0,0.0,-4.28,4.044100000000002,3.0,"3,1,0.3333,0.1111,0.03704,0.01235,0.004115,0.001372,0.0004572,0.0001524"
TROXACITABINE,CHEMBL359164,RXRGZNYSEHTMHC-BQBZGAKWSA-N,Nc1ccn([C@@H]2CO[C@H](CO)O2)c(=O)n1,0.5639543063879149,2.019368970447289,11,22,0,2.0,0.0,0.0,0.0,-0.98,-1.3107000000000002,30.0,"30,10,3.333,1.111,0.3704,0.1235,0.04115,0.01372,0.004572,0.001524"
ASPACYTARABINE,CHEMBL4297599,PVPJTBAEAQVTPN-HRAQMCAYSA-N,N[C@@H](CC(=O)Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1)C(=O)O,0.5598881813879149,2.019368970447289,11,22,0,2.0,0.0,0.0,0.0,-1.77,-3.404699999999998,30.0,"30,10,3.333,1.111,0.3704,0.1235,0.04115,0.01372,0.004572,0.001524"
LINIFANIB,CHEMBL223360,MPVGZUGXCQEXTM-UHFFFAOYSA-N,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,0.5569076849972319,2.101235280060017,5,45,1,3.0,1.05,0.0,0.0,-5.54,4.903620000000003,3.0,"3,1,0.3333,0.1111,0.03704,0.01235,0.004115,0.001372,0.0004572,0.0001524"
SU-014813,CHEMBL1721885,CTNPALGJUAXMMC-PMFHANACSA-N,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1,0.5448580758264264,2.045263235788095,6,61,0,2.0,1.6,1.0,0.0,-1.94,1.68624,10.0,"10,3.333,1.111,0.3704,0.1235,0.04115,0.01372,0.004572,0.001524,0.0005081"
TIVOZANIB,CHEMBL1289494,SPMVMDHWKHCIDT-UHFFFAOYSA-N,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,0.5393391550825148,2.0733936823906163,4,32,2,4.0,1.3,1.0,0.0,-6.16,5.6381200000000025,3.0,"3,1,0.3333,0.1111,0.03704,0.01235,0.004115,0.001372,0.0004572,0.0001524"
CEDIRANIB,CHEMBL491473,XXJWYDDUDKYVKI-UHFFFAOYSA-N,COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1,0.5332257359404935,2.053568502143726,5,38,1,3.0,1.5999999999999999,0.0,1.0,-3.6,5.224220000000004,3.0,"3,1,0.3333,0.1111,0.03704,0.01235,0.004115,0.001372,0.0004572,0.0001524"
NINTEDANIB ESYLATE,CHEMBL3039504,MMMVNAGRWOJNMW-FJBFXRHMSA-N,CCS(=O)(=O)O.COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,0.5295044712153483,1.883996657107784,4,22,1,4.0,0.0,0.0,0.0,-2.14,3.5100000000000025,30.0,"30,10,3.333,1.111,0.3704,0.1235,0.04115,0.01372,0.004572,0.001524"
FEDRATINIB HYDROCHLORIDE,CHEMBL4297216,JOOXLOJCABQBSG-UHFFFAOYSA-N,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,0.5278403358043593,1.9402517614147348,2,64,1,4.0,0.44999999999999996,0.0,0.0,-3.65,4.823620000000004,3.0,"3,1,0.3333,0.1111,0.03704,0.01235,0.004115,0.001372,0.0004572,0.0001524"
