chembl_id,compound_name,smiles
CHEMBL4303262,nemonapride,CNc1cc(OC)c(C(=O)N[C@@H]2CCN(Cc3ccccc3)[C@@H]2C)cc1Cl.CNc1cc(OC)c(C(=O)N[C@H]2CCN(Cc3ccccc3)[C@H]2C)cc1Cl
CHEMBL643,promethazine,CC(CN1c2ccccc2Sc2ccccc21)N(C)C
CHEMBL1201165,quinestrol,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@@]21C
CHEMBL1618279,revaprazan,Cc1nc(Nc2ccc(F)cc2)nc(N2CCc3ccccc3C2C)c1C
CHEMBL2137530,serdemetan,c1ccc2c(CCNc3ccc(Nc4ccncc4)cc3)c[nH]c2c1
CHEMBL61479,siramesine,Fc1ccc(-n2cc(CCCCN3CCC4(CC3)OCc3ccccc34)c3ccccc32)cc1
CHEMBL535,sunitinib,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C
CHEMBL13608,toceranib,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCCN1CCCC1
CHEMBL1411581,trequinsin,COc1cc2c(cc1OC)-c1c/c(=N/c3c(C)cc(C)cc3C)n(C)c(=O)n1CC2
CHEMBL7917,tyrphostin-AG-1478,COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC
CHEMBL419296,zolantidine,c1cc(CN2CCCCC2)cc(OCCCNc2nc3ccccc3s2)c1
