compound_name,Concentration (nM),Inhibition of cytopathicity (%),Non_infected cell viability(%),Duplicated
AC-7954-(+/-),100.0,-1.71,88.30561944,0
acadesine,8.33,2.34,98.03716691,0
acalabrutinib,1.0,2.14,91.42936373,0
acalisib,1.0,0.46,104.4321387,0
acamprosate,8.33,1.47,99.52764946,0
acarbose,8.33,1.35,96.66530376,0
ACDPP,8.33,4.72,95.33069658,0
acebutolol,1.0,4.4,88.15940596,0
aceclofenac,8.33,0.9,107.4820718,0
acedapsone,10000.0,5.34,98.8241238,0
acedoben,10000.0,3.31,100.601925,0
acefylline,100.0,12.36,106.7880878,0
aceglutamide,100.0,6.3,99.7510533,0
aceneuramic-acid,8.33,1.91,97.38480472,0
acepromazine,8.33,1.58,101.2697102,0
acetanilide,8.33,2.8,93.67445604,0
acetarsol,100.0,1.84,96.89037238,0
acetazolamide,1.0,-0.16,101.9201655,0
acetohexamide,833.33,0.37,98.87106063,0
acetohydroxamic-acid,1.0,4.31,97.63484893,0
acetophenazine,833.33,2.47,98.97763823,0
acetriazoic-acid,8.33,0.54,98.9836918,0
acetyl-11-keto-beta-boswellic-acid,1.0,2.97,108.8115548,0
acetyl-farnesyl-cysteine,10000.0,2.44,100.6003516,0
acetyl-l-leucine,1.0,1.37,107.9069213,0
acetylcysteine,100.0,3.98,102.170692,0
acetylsalicylsalicylic-acid,100.0,2.44,102.1166366,0
acexamic-acid,1.0,1.78,99.40072678,0
acifran,8.33,4.17,96.10999064,0
acipimox,8.33,-0.46,102.8794034,0
acitazanolast,10000.0,-0.46,97.41293764,0
acitretin,1.0,0.15,102.7619467,0
aclidinium,833.33,1.93,96.5950676,0
ACPC,10000.0,1.36,98.4291359,0
acriflavine,1.0,2.32,96.99675259,0
acriflavinium,833.33,-0.42,82.01750954,0
acrisorcin,833.33,3.53,91.73564545,0
acrivastine,833.33,6.14,85.33200407,0
acrylate,833.33,4.25,95.95117945,0
ACT-132577,100.0,-0.65,101.8442347,0
ACT-462206,10000.0,1.64,99.7214215,0
actarit,1.0,1.96,114.0141697,0
ACTB-1003,10000.0,-0.16,24.76931767,0
actinomycin-d,8.33,1.99,102.3348971,0
actinoquinol,833.33,1.14,95.08385001,0
ACY-1215,100.0,2.13,94.16752813,0
acyclovir,1.0,12.55,110.0264185,0
AD-5467,8.33,3.31,102.3167811,0
adapalene,10000.0,3.12,114.6073342,0
adaptavir,833.33,-0.86,102.1729881,0
adarotene,100.0,0.7,101.7350784,0
adatanserin,833.33,2.26,99.41730031,0
ADD-233089,1.0,1.63,108.7618025,0
adefovir,1.0,6.28,108.5561138,0
adefovir-dipivoxil,1.0,2.79,101.1906152,0
adelmidrol,100.0,5.54,96.43569008,0
ademetionine,10000.0,0.19,92.18798158,0
adenine,833.33,6.45,91.69533057,0
adenosine,833.33,4.81,103.6586569,0
ADENOSINE TRIPHOSPHATE DISODIUM,833.33,2.57,90.23775441,0
adenosine-phosphate,8.33,-1.98,107.6586155,0
adiphenine,100.0,2.09,104.6738438,0
adipic-acid,100.0,-0.01,89.25285812,0
adiporon,100.0,0.29,93.82972327,0
ADL5859,8.33,-0.47,103.8852747,0
adoprazine,100.0,2.28,93.85241751,0
adrafinil,833.33,1.58,92.97579451,0
adrenosterone,10000.0,2.11,97.10574116,0
ADX-10059,833.33,3.1,103.1516952,0
ADX-47273,10000.0,2.44,95.4683158,0
AEE788,1.0,1.55,97.64415699,0
AEG3482,1.0,8.11,97.16593385,0
AF38469,10000.0,2.54,105.9552983,0
afatinib,1.0,-2.03,100.6697752,0
afimoxifene,10000.0,40.01,81.20593491,0
afloqualone,10000.0,1.46,92.42002539,0
AFN-1252,100.0,1.59,93.57959039,0
afobazole,10000.0,1.56,104.2439232,0
AG-1024,10000.0,4.93,92.35335391,0
AG-14361,10000.0,6.38,100.8308346,0
AG-490,100.0,7.47,98.70508533,0
AG-555,10000.0,0.75,79.66146963,0
AG-556,100.0,1.91,100.2411654,0
AGI-5198,833.33,1.79,99.23629457,0
AGI-6780,10000.0,0.46,105.9507599,0
agmatine,8.33,2.56,97.60047719,0
AGN-192403,833.33,6.62,95.29303741,0
AGN-194310,10000.0,3.68,80.58153063,0
AGN-195183,10000.0,3.26,95.54423908,0
agomelatine,8.33,0.82,103.231725,0
AGP-103,1.0,2.81,104.6724326,0
AH-7614,8.33,-2.13,100.4665265,0
AH11110,100.0,0.04,96.58735711,0
AH6809,10000.0,-1.0,98.85619614,0
AI-10-49,833.33,3.47,72.83792926,0
AIM-100,10000.0,1.78,95.86881499,0
AJ76-(+),100.0,-0.05,96.58153714,0
ajmaline,833.33,0.5,99.45872193,0
AK-7,8.33,1.59,102.2651456,0
aklomide,100.0,2.0,95.78278036,0
AL-8697,833.33,0.89,86.29781554,0
alacepril,100.0,0.98,92.98886828,0
alantolactone,10000.0,12.62,101.25044,0
alarelin,833.33,1.34,96.89143998,0
albendazole,1.0,3.38,104.8464309,0
albendazole-oxide,1.0,3.02,103.0283037,0
albuterol,8.33,1.41,91.07710632,0
alcaftadine,833.33,0.36,91.55303229,0
alclometasone-dipropionate,1.0,3.0,107.8747419,0
alcuronium,10000.0,4.13,102.8069924,0
alda-1,8.33,0.82,104.725348,0
aldoxorubicin,833.33,4.67,81.97875687,0
alectinib,8.33,1.4,94.30402602,0
alendronate,100.0,0.15,106.0422623,0
alexidine,8.33,4.36,106.5410023,0
alfacalcidol,1.0,2.5,90.23488087,0
alfadolone-acetate,1.0,3.28,105.781366,0
alfaxalone,8.33,0.56,95.86882062,0
algestone-acetophenide,10000.0,2.91,101.6199595,0
alibendol,833.33,1.71,104.5892831,0
alimemazine,10000.0,-0.47,77.18645273,0
alisertib,833.33,0.49,82.69215206,0
aliskiren-hemifumarate,1.0,0.8,93.81516976,0
alizapride,8.33,1.78,97.33797255,0
allantoin,10000.0,1.18,101.8593323,0
allopregnanolone,1.0,1.91,93.08487277,0
allopurinol,10000.0,-7.04,93.88966008,0
allopurinol-riboside,100.0,2.88,98.19547107,0
allylestrenol,10000.0,1.75,97.72090421,0
almitrine,8.33,-3.95,107.2764828,0
almorexant,1.0,2.74,97.36296611,0
almotriptan,8.33,1.33,100.1027987,0
aloe-emodin,8.33,-0.39,103.9684558,0
aloin,10000.0,1.29,103.6703819,0
aloperine,8.33,2.25,100.0647735,0
alosetron,1.0,-0.13,99.25733191,0
aloxistatin,10000.0,11.22,99.22089684,0
alpelisib,1.0,2.4,104.1844853,0
alpha-asarone,1.0,0.99,109.277311,0
alpha-methylhistamine-dihydrobromide-(S)-(+),100.0,16.12,101.0673503,0
alpha-methylserotonin,833.33,-0.05,90.32016708,0
alpidem,10000.0,-3.74,111.4558239,0
alprostadil,8.33,3.65,101.030023,0
alrestatin,1.0,5.18,94.79162041,0
ALS-8112,1.0,3.35,100.4040984,0
altanserin,833.33,2.37,101.3958814,0
althiazide,8.33,0.99,97.15224894,0
altinicline,10000.0,0.92,100.6348747,0
altiratinib,100.0,3.44,109.7235164,0
altrenogest,10000.0,4.81,104.0185066,0
altretamine,10000.0,2.53,100.6567573,0
alverine,8.33,1.03,93.4195063,0
alvespimycin,10000.0,12.36,10.09240977,0
alvimopan,8.33,3.07,96.22795576,0
alvocidib,100.0,7.55,95.15825949,0
ALX-5407,8.33,1.55,99.08293099,0
AM-1241,10000.0,4.92,105.6158996,0
AM-24,8.33,0.4,103.3892184,0
AM-251,100.0,3.18,103.8036471,0
AM-281,8.33,1.48,96.59481715,0
AM-404,100.0,3.11,92.86711204,0
AM-580,10000.0,3.21,96.52289449,0
AM-630,10000.0,2.05,96.99590738,0
AM095,1.0,0.92,94.999828,0
AM679,8.33,1.81,104.9061406,0
amantadine,10000.0,3.28,93.79038106,0
ambazone,1.0,1.75,90.87135632,0
ambenonium,833.33,0.75,93.05001914,0
ambrisentan,833.33,-0.18,97.38065176,0
ambroxol,833.33,1.23,104.6020249,0
amcinonide,8.33,-0.7,96.24168328,0
AMD-3465,100.0,3.41,100.963431,0
AMD11070,100.0,0.37,102.2208479,0
ameltolide,8.33,1.03,102.1504051,0
amezinium,100.0,0.21,104.3379768,0
amfenac,100.0,1.2,97.1782051,0
amfepramone,8.33,1.39,101.6302816,0
amflutizole,10000.0,1.39,113.2687372,0
AMG-208,10000.0,1.81,91.16314601,0
AMG-232,833.33,4.65,58.08120751,0
AMG-337,100.0,0.19,101.620457,0
AMG-487-(+/-),100.0,3.44,102.6451567,0
AMG-517,833.33,2.31,101.8100487,0
AMG-548,10000.0,32.89,97.18159289,0
AMG-837,10000.0,4.27,97.42235027,0
AMG-925,8.33,-0.1,92.77562042,0
AMG-9810,100.0,1.24,95.95621488,0
AMG-PERK-44,10000.0,43.44,115.6255561,0
AMG319,100.0,11.01,97.65024995,0
AMG458,1.0,2.46,104.1908221,0
AMG900,1.0,-1.03,100.4281886,0
AMI-1,100.0,2.19,102.4082435,0
amidopyrine,8.33,-9.18,96.41853278,0
amifampridine,8.33,-1.46,100.1447133,0
amifostine,1.0,5.31,103.9547558,0
amikacin,833.33,2.36,94.45953893,0
amiloride,8.33,3.86,101.6338692,0
