smiles,logS,logS_lower_bound,logS_upper_bound,Capped_logS_lower_bound,Capped_logS_upper_bound
C=CC(=O)N1CCC[C@@H](c2ccc(C(N)=O)c3[nH]ccc23)C1,-2.13,-3.05,-1.22,-3.05,-1.22
CC#CC(=O)N[C@H]1CCCN(c2c(F)cc(C(N)=O)c3[nH]c(C)c(C)c23)C1,-2.76,-3.38,-2.15,-3.38,-2.15
CC(C)Cc1ccc(C(C)C(=O)O)cc1,-3.87,-4.74,-2.99,-4.74,-2.99
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,-4.74,-5.4,-4.08,-5.4,-4.08
CC(=O)Oc1ccccc1C(=O)O,-1.71,-2.16,-1.26,-2.16,-1.26
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,-4.48,-5.44,-3.52,-5.44,-3.52
O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[Na+],-2.41,-5.32,0.497,-5.32,0.497
COc1ccc2cc(CCC(C)=O)ccc2c1,-2.35,-3.79,-0.906,-3.79,-0.906
O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[K+],-2.42,-6.42,1.58,-6.42,1.58
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,-3.4,-6.6,-0.207,-6.6,-0.207
COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,-3.97,-5.39,-2.55,-5.39,-2.55
Cc1ccc(Cl)c(Nc2ccccc2C(=O)[O-])c1Cl.O.[Na+],-4.32,-5.74,-2.9,-5.74,-2.9
O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,-5.76,-6.95,-4.56,-6.95,-4.56
Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,-2.23,-3.25,-1.21,-3.25,-1.21
Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,-2.9,-3.67,-2.13,-3.67,-2.13
O=C([O-])CCNC(=O)c1ccc(/N=N/c2ccc(O)c(C(=O)[O-])c2)cc1.[Na+].[Na+],-1.24,-2.22,-0.254,-2.22,-0.254
O=C([O-])c1cc(/N=N/c2ccc(O)c(C(=O)[O-])c2)ccc1O.[Na+].[Na+],-2.66,-3.63,-1.7,-3.63,-1.7
O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,-2.44,-3.35,-1.52,-3.35,-1.52
Nc1ccc(O)c(C(=O)O)c1,-2.06,-3.08,-1.05,-3.08,-1.05
Cc1ccc(C(=O)c2ccc(CC(=O)[O-])n2C)cc1.[Na+],-2.83,-3.84,-1.82,-3.84,-1.82
COc1ccc2cc([C@H](C)C(=O)[O-])ccc2c1.[Na+],-2.95,-4.23,-1.67,-4.23,-1.67
CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc([S+](C)[O-])cc1,-4.57,-5.28,-3.87,-5.28,-3.87
CC(C(=O)[O-])c1cccc(Oc2ccccc2)c1.CC(C(=O)[O-])c1cccc(Oc2ccccc2)c1.O.O.[Ca+2],-6.79,-7.31,-6.26,-7.31,-6.26
CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,-4.2,-5.26,-3.14,-5.26,-3.14
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,-3.4,-4.1,-2.7,-4.1,-2.7
CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,-3.18,-3.83,-2.54,-3.83,-2.54
O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,-4.61,-5.29,-3.93,-5.29,-3.93
O=C(O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,-3.3,-4.67,-1.92,-4.67,-1.92
NC(=O)Cc1cccc(C(=O)c2ccccc2)c1N,-3.68,-5.1,-2.27,-5.1,-2.27
CC(=O)Nc1ccc(O)cc1,-1.28,-2.18,-0.388,-2.18,-0.388
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl.OCCN1CCCC1,-2.23,-4.71,0.256,-4.71,0.256
O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,-6.55,-9.04,-4.06,-9.04,-4.06
Cc1c(N(C)CS(=O)(=O)[O-])c(=O)n(-c2ccccc2)n1C.O.[Na+],0.909,-0.0938,1.91,-0.0938,1.91
Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1,-3.66,-4.59,-2.74,-4.59,-2.74
CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O.O,-4.17,-5.35,-2.99,-5.35,-2.99
O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,-3.13,-3.95,-2.3,-3.95,-2.3
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,-4.18,-4.87,-3.5,-4.87,-3.5
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,-4.38,-5.56,-3.19,-5.56,-3.19
CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,-4.92,-6.22,-3.62,-6.22,-3.62
CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,-3.35,-4.54,-2.16,-4.54,-2.16
CC(C(=O)O)c1cccc(Oc2ccccc2)c1,-4.0,-4.62,-3.37,-4.62,-3.37
CC(C(=O)O)c1ccc(N2Cc3ccccc3C2=O)cc1,-4.28,-5.57,-2.98,-5.57,-2.98
CC(C)Cc1ccc([C@H](C)C(=O)O)cc1,-3.87,-4.74,-2.99,-4.74,-2.99
COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,-4.6,-5.06,-4.14,-5.06,-4.14
Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,-4.0,-4.66,-3.34,-4.66,-3.34
Cc1cccc(Nc2ccccc2C(=O)O)c1C,-4.22,-4.92,-3.52,-4.92,-3.52
C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1,-3.4,-4.1,-2.7,-4.1,-2.7
NC(CO)(CO)CO.O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,-1.53,-2.15,-0.914,-2.15,-0.914
CCC(=O)[N-]S(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2C)cc1.[Na+],-3.2,-4.13,-2.26,-4.13,-2.26
Nc1c(CC(=O)[O-])cccc1C(=O)c1ccc(Br)cc1.Nc1c(CC(=O)[O-])cccc1C(=O)c1ccc(Br)cc1.O.O.O.[Na+].[Na+],-4.79,-5.66,-3.93,-5.66,-3.93
Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,-3.83,-4.87,-2.8,-4.87,-2.8
CCC(=O)NS(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2C)cc1,-4.19,-5.19,-3.19,-5.19,-3.19
CCCC1C(=O)N2C(N(C)C)=Nc3ccc(C)cc3N2C1=O,-3.43,-4.06,-2.79,-4.06,-2.79
CN1C(C(=O)Nc2ccccn2)=C(O)c2sc(Cl)cc2S1(=O)=O,-4.66,-5.21,-4.11,-5.21,-4.11
CC(C(=O)O)c1ccc(N2CC=CC2)c(Cl)c1,-3.25,-4.22,-2.28,-4.22,-2.28
Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1,-2.84,-3.68,-1.99,-3.68,-1.99
Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,-4.73,-5.98,-3.49,-5.98,-3.49
