chembl_id,drug_name,smiles,max_phase,status_mode,target_genes,pathway_ids,pathway_names,moa_terms,n_target_genes,n_pathways,n_moa_terms
CHEMBL2010872,CEP-11981,CC(C)Cn1c2ccc(Nc3ncccn3)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3,2.0,Recruiting,FLT4;KDR,R-HSA-194306;R-HSA-195399;R-HSA-216083;R-HSA-4420097;R-HSA-5218921;R-HSA-9013695;R-HSA-9673768;R-HSA-9856530,High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cell;High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells;Integrin cell surface interaction;Integrin cell surface interactions;NOTCH4 Intracellular Domain Regulates Transcriptio;NOTCH4 Intracellular Domain Regulates Transcription;Neurophilin interactions with VEGF and VEGF;Neurophilin interactions with VEGF and VEGFR;Signaling by membrane-tethered fusions of PDGFRA or PDGFR;Signaling by membrane-tethered fusions of PDGFRA or PDGFRB;VEGF binds to VEGFR leading to receptor dimerizatio;VEGF binds to VEGFR leading to receptor dimerization;VEGFA-VEGFR2 Pathwa;VEGFA-VEGFR2 Pathway;VEGFR2 mediated cell proliferatio;VEGFR2 mediated cell proliferation,,2,8,0
CHEMBL2021430,DEXAMETHASONE SODIUM PHOSPHATE,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)([O-])[O-].[Na+].[Na+],,,,,,Glucocorticoid receptor agonist,0,0,1
CHEMBL2023895,HYDROXYSTILBAMIDINE ISETHIONATE,N=C(N)c1ccc(/C=C/c2ccc(C(=N)N)cc2O)cc1.O=S(=O)(O)CCO.O=S(=O)(O)CCO,,,,,,DNA inhibitor | RNA inhibitor,0,0,1
CHEMBL2028663,DABRAFENIB,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,4.0,,BRAF,R-HSA-1295596;R-HSA-170968;R-HSA-170984;R-HSA-187706;R-HSA-5673000;R-HSA-5674135;R-HSA-5674499;R-HSA-5675221;R-HSA-6802946;R-HSA-6802948;R-HSA-6802952;R-HSA-6802955;R-HSA-9649948;R-HSA-9656223;R-HSA-9726840;R-HSA-9726842,ARMS-mediated activatio;ARMS-mediated activation;Frs2-mediated activatio;Frs2-mediated activation;Gain-of-function MRAS complexes activate RAF signalin;Gain-of-function MRAS complexes activate RAF signaling;MAP2K and MAPK activatio;MAP2K and MAPK activation;Negative feedback regulation of MAPK pathwa;Negative feedback regulation of MAPK pathway;Negative regulation of MAPK pathwa;Negative regulation of MAPK pathway;Paradoxical activation of RAF signaling by kinase inactive BRA;Paradoxical activation of RAF signaling by kinase inactive BRAF;RAF activatio;RAF activation;SHOC2 M1731 mutant abolishes MRAS complex functio;SHOC2 M1731 mutant abolishes MRAS complex function;Signaling by BRAF and RAF1 fusion;Signaling by BRAF and RAF1 fusions;Signaling by RAF1 mutant;Signaling by RAF1 mutants;Signaling by high-kinase activity BRAF mutant;Signaling by high-kinase activity BRAF mutants;Signaling by moderate kinase activity BRAF mutant;Signaling by moderate kinase activity BRAF mutants;Signaling downstream of RAS mutant;Signaling downstream of RAS mutants;Signalling to p38 via RIT and RI;Signalling to p38 via RIT and RIN;Spry regulation of FGF signalin;Spry regulation of FGF signaling,,1,16,0
CHEMBL2029988,CEP-32496,COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C(F)(F)F)on4)c3)c2cc1OC,1.0,Completed,BRAF;RET,R-HSA-1295596;R-HSA-170968;R-HSA-170984;R-HSA-187706;R-HSA-5673000;R-HSA-5673001;R-HSA-5674135;R-HSA-5674499;R-HSA-5675221;R-HSA-6802946;R-HSA-6802948;R-HSA-6802952;R-HSA-6802955;R-HSA-8853659;R-HSA-9649948;R-HSA-9656223;R-HSA-9726840;R-HSA-9726842;R-HSA-9768919;R-HSA-9830364;R-HSA-9830674,ARMS-mediated activatio;ARMS-mediated activation;Formation of the nephric duc;Formation of the nephric duct;Formation of the ureteric bu;Formation of the ureteric bud;Frs2-mediated activatio;Frs2-mediated activation;Gain-of-function MRAS complexes activate RAF signalin;Gain-of-function MRAS complexes activate RAF signaling;MAP2K and MAPK activatio;MAP2K and MAPK activation;NPAS4 regulates expression of target gene;NPAS4 regulates expression of target genes;Negative feedback regulation of MAPK pathwa;Negative feedback regulation of MAPK pathway;Negative regulation of MAPK pathwa;Negative regulation of MAPK pathway;Paradoxical activation of RAF signaling by kinase inactive BRA;Paradoxical activation of RAF signaling by kinase inactive BRAF;RAF activatio;RAF activation;RAF/MAP kinase cascad;RAF/MAP kinase cascade;RET signalin;RET signaling;SHOC2 M1731 mutant abolishes MRAS complex functio;SHOC2 M1731 mutant abolishes MRAS complex function;Signaling by BRAF and RAF1 fusion;Signaling by BRAF and RAF1 fusions;Signaling by RAF1 mutant;Signaling by RAF1 mutants;Signaling by high-kinase activity BRAF mutant;Signaling by high-kinase activity BRAF mutants;Signaling by moderate kinase activity BRAF mutant;Signaling by moderate kinase activity BRAF mutants;Signaling downstream of RAS mutant;Signaling downstream of RAS mutants;Signalling to p38 via RIT and RI;Signalling to p38 via RIT and RIN;Spry regulation of FGF signalin;Spry regulation of FGF signaling,,2,21,0
CHEMBL2035187,PACRITINIB,C1=N/C2=N/c3ccc(OCCN4CCCC4)c(c3)COC/C=C/COCc3cccc(c3)C(=C1)N2,4.0,,FLT3;JAK2,R-HSA-1059683;R-HSA-109704;R-HSA-110056;R-HSA-112411;R-HSA-1170546;R-HSA-1257604;R-HSA-1433557;R-HSA-2219530;R-HSA-2586552;R-HSA-3214858;R-HSA-512988;R-HSA-5673000;R-HSA-5673001;R-HSA-6785807;R-HSA-6788467;R-HSA-6802946;R-HSA-6802952;R-HSA-6802955;R-HSA-6811558;R-HSA-69231;R-HSA-877300;R-HSA-877312;R-HSA-8854691;R-HSA-8984722;R-HSA-9006335;R-HSA-9020591;R-HSA-9020933;R-HSA-9020956;R-HSA-9027276;R-HSA-9027277;R-HSA-9027283;R-HSA-9027284;R-HSA-912526;R-HSA-9607240;R-HSA-9645135;R-HSA-9649948;R-HSA-9656223;R-HSA-9670439;R-HSA-9674555;R-HSA-9679191;R-HSA-9702509;R-HSA-9702518;R-HSA-9702569;R-HSA-9702577;R-HSA-9702581;R-HSA-9702590;R-HSA-9702596;R-HSA-9702600;R-HSA-9702605;R-HSA-9702614;R-HSA-9702620;R-HSA-9702624;R-HSA-9702632;R-HSA-9702636;R-HSA-9702998;R-HSA-9703009;R-HSA-9703648;R-HSA-9705462;R-HSA-9706369;R-HSA-9706374;R-HSA-9706377;R-HSA-9732724;R-HSA-982772;R-HSA-983231,"Constitutive Signaling by Aberrant PI3K in Cance;Constitutive Signaling by Aberrant PI3K in Cancer;Cyclin D associated events in G;Cyclin D associated events in G1;Erythropoietin activates Phosphoinositide-3-kinase (PI3K;Erythropoietin activates Phosphoinositide-3-kinase (PI3K);Erythropoietin activates Phospholipase C gamma (PLCG;Erythropoietin activates Phospholipase C gamma (PLCG);Erythropoietin activates RA;Erythropoietin activates RAS;Erythropoietin activates STAT;Erythropoietin activates STAT5;FLT3 Signalin;FLT3 Signaling;FLT3 mutants bind TKI;FLT3 mutants bind TKIs;FLT3 signaling by CBL mutant;FLT3 signaling by CBL mutants;FLT3 signaling through SRC family kinase;FLT3 signaling through SRC family kinases;Factors involved in megakaryocyte development and platelet productio;Factors involved in megakaryocyte development and platelet production;Growth hormone receptor signalin;Growth hormone receptor signaling;IFNG signaling activates MAPK;IFNG signaling activates MAPKs;IL-6-type cytokine receptor ligand interaction;IL-6-type cytokine receptor ligand interactions;Inactivation of CSF3 (G-CSF) signalin;Inactivation of CSF3 (G-CSF) signaling;Interferon gamma signalin;Interferon gamma signaling;Interleukin receptor SHC signalin;Interleukin receptor SHC signaling;Interleukin-12 signalin;Interleukin-12 signaling;Interleukin-20 family signalin;Interleukin-20 family signaling;Interleukin-23 signalin;Interleukin-23 signaling;Interleukin-27 signalin;Interleukin-27 signaling;Interleukin-3, Interleukin-5 and GM-CSF signalin;Interleukin-3, Interleukin-5 and GM-CSF signaling;Interleukin-35 Signallin;Interleukin-35 Signalling;Interleukin-4 and Interleukin-13 signalin;Interleukin-4 and Interleukin-13 signaling;Interleukin-6 signalin;Interleukin-6 signaling;KW2449-resistant FLT3 mutant;KW2449-resistant FLT3 mutants;MAPK1 (ERK2) activatio;MAPK1 (ERK2) activation;MAPK3 (ERK1) activatio;MAPK3 (ERK1) activation;Negative regulation of FLT;Negative regulation of FLT3;PI3K Cascad;PI3K Cascade;PI5P, PP2A and IER3 Regulate PI3K/AKT Signalin;PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling;PIP3 activates AKT signalin;PIP3 activates AKT signaling;Paradoxical activation of RAF signaling by kinase inactive BRA;Paradoxical activation of RAF signaling by kinase inactive BRAF;Potential therapeutics for SAR;Potential therapeutics for SARS;Prolactin receptor signalin;Prolactin receptor signaling;RAF activatio;RAF activation;RAF/MAP kinase cascad;RAF/MAP kinase cascade;RMTs methylate histone arginine;RMTs methylate histone arginines;Regulation of IFNG signalin;Regulation of IFNG signaling;STAT5 Activatio;STAT5 Activation;STAT5 activation downstream of FLT3 ITD mutant;STAT5 activation downstream of FLT3 ITD mutants;Signaling by BRAF and RAF1 fusion;Signaling by BRAF and RAF1 fusions;Signaling by CSF3 (G-CSF;Signaling by CSF3 (G-CSF);Signaling by Erythropoieti;Signaling by Erythropoietin;Signaling by FLT3 ITD and TKD mutant;Signaling by FLT3 ITD and TKD mutants;Signaling by Lepti;Signaling by Leptin;Signaling by RAF1 mutant;Signaling by RAF1 mutants;Signaling by SCF-KI;Signaling by SCF-KIT;Signaling by moderate kinase activity BRAF mutant;Signaling by moderate kinase activity BRAF mutants;Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutant;Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants;Signaling downstream of RAS mutant;Signaling downstream of RAS mutants;crenolanib-resistant FLT3 mutant;crenolanib-resistant FLT3 mutants;gilteritinib-resistant FLT3 mutant;gilteritinib-resistant FLT3 mutants;lestaurtinib-resistant FLT3 mutant;lestaurtinib-resistant FLT3 mutants;linifanib-resistant FLT3 mutant;linifanib-resistant FLT3 mutants;midostaurin-resistant FLT3 mutant;midostaurin-resistant FLT3 mutants;pexidartinib-resistant FLT3 mutant;pexidartinib-resistant FLT3 mutants;ponatinib-resistant FLT3 mutant;ponatinib-resistant FLT3 mutants;quizartinib-resistant FLT3 mutant;quizartinib-resistant FLT3 mutants;semaxanib-resistant FLT3 mutant;semaxanib-resistant FLT3 mutants;sorafenib-resistant FLT3 mutant;sorafenib-resistant FLT3 mutants;sunitinib-resistant FLT3 mutant;sunitinib-resistant FLT3 mutants;tamatinib-resistant FLT3 mutant;tamatinib-resistant FLT3 mutants;tandutinib-resistant FLT3 mutant;tandutinib-resistant FLT3 mutants",Tyrosine-protein kinase receptor FLT3 inhibitor,2,64,1
CHEMBL2040682,CICLESONIDE,CC(C)C(=O)OCC(=O)[C@@]12O[C@H](C3CCCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,,,,,,Glucocorticoid receptor agonist,0,0,1
CHEMBL206834,BAFETINIB,Cc1ccc(NC(=O)c2ccc(CN3CC[C@H](N(C)C)C3)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cncnc2)n1,2.0,Completed,ABL1,R-HSA-2029482;R-HSA-428890;R-HSA-525793;R-HSA-5663213;R-HSA-5685938;R-HSA-5693565;R-HSA-69231;R-HSA-8939236;R-HSA-8940973;R-HSA-9664422;R-HSA-983231;R-HSA-9841922;R-HSA-9860927,"Cyclin D associated events in G;Cyclin D associated events in G1;FCGR3A-mediated phagocytosi;FCGR3A-mediated phagocytosis;Factors involved in megakaryocyte development and platelet productio;Factors involved in megakaryocyte development and platelet production;HDR through Single Strand Annealing (SSA;HDR through Single Strand Annealing (SSA);MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosi;MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis;Myogenesi;Myogenesis;RHO GTPases Activate WASPs and WAVE;RHO GTPases Activate WASPs and WAVEs;RUNX1 regulates transcription of genes involved in differentiation of HSC;RUNX1 regulates transcription of genes involved in differentiation of HSCs;RUNX2 regulates osteoblast differentiatio;RUNX2 regulates osteoblast differentiation;Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand break;Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks;Regulation of actin dynamics for phagocytic cup formatio;Regulation of actin dynamics for phagocytic cup formation;Role of ABL in ROBO-SLIT signalin;Role of ABL in ROBO-SLIT signaling;Turbulent (oscillatory, disturbed) flow shear stress activates signaling by PIEZO1 and integrins in endothelial cell;Turbulent (oscillatory, disturbed) flow shear stress activates signaling by PIEZO1 and integrins in endothelial cells",,1,13,0
CHEMBL2079588,TELATINIB,CNC(=O)c1cc(COc2nnc(Nc3ccc(Cl)cc3)c3ccoc23)ccn1,2.0,Completed,FLT4;KDR;KIT;PDGFRB,R-HSA-1257604;R-HSA-1433557;R-HSA-1433559;R-HSA-186763;R-HSA-186797;R-HSA-194306;R-HSA-195399;R-HSA-2028269;R-HSA-216083;R-HSA-2219530;R-HSA-4420097;R-HSA-5218921;R-HSA-5673001;R-HSA-6811558;R-HSA-8866910;R-HSA-9013695;R-HSA-9669914;R-HSA-9669917;R-HSA-9669921;R-HSA-9669924;R-HSA-9669926;R-HSA-9669929;R-HSA-9669933;R-HSA-9669934;R-HSA-9669935;R-HSA-9669936;R-HSA-9670439;R-HSA-9673768;R-HSA-9673770;R-HSA-9680187;R-HSA-9856530;R-HSA-9856649,"Constitutive Signaling by Aberrant PI3K in Cance;Constitutive Signaling by Aberrant PI3K in Cancer;Dasatinib-resistant KIT mutant;Dasatinib-resistant KIT mutants;Downstream signal transductio;Downstream signal transduction;High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cell;High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells;Imatinib-resistant KIT mutant;Imatinib-resistant KIT mutants;Integrin cell surface interaction;Integrin cell surface interactions;KIT mutants bind TKI;KIT mutants bind TKIs;Masitinib-resistant KIT mutant;Masitinib-resistant KIT mutants;NOTCH4 Intracellular Domain Regulates Transcriptio;NOTCH4 Intracellular Domain Regulates Transcription;Neurophilin interactions with VEGF and VEGF;Neurophilin interactions with VEGF and VEGFR;Nilotinib-resistant KIT mutant;Nilotinib-resistant KIT mutants;PI5P, PP2A and IER3 Regulate PI3K/AKT Signalin;PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling;PIP3 activates AKT signalin;PIP3 activates AKT signaling;RAF/MAP kinase cascad;RAF/MAP kinase cascade;Regorafenib-resistant KIT mutant;Regorafenib-resistant KIT mutants;Regulation of KIT signalin;Regulation of KIT signaling;Signaling by PDG;Signaling by PDGF;Signaling by SCF-KI;Signaling by SCF-KIT;Signaling by extracellular domain mutants of KI;Signaling by extracellular domain mutants of KIT;Signaling by juxtamembrane domain KIT mutant;Signaling by juxtamembrane domain KIT mutants;Signaling by kinase domain mutants of KI;Signaling by kinase domain mutants of KIT;Signaling by membrane-tethered fusions of PDGFRA or PDGFR;Signaling by membrane-tethered fusions of PDGFRA or PDGFRB;Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutant;Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants;Sorafenib-resistant KIT mutant;Sorafenib-resistant KIT mutants;Sunitinib-resistant KIT mutant;Sunitinib-resistant KIT mutants;TFAP2 (AP-2) family regulates transcription of growth factors and their receptor;TFAP2 (AP-2) family regulates transcription of growth factors and their receptors;Transcriptional and post-translational regulation of MITF-M expression and activit;Transcriptional and post-translational regulation of MITF-M expression and activity;VEGF binds to VEGFR leading to receptor dimerizatio;VEGF binds to VEGFR leading to receptor dimerization;VEGFA-VEGFR2 Pathwa;VEGFA-VEGFR2 Pathway;VEGFR2 mediated cell proliferatio;VEGFR2 mediated cell proliferation",,4,32,0
CHEMBL2087361,ICOTINIB,C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,,,,,,Epidermal growth factor receptor erbB1 inhibitor,0,0,1
CHEMBL20883,TEGAFUR,O=c1[nH]c(=O)n(C2CCCO2)cc1F,,,,,,DNA inhibitor | RNA inhibitor,0,0,1
CHEMBL2095206,BOSUTINIB MONOHYDRATE,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl.O,4.0,,ABL1;BCR,R-HSA-1839117;R-HSA-2029482;R-HSA-428890;R-HSA-525793;R-HSA-5654736;R-HSA-5663213;R-HSA-5685938;R-HSA-5693565;R-HSA-69231;R-HSA-8939236;R-HSA-8940973;R-HSA-8980692;R-HSA-9013026;R-HSA-9013106;R-HSA-9013148;R-HSA-9013149;R-HSA-9013404;R-HSA-9013423;R-HSA-9664422;R-HSA-983231;R-HSA-9841922;R-HSA-9860927,"CDC42 GTPase cycl;Cyclin D associated events in G;Cyclin D associated events in G1;FCGR3A-mediated phagocytosi;FCGR3A-mediated phagocytosis;Factors involved in megakaryocyte development and platelet productio;Factors involved in megakaryocyte development and platelet production;HDR through Single Strand Annealing (SSA;HDR through Single Strand Annealing (SSA);MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosi;MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis;Myogenesi;Myogenesis;RAC1 GTPase cycl;RAC2 GTPase cycl;RAC3 GTPase cycl;RHO GTPases Activate WASPs and WAVE;RHO GTPases Activate WASPs and WAVEs;RHOA GTPase cycl;RHOB GTPase cycl;RHOC GTPase cycl;RUNX1 regulates transcription of genes involved in differentiation of HSC;RUNX1 regulates transcription of genes involved in differentiation of HSCs;RUNX2 regulates osteoblast differentiatio;RUNX2 regulates osteoblast differentiation;Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand break;Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks;Regulation of actin dynamics for phagocytic cup formatio;Regulation of actin dynamics for phagocytic cup formation;Role of ABL in ROBO-SLIT signalin;Role of ABL in ROBO-SLIT signaling;Signaling by FGFR1 in diseas;Signaling by cytosolic FGFR1 fusion mutant;Turbulent (oscillatory, disturbed) flow shear stress activates signaling by PIEZO1 and integrins in endothelial cell;Turbulent (oscillatory, disturbed) flow shear stress activates signaling by PIEZO1 and integrins in endothelial cells",Bcr/Abl fusion protein inhibitor,2,22,1
CHEMBL2096646,AMINOSALICYLATE SODIUM,Nc1ccc(C(=O)[O-])c(O)c1.O.O.[Na+],,,,,,Dihydrofolate reductase inhibitor,0,0,1
CHEMBL2103743,TOFACITINIB CITRATE,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12.O=C(O)CC(O)(CC(=O)O)C(=O)O,4.0,,JAK2,R-HSA-1059683;R-HSA-110056;R-HSA-112411;R-HSA-1170546;R-HSA-1433557;R-HSA-2586552;R-HSA-3214858;R-HSA-512988;R-HSA-5673000;R-HSA-5673001;R-HSA-6785807;R-HSA-6788467;R-HSA-6802946;R-HSA-6802952;R-HSA-6802955;R-HSA-69231;R-HSA-877300;R-HSA-877312;R-HSA-8854691;R-HSA-8984722;R-HSA-9006335;R-HSA-9020591;R-HSA-9020933;R-HSA-9020956;R-HSA-9027276;R-HSA-9027277;R-HSA-9027283;R-HSA-9027284;R-HSA-912526;R-HSA-9649948;R-HSA-9656223;R-HSA-9670439;R-HSA-9674555;R-HSA-9679191;R-HSA-9705462;R-HSA-9732724;R-HSA-982772;R-HSA-983231,"Cyclin D associated events in G;Cyclin D associated events in G1;Erythropoietin activates Phosphoinositide-3-kinase (PI3K;Erythropoietin activates Phosphoinositide-3-kinase (PI3K);Erythropoietin activates Phospholipase C gamma (PLCG;Erythropoietin activates Phospholipase C gamma (PLCG);Erythropoietin activates RA;Erythropoietin activates RAS;Erythropoietin activates STAT;Erythropoietin activates STAT5;Factors involved in megakaryocyte development and platelet productio;Factors involved in megakaryocyte development and platelet production;Growth hormone receptor signalin;Growth hormone receptor signaling;IFNG signaling activates MAPK;IFNG signaling activates MAPKs;IL-6-type cytokine receptor ligand interaction;IL-6-type cytokine receptor ligand interactions;Inactivation of CSF3 (G-CSF) signalin;Inactivation of CSF3 (G-CSF) signaling;Interferon gamma signalin;Interferon gamma signaling;Interleukin receptor SHC signalin;Interleukin receptor SHC signaling;Interleukin-12 signalin;Interleukin-12 signaling;Interleukin-20 family signalin;Interleukin-20 family signaling;Interleukin-23 signalin;Interleukin-23 signaling;Interleukin-27 signalin;Interleukin-27 signaling;Interleukin-3, Interleukin-5 and GM-CSF signalin;Interleukin-3, Interleukin-5 and GM-CSF signaling;Interleukin-35 Signallin;Interleukin-35 Signalling;Interleukin-4 and Interleukin-13 signalin;Interleukin-4 and Interleukin-13 signaling;Interleukin-6 signalin;Interleukin-6 signaling;MAPK1 (ERK2) activatio;MAPK1 (ERK2) activation;MAPK3 (ERK1) activatio;MAPK3 (ERK1) activation;Paradoxical activation of RAF signaling by kinase inactive BRA;Paradoxical activation of RAF signaling by kinase inactive BRAF;Potential therapeutics for SAR;Potential therapeutics for SARS;Prolactin receptor signalin;Prolactin receptor signaling;RAF activatio;RAF activation;RAF/MAP kinase cascad;RAF/MAP kinase cascade;RMTs methylate histone arginine;RMTs methylate histone arginines;Regulation of IFNG signalin;Regulation of IFNG signaling;Signaling by BRAF and RAF1 fusion;Signaling by BRAF and RAF1 fusions;Signaling by CSF3 (G-CSF;Signaling by CSF3 (G-CSF);Signaling by Erythropoieti;Signaling by Erythropoietin;Signaling by Lepti;Signaling by Leptin;Signaling by RAF1 mutant;Signaling by RAF1 mutants;Signaling by SCF-KI;Signaling by SCF-KIT;Signaling by moderate kinase activity BRAF mutant;Signaling by moderate kinase activity BRAF mutants;Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutant;Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants;Signaling downstream of RAS mutant;Signaling downstream of RAS mutants",,1,38,0
CHEMBL2103796,BERUBICIN HYDROCHLORIDE,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](OCc2ccccc2)[C@H](C)O1.Cl,1.0,Terminated,TOP2A,R-HSA-1362277;R-HSA-4615885,SUMOylation of DNA replication protein;SUMOylation of DNA replication proteins;Transcription of E2F targets under negative control by DREAM comple;Transcription of E2F targets under negative control by DREAM complex,,1,2,0
CHEMBL2103830,FOSTAMATINIB,COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)N(COP(=O)(O)O)C(=O)C(C)(C)O4)n2)cc(OC)c1OC,,,,,,Tyrosine-protein kinase SYK inhibitor,0,0,1
