rank,compound_name,chembl_id,composite_score,ab_activity_z_max,cpe_activity_z_max,cp_morph_z_max,toxicity_z_max,flag_ab_toxicity,flag_cpe_toxicity,flag_cp_only,flag_ab_no_cpe
220,cyclopiazonic-acid,CHEMBL260580,3.4718471222898493,3.091458333333333,4.587239336492892,2.0018402717967945,4.3143065928198645,True,True,False,False
223,RU-SKI-43,CHEMBL5411797,3.4167658671011987,5.518636363636364,1.653285714285714,2.73998517966184,1.6329806402598386,True,True,False,False
225,BIX-01294,CHEMBL569864,3.4058725572227755,3.4287083333333332,3.7752819905213273,2.621382138404556,9.520667898153592,True,True,False,False
226,thiothixene,CHEMBL1201,3.394733165198033,2.8206363636363636,4.529699052132702,2.272994994452036,1.356512463639454,False,False,False,True
227,norfluoxetine,CHEMBL1494,3.390793269081343,5.457318181818182,1.217142857142857,3.6050442674846357,1.846240136492778,True,False,False,False
228,SR-33805,CHEMBL287679,3.3874144409627354,0.7307083333333333,7.822281990521327,-0.16890844289564513,4.651455633290893,False,True,False,False
232,walrycin-B,CHEMBL1096283,3.340569380483603,1.9672916666666664,5.25512341772152,2.258016733641642,8.425822152310234,True,True,False,False
233,tilorone,CHEMBL47298,3.3291591847213917,-0.11241666666666666,8.001296208530807,0.8680368398786774,8.319005428616624,False,True,False,False
234,genz-123346,CHEMBL1087641,3.3238409268365365,3.9243636363636365,3.2094691943127964,2.3515389728298133,2.168959471933432,True,True,False,False
235,raloxifene,CHEMBL81,3.3088600634343788,0.33725,7.847855450236968,0.17408941669795838,4.015892333036515,False,True,False,False
236,ixazomib,CHEMBL2141296,3.307908983102797,1.180375,7.377943127962086,-0.5770913404101902,16.017294323950807,False,True,False,False
237,MK-2206,CHEMBL1079175,3.2980901513280956,-0.2810416666666667,7.870232227488152,1.3120696349975065,4.634949445210834,False,True,False,False
238,ZLN005,CHEMBL4303368,3.292633168620883,4.8441363636363635,1.62648417721519,3.5219247614013063,2.2093836575987846,True,True,False,False
240,chlorhexidine,CHEMBL790,3.263609743577321,5.171166666666667,2.2595750000000003,1.4565653845532682,5.575662405463813,True,True,False,False
241,SB-216641,CHEMBL20963,3.2623493001988026,5.733249999999999,1.6782582938388626,1.4887299133162888,10.310126538689564,True,True,False,False
245,clomifene,CHEMBL167779,3.2009710938895792,0.843125,6.77696682464455,0.7646718201587959,2.768616993726493,False,True,False,False
249,toceranib,CHEMBL13608,3.116253223649521,8.7685,-0.5636892857142857,-0.8283553103238225,3.3153904110655215,True,False,False,True
251,PFK-158,CHEMBL4303611,3.108691743080803,4.905454545454545,1.7038317535545024,2.324886117385918,3.0174756376295204,True,True,False,False
254,BINA,CHEMBL593013,3.0924320145344146,-0.5518636363636363,8.05557911392405,0.45472911755124557,1.6501572751531197,False,True,False,False
255,dronedarone,CHEMBL184412,3.090119674578785,-1.2927916666666668,9.41742654028436,-0.7986713743414615,4.804061600655283,False,True,False,False
258,GBR-13069,CHEMBL112280,3.0437531301641894,4.660181818181818,1.5465321428571428,2.805337728743025,1.536074189645828,True,True,False,False
259,chloroquine,CHEMBL76,3.0282542031101753,5.641272727272727,0.17826071428571427,3.5022041324339943,-0.33334053675846786,False,False,False,True
260,PF-03882845,CHEMBL1215331,3.022226492434053,-0.5518636363636363,8.951071428571428,-1.68728312224532,1.7119330801561925,False,True,False,False
261,RU-28318,CHEMBL2107003,3.019468342302162,-0.06131818181818182,7.460071428571429,0.29983521800431445,2.026053714001674,False,True,False,False
264,BLU9931,CHEMBL4068896,2.9969151365456765,4.4762272727272725,1.217936018957346,3.596249099359145,1.6564233005126228,True,False,False,True
267,satraplatin,CHEMBL3833367,2.962207322661571,-0.05620833333333333,7.636874407582939,-0.35029553519135653,3.9897359618267716,False,True,False,False
268,reversan,CHEMBL1506885,2.961664313750499,0.6745,6.146571428571429,1.1661787116096387,2.0715265908674483,False,True,False,False
271,NLG919,CHEMBL3629569,2.941316287050961,6.193136363636364,1.3831518987341775,-0.4459950894862793,1.866086416875739,True,False,False,True
272,tenovin-6,CHEMBL595354,2.9266277218877472,2.0235,5.805175355450237,-1.0242121014617385,9.30668219062489,True,True,False,False
275,GK921,CHEMBL1822336,2.9054273404407622,2.0235,5.095511848341233,0.28911300552134334,12.967765081554118,True,True,False,False
278,PI4KIII-beta-inhibitor-1,CHEMBL3786230,2.894780424734912,4.598863636363636,1.7038317535545024,1.8685113438382805,1.2669013121263513,False,False,False,True
279,"1,12-Besm",CHEMBL18794,2.874398957876738,2.6417916666666668,3.701758293838863,1.6848948683726297,3.6710538962032153,True,True,False,False
282,promethazine,CHEMBL643,2.8351956353896304,4.414909090909091,1.0133483412322275,3.319463312665513,2.352492476875724,True,False,False,False
284,T-0070907,CHEMBL510698,2.818031093084444,2.0235,4.73428672985782,0.5745820057065777,1.8420924669214356,True,True,False,False
285,Ro-106-9920,CHEMBL271023,2.813007794099554,2.079708333333333,4.5105189573459725,0.8845843891391575,11.367383418189839,True,True,False,False
288,wnt-c59,CHEMBL2139947,2.782325511387514,3.433818181818182,2.346364928909953,2.3512613354812992,0.522191777318842,False,False,False,True
289,bifemelane,CHEMBL1192517,2.7814599351592713,4.7215,0.6118678571428572,3.2405639615106407,1.1702899972409113,False,False,False,True
290,FLI-06,CHEMBL3604460,2.7753298740285306,0.0,7.43228672985782,-0.9879240895729868,11.087817168933723,False,True,False,False
291,NT157,CHEMBL4303361,2.7582305029878316,0.05620833333333333,6.383774881516588,0.911186085239314,8.622194811907505,False,True,False,False
293,3-CPMT,CHEMBL540034,2.751764890242462,0.6182916666666667,5.619767772511849,1.2827055728552788,3.6633531862687994,False,True,False,False
297,Testolactone,CHEMBL1571,2.7400015508826323,2.8206363636363636,3.625037914691943,0.8086591977565497,1.9705604946404234,True,True,False,False
298,meisoindigo,CHEMBL607535,2.727535614707887,0.843125,5.865912322274882,0.21960342898966914,6.680847695271207,False,True,False,False
300,piperacetazine,CHEMBL1584,2.693448293112128,3.4951363636363637,2.0945,2.2879687382879115,2.500586486839483,True,True,False,False
302,BAN-ORL-24,CHEMBL201945,2.6830821393810136,4.905454545454545,0.22376777251184837,3.156966060972279,1.3967611589930957,False,False,False,True
303,colforsin,CHEMBL52606,2.6817609710679564,3.740409090909091,1.5670714285714284,2.7938438163787436,2.082172431609148,True,True,False,False
305,pimozide,CHEMBL1423,2.6641561224752777,4.537545454545454,0.6339285714285714,2.9778325604283378,2.548826791001918,True,False,False,True
306,SPP86,CHEMBL2058538,2.6544377801146766,4.169636363636363,1.0101516587677726,2.912612855765112,2.2532097447674464,True,False,False,True
307,alverine,CHEMBL253371,2.6501723481962456,5.089409090909091,0.34485714285714286,2.3823292734487596,1.4769763208774205,False,False,False,True
308,BCTC,CHEMBL441472,2.626096986571776,5.518636363636364,0.10229383886255924,1.8886245278610343,1.6133153299468463,True,False,False,False
309,acefylline,CHEMBL70246,2.614133550006618,0.42922727272727274,5.887421428571428,0.4373703474356876,1.5650840641175237,False,True,False,False
311,SB-239063,CHEMBL256835,2.609639085935476,2.268772727272727,3.068214285714286,2.3742214037033538,1.9206871618360957,True,True,False,False
312,azelnidipine,CHEMBL1275868,2.5943742566097705,3.9243636363636365,1.7344285714285712,1.654286867464436,1.6665072730537642,True,True,False,False
313,INS316,CHEMBL336296,2.592830277613472,1.0424090909090908,4.711864285714285,1.4556046348206062,3.292819082642481,False,True,False,False
315,"1,2,3,4,5,6-hexabromocyclohexane",CHEMBL444236,2.5895431347162563,2.268772727272727,2.9441445497630334,2.521881119509758,0.5909951618987057,False,False,False,True
316,SGI-1776,CHEMBL1952329,2.576884968340489,-0.3934583333333333,6.358201421800948,0.9549386647672132,5.718773701232139,False,True,False,False
317,kifunensine,CHEMBL1233851,2.5713815210904207,1.1650454545454545,4.807810426540285,0.9111958432806262,2.3289012121316053,False,True,False,False
318,tyrphostin-A9,CHEMBL78150,2.5708925541161123,2.6417916666666668,3.585949367088608,0.39898070307001215,10.663460076413283,True,True,False,False
319,ETC-159,CHEMBL3633802,2.5670534267061034,2.8206363636363636,2.458248815165877,2.277496775926035,1.5811488859156748,True,True,False,False
322,acyclovir,CHEMBL184,2.559407166057626,-0.12263636363636364,6.3545,0.3333085575608568,1.630664193204329,False,True,False,False
323,copanlisib,CHEMBL3218576,2.549704286734742,7.869166666666666,-1.1867142857142854,-0.6163833282310521,4.390633612570934,True,False,False,True
324,SGI-1027,CHEMBL2336409,2.549242809270137,0.05620833333333333,6.537215639810427,-0.44063389993683527,4.544020130744418,False,True,False,False
326,toremifene,CHEMBL1655,2.542310603708394,-0.8993333333333333,7.6113009478673,-0.7123822105259663,5.901874748594613,False,True,False,False
328,benzydamine,CHEMBL12610,2.523628850385189,4.047,1.0599285714285713,2.404287109068801,1.6997975222390915,True,False,False,False
329,SRC-kinase-inhibitor-I,CHEMBL97771,2.517778558041562,-0.7307083333333333,7.150714285714284,-0.2511191145540924,4.179736155700318,False,True,False,False
330,GW-1929,CHEMBL434063,2.515706154631717,4.1083181818181815,1.2729285714285712,1.8160372666650786,3.6509484484459485,True,False,False,False
331,fluoxetine,CHEMBL41,2.5022573180430814,4.598863636363636,-0.04057142857142855,3.394702174630991,1.2839250262789252,False,False,False,True
334,alvespimycin,CHEMBL383824,2.4852422144275543,1.5329545454545455,3.995853080568721,1.3685958200912396,11.634360119687702,True,True,False,False
337,gedunin,CHEMBL465226,2.464778271947092,-0.24527272727272728,6.112056872037915,0.5903230702050831,1.5494210482064554,False,True,False,False
338,tetrindole,CHEMBL4303571,2.443655213914373,-0.3934583333333333,6.681066350710902,-0.35693996518327276,12.793380321612032,False,True,False,False
339,olmutinib,CHEMBL3786343,2.4420124467105815,1.0679583333333333,5.5309,-0.9876544331137576,12.297368373410604,False,True,False,False
341,SERTRALINE HYDROCHLORIDE,CHEMBL1709,2.437955940595879,1.6300416666666668,4.1770821428571425,0.5755320839317764,2.7096770259225385,True,True,False,False
345,budipine,CHEMBL334491,2.3992183898529733,3.3111818181818182,1.501142857142857,2.371442598615516,1.8591956719867446,True,True,False,False
347,APcK-110,CHEMBL4303655,2.3921287092907155,-0.24527272727272728,6.0857142857142845,0.27976042957046054,2.291545773496113,False,True,False,False
353,NVP-BGJ398,CHEMBL1852688,2.343804337753499,-1.4614166666666666,7.672037914691943,-0.702220807283058,4.237486366431649,False,True,False,False
354,CBiPES,CHEMBL4303163,2.340293105239043,2.0235,2.7235734597156402,2.2073186067639337,1.6392724668314562,True,True,False,False
355,trifluoperazine,CHEMBL422,2.3390069986447792,0.843125,4.673549763033176,0.6616854671575445,2.9239914372699127,False,True,False,False
362,tyrphostin-AG-835,CHEMBL261557,2.3165785285202833,3.1272272727272723,1.1571990521327014,3.01403999288147,2.1688024177597094,True,False,False,True
363,flumethasone-pivalate,CHEMBL1200877,2.3158398356866075,2.8819545454545454,1.9755497630331753,1.864190561457597,1.8246509373211928,True,True,False,True
366,tarafenacin,CHEMBL1779046,2.299574725120563,3.617772727272727,1.0310214285714285,2.2002853139145024,1.0734454295528646,False,False,False,True
367,niclosamide,CHEMBL1448,2.2987242088002837,0.7869166666666666,4.819686708860759,0.2804142929465662,10.328918890764834,False,True,False,False
368,PD-407824,CHEMBL214253,2.295831280809275,1.180375,2.497357594936709,4.1236912141729585,7.267976559871779,False,True,False,False
369,trequinsin,CHEMBL1411581,2.295453502684199,1.9621818181818182,2.071450236966825,3.4100034031237074,1.5192361725759669,True,True,False,False
370,CGP-52411,CHEMBL268868,2.2851176468559924,3.8630454545454542,0.6846428571428571,2.3302116109033375,1.5957804727168505,True,False,False,False
372,xanomeline,CHEMBL21536,2.277546554431809,3.9243636363636365,0.42599999999999993,2.6870054994317716,0.32742756760260383,False,False,False,True
374,MOMETASONE FUROATE,CHEMBL1161,2.2646413311802176,3.1272272727272723,1.0421184834123225,2.984515143621897,-0.02721055183783342,False,False,False,True
378,hexachlorophene,CHEMBL496,2.2504207276389487,2.4527272727272726,2.8002938388625593,0.7460614150150794,2.1547921714323657,True,True,False,False
379,tetramisole,CHEMBL277775,2.24725651701841,0.3679090909090909,4.794072784810127,0.9123188336536132,1.5784740907067394,False,True,False,False
382,SNS-314,CHEMBL482767,2.239819298169419,2.8819545454545454,1.5417142857142858,2.351758828509433,2.4501123639181617,True,True,False,False
383,ABT-239,CHEMBL351231,2.2385919089967516,2.8206363636363636,1.4321137440758294,2.687459329559372,1.984484614132378,True,False,False,True
384,scopolamine-N-oxide,CHEMBL1740879,2.23812917177347,-0.42922727272727274,5.741787974683545,0.5655244549548046,3.6592372444382524,False,True,False,False
