chembl_id,compound_name,cp_morph_z_max,cp_morph_z_mean,ab_activity_z_max,ab_activity_z_mean,concentration_uM_min,concentration_uM_max,concentration_uM_nunique,cpe_activity_z_max,cpe_activity_z_mean,toxicity_z_max,toxicity_z_mean,concentration_uM_min_cpe,concentration_uM_max_cpe,concentration_uM_nunique_cpe,composite_score,flag_ab_toxicity,flag_cpe_toxicity,flag_cp_only,flag_ab_no_cpe,rank
CHEMBL4303409,"benzenemethanol,-2,5-dimethyl-[[(1-methylethyl)amino]methyl]",-0.03024188715524019,-0.03024188715524019,-0.3679090909090909,-0.3679090909090909,10.0,10.0,1.0,0.8469285714285714,0.13676537237643874,0.030672928459373274,-0.7109086401335454,0.001,10.0,5.0,0.18555941477674415,False,False,False,False,3228
CHEMBL788,idoxuridine,-0.2665574815932122,-0.2665574815932122,-0.6131818181818182,-0.6131818181818182,10.0,10.0,1.0,1.2092821428571428,0.009824195941139657,1.8318924920455304,0.17999319517280604,0.001,10.0,5.0,0.1851286335514874,False,False,False,False,3229
CHEMBL4303469,BRL-26314,-0.3618427723672174,-0.3618427723672174,0.24527272727272728,0.24527272727272728,10.0,10.0,1.0,0.3970158227848102,-0.1169156810760779,1.1428962520691246,0.009092518845448394,0.001,10.0,5.0,0.18454686554957156,False,False,False,False,3230
CHEMBL420311,EX-527,0.19456314337505368,0.19456314337505368,0.0,0.0,10.0,10.0,1.0,0.3585949367088608,-0.09549081969952777,1.1315543091291727,-0.22381132051693378,0.001,10.0,5.0,0.18235060335855507,False,False,False,False,3231
CHEMBL272980,mocetinostat,-0.41196639675464086,-0.41196639675464086,0.0,0.0,0.8333333333333334,0.8333333333333334,1.0,0.6616930379746836,0.022602747743887274,12.983818908234715,5.848853162317628,0.001,10.0,5.0,0.1822839358389453,False,False,False,False,3232
CHEMBL283754,cinalukast,0.038364903187476526,0.038364903187476526,-0.18395454545454545,-0.18395454545454545,10.0,10.0,1.0,0.6201563981042654,-0.027559497956000455,0.23336155735096492,-0.5550241266465451,0.001,10.0,5.0,0.18215372169738328,False,False,False,False,3233
CHEMBL2409106,ML297,0.3009994687580649,0.3009994687580649,0.12263636363636364,0.12263636363636364,10.0,10.0,1.0,0.18221090047393368,-0.200801174335593,0.090323552919366,-0.3273833891037409,0.001,10.0,5.0,0.1821387993957319,False,False,False,False,3234
CHEMBL1096435,Ro-28-1675,-0.1918782253780086,-0.1918782253780086,-0.12263636363636364,-0.12263636363636364,10.0,10.0,1.0,0.6713033175355451,0.16820521142754302,1.2602649528698193,0.6920485951777036,0.001,10.0,5.0,0.18109113648407085,False,False,False,False,3235
CHEMBL1240885,CGP-57380,-0.37527237360081106,-0.37527237360081106,0.9555416666666666,0.9555416666666666,0.8333333333333334,0.8333333333333334,1.0,-0.31590506329113927,-1.1563070113041316,5.7932952124662975,0.589378717556728,0.001,10.0,5.0,0.18080016663004875,False,False,False,False,3236
CHEMBL3360203,pilaralisib,-0.14387627094500186,-0.14387627094500186,0.06131818181818182,0.06131818181818182,10.0,10.0,1.0,0.4625142857142857,0.07449269885073231,2.260505696633344,0.7506840426314808,0.001,10.0,5.0,0.18075773282398666,False,False,False,False,3237
CHEMBL1403899,lipoamide,-0.622820081731258,-0.622820081731258,-0.49054545454545456,-0.49054545454545456,10.0,10.0,1.0,1.2530995260663507,0.16023549291670589,0.15004469212738833,-0.5571623631742437,0.001,10.0,5.0,0.18045761226210685,False,False,False,False,3238
CHEMBL1567328,omeprazole-magnesium,-1.4278971811898211,-1.4278971811898211,-1.5329545454545455,-1.5329545454545455,10.0,10.0,1.0,2.698,1.8111753893026403,0.477486507634743,-0.47846815035924983,0.001,10.0,5.0,0.18043874558021744,False,False,False,False,3239
CHEMBL4303520,bromantan,-1.2362353477106938,-1.2362353477106938,0.49054545454545456,0.49054545454545456,10.0,10.0,1.0,0.5785995260663507,-0.1580884492171096,-0.03148390635495784,-0.4612749127265923,0.001,10.0,5.0,0.18041092270258335,False,False,False,False,3240
CHEMBL1171829,bitopertin,0.40321814952157714,0.40321814952157714,-0.6131818181818182,-0.6131818181818182,10.0,10.0,1.0,0.8623964285714286,0.09394984655005442,0.9689044705230353,0.057044349643199,0.001,10.0,5.0,0.1803294740601596,False,False,False,False,3241
CHEMBL238125,SD-208,0.18241210297640978,0.18241210297640978,0.3065909090909091,0.3065909090909091,10.0,10.0,1.0,0.05071428571428573,-1.0916708950746896,1.6002479630112394,-0.20908607144786906,0.001,10.0,5.0,0.1794044985173599,False,False,False,False,3242
