smiles,logS,logS_lower_bound,logS_upper_bound,Capped_logS_lower_bound,Capped_logS_upper_bound
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1.Cl,-2.36,-3.49,-1.23,-3.49,-1.23
CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@H](C)C[C@H]2[C@H]3[C@H]([C@@H](O)C[C@@]21C)[C@@]1(C)C=CC(=O)C=C1C[C@H]3Cl,-3.14,-3.83,-2.45,-3.83,-2.45
O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)[N-]1.[Na+],-2.46,-3.09,-1.82,-3.09,-1.82
CN(CCCl)CCCl.Cl,-0.435,-1.14,0.276,-1.14,0.276
CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2.Cl,-0.714,-1.74,0.307,-1.74,0.307
CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,-3.62,-4.62,-2.63,-4.62,-2.63
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COP(=O)([O-])[O-].[Na+].[Na+],-1.96,-2.54,-1.37,-2.54,-1.37
CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1.Cl,-2.63,-4.01,-1.24,-4.01,-1.24
CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,-5.35,-5.9,-4.79,-5.9,-4.79
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC.Cl,-2.74,-3.41,-2.06,-3.41,-2.06
COC(=O)CCC(=O)CN.Cl,0.626,-1.37,2.63,-1.37,2.14
C1N2CN3CN1CN(C2)C3.O=C(O)CNC(=O)c1ccccc1,0.52,0.0616,0.977,0.0616,0.977
CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,-3.36,-4.18,-2.53,-4.18,-2.53
COc1nc(N)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,-1.38,-1.98,-0.788,-1.98,-0.788
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3C(=O)C[C@]2(C)[C@@]1(O)C(=O)CO,-3.44,-4.18,-2.71,-4.18,-2.71
COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12.O=P(O)(O)O,-4.11,-4.95,-3.27,-4.95,-3.27
CC(=O)[C@H]1CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,-3.62,-4.42,-2.81,-4.42,-2.81
CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1.Cc1ccc(S(=O)(=O)O)cc1.Cc1ccc(S(=O)(=O)O)cc1.O,-4.33,-5.0,-3.66,-5.0,-3.66
Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O.Cl,-2.0,-2.71,-1.29,-2.71,-1.29
Cl.Cn1c(CCCC(=O)O)nc2cc(N(CCCl)CCCl)ccc21,-1.58,-2.25,-0.905,-2.25,-0.905
Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1.Cl.O,-3.36,-4.15,-2.57,-4.15,-2.57
C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,-5.73,-6.18,-5.27,-6.18,-5.27
CO[C@H]1C(=O)[C@]2(C)[C@@H](OC)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C1C2(C)C,-6.01,-7.26,-4.77,-7.26,-4.77
CCCC(=O)O[C@]1(C(=O)COC(C)=O)CC[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,-7.53,-8.07,-6.99,-8.07,-6.99
C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)N1,-3.06,-3.45,-2.68,-3.45,-2.68
CC(=O)OCC(=O)[C@@]12N=C(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,-3.96,-4.58,-3.34,-4.58,-3.34
C[C@H](CCc1ccccc1)NC[C@H](O)c1ccc(O)c(C(N)=O)c1.Cl,-2.58,-3.4,-1.75,-3.4,-1.75
CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,-1.17,-1.81,-0.531,-1.81,-0.531
CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F,-7.96,-8.5,-7.43,-8.5,-7.43
COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1,-5.35,-5.81,-4.89,-5.81,-4.89
Cc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Cl)[nH]n1,-3.48,-4.07,-2.89,-4.07,-2.89
CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN.CS(=O)(=O)O,4.86,4.34,5.39,2.14,2.14
CO[C@H](C(=O)[C@@H](O)[C@@H](C)O)[C@@H]1Cc2cc3cc(O[C@H]4C[C@@H](O[C@@H]5C[C@@H](O)[C@H](O)[C@@H](C)O5)[C@H](O)[C@@H](C)O4)c(C)c(O)c3c(O)c2C(=O)[C@H]1O[C@H]1C[C@@H](O[C@@H]2C[C@@H](O)[C@@H](O[C@@H]3C[C@](C)(O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@H](O)[C@@H](C)O1,-3.56,-4.07,-3.04,-4.07,-3.04
COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1,-4.54,-5.35,-3.73,-5.35,-3.73
COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,-8.3,-9.47,-7.12,-9.47,-7.12
O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,-4.76,-5.67,-3.86,-5.67,-3.86
CCN(CC)CCN1CCc2[nH]c(/C=C3\C(=O)Nc4ccc(F)cc43)c(C)c2C1=O,-3.45,-4.19,-2.72,-4.19,-2.72
Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,-3.65,-4.32,-2.99,-4.32,-2.99
COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,-6.16,-6.8,-5.52,-6.8,-5.52
CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,-3.52,-4.04,-3.01,-4.04,-3.01
CC(C)/N=c1\cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,-6.35,-6.99,-5.7,-6.99,-5.7
COc1cc(Cc2cnc(N)nc2N)c2c(c1OC)OC(C1CC1)C=C2,-4.25,-5.02,-3.49,-5.02,-3.49
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,-4.32,-4.89,-3.75,-4.89,-3.75
Cc1ncc(CNC(=O)N(CCCl)N=O)c(N)n1,-1.24,-1.83,-0.652,-1.83,-0.652
Cc1ncc([N+](=O)[O-])n1CCO,-1.15,-1.75,-0.557,-1.75,-0.557
CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,-4.12,-4.65,-3.59,-4.65,-3.59
Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,-1.33,-2.01,-0.648,-2.01,-0.648
Cc1cc(C2CCCCC2)n(O)c(=O)c1,-2.74,-3.61,-1.87,-3.61,-1.87
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,-4.87,-5.93,-3.81,-5.93,-3.81
C[C@]12C=CC(=O)C=C1CC[C@H]1[C@@H]3C[C@@H](O)[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F,-3.49,-4.25,-2.73,-4.25,-2.73
CN(C)c1nc(N(C)C)nc(N(C)C)n1,-3.0,-4.43,-1.58,-4.43,-1.58
CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,-7.3,-8.05,-6.55,-8.05,-6.55
Cc1cc2cc3c(C)cc(=O)oc3c(C)c2o1,-5.09,-5.89,-4.29,-5.89,-4.29
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,-4.53,-5.73,-3.32,-5.73,-3.32
Oc1ncc(N(CCCl)CCCl)c(O)n1,-2.66,-3.33,-1.99,-3.33,-1.99
CCCCC(=O)O[C@]1(C(=O)CO)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,-4.85,-5.63,-4.06,-5.63,-4.06
CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,-5.66,-6.6,-4.72,-6.6,-4.72
CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,-4.09,-5.02,-3.16,-5.02,-3.16
CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,-3.73,-4.51,-2.95,-4.51,-2.95
CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,-4.71,-5.6,-3.82,-5.6,-3.82
Cn1cnc([N+](=O)[O-])c1Sc1ncnc2[nH]cnc12,-3.0,-3.79,-2.21,-3.79,-2.21
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCC1CCCC1,-6.47,-7.42,-5.52,-7.42,-5.52
COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC.Cl,-4.09,-5.3,-2.87,-5.3,-2.87
CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C.O=C(O)C[C@H](O)C(=O)O,-0.594,-1.09,-0.0959,-1.09,-0.0959
O=C(CCBr)N1CCN(C(=O)CCBr)CC1,-0.923,-1.4,-0.444,-1.4,-0.444
O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1NCc1ccnc2ccccc12,-4.78,-5.48,-4.08,-5.48,-4.08
Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1,-0.945,-1.67,-0.216,-1.67,-0.216
Cl.Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,-1.04,-1.82,-0.261,-1.82,-0.261
NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,-0.156,-0.851,0.539,-0.851,0.539
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@@]21C,-4.14,-4.73,-3.56,-4.73,-3.56
CC(C)(C)C(=O)OCOP(=O)(COC1(Cn2cnc3cnc(N)nc32)CC1)OCOC(=O)C(C)(C)C,-3.16,-3.56,-2.76,-3.56,-2.76
CCOC(=O)c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCS3)nc1,-6.17,-6.87,-5.47,-6.87,-5.47
C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)SCF,-7.12,-7.64,-6.6,-7.64,-6.6
CCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,-5.14,-5.88,-4.4,-5.88,-4.4
C=C1C[C@@H]2CC[C@@]34C[C@H]5O[C@H]6[C@@H](O3)[C@H]3O[C@H](CC[C@@H]3O[C@H]6[C@H]5O4)CC(=O)C[C@@H]3[C@@H](OC)[C@@H](C[C@H](O)CN)O[C@H]3C[C@H]3O[C@@H](CC[C@@H]1O2)C[C@@H](C)C3=C.CS(=O)(=O)O,-0.189,-0.96,0.582,-0.96,0.582
Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1,-1.94,-2.5,-1.38,-2.5,-1.38
