chembl_id,admet_score,solubility_score,logP_score,pampa_score,pgp_score,herg_score,ames_score,cyp_score,has_admet
CHEMBL1201748,0.6108049999999999,0.0,0.48304999999999887,1.0,0.0,1.0,1.0,0.625,True
CHEMBL1201749,0.7620125,0.0,0.7451249999999994,1.0,1.0,1.0,1.0,0.875,True
CHEMBL1201752,0.6163369999999999,0.588,0.6123699999999994,0.0,1.0,1.0,1.0,0.375,True
CHEMBL1201832,,,,0.5,0.5,0.5,0.5,0.5,False
CHEMBL1201891,0.6175200000000001,0.40800000000000003,0.9842,0.0,0.5,1.0,1.0,0.875,True
CHEMBL1204165,0.51037,0.6839999999999999,0.9856999999999999,0.0,1.0,0.0,1.0,0.25,True
CHEMBL1220,0.6815605,0.966,0.508605,0.5,1.0,1.0,0.0,0.875,True
CHEMBL1229517,0.523895,0.0,0.2389499999999991,1.0,1.0,1.0,0.0,0.5,True
CHEMBL1230609,0.33168999999999993,0.13000000000000006,0.18189999999999884,0.5,1.0,0.0,0.0,0.875,True
CHEMBL1231124,0.825617,0.504,0.87317,1.0,1.0,1.0,1.0,0.375,True
CHEMBL1234,0.7356525000000003,1.0,0.48152500000000176,0.0,1.0,1.0,1.0,0.875,True
CHEMBL1237054,0.6163680000000004,0.488,0.31268000000000273,0.0,1.0,1.0,1.0,0.875,True
CHEMBL124660,0.6075375,0.292,0.3663749999999988,1.0,1.0,0.0,1.0,0.625,True
CHEMBL1265,0.4625,0.0,0.0,0.0,1.0,1.0,1.0,0.625,True
CHEMBL12713,0.68391,0.24800000000000005,0.4680999999999991,1.0,0.0,1.0,1.0,0.875,True
CHEMBL1277072,0.7491105,0.866,0.8841049999999999,1.0,1.0,1.0,0.0,0.375,True
CHEMBL1278146,0.7946245,0.51,0.8012449999999998,1.0,0.5,1.0,1.0,0.625,True
CHEMBL1287853,0.8109095,0.47000000000000003,0.4190949999999991,1.0,1.0,1.0,1.0,0.75,True
CHEMBL1289494,0.559047,0.0,0.21546999999999938,1.0,1.0,1.0,0.0,0.875,True
CHEMBL1289601,0.7468025,0.11799999999999997,0.6070249999999995,1.0,1.0,1.0,1.0,0.625,True
CHEMBL1289926,0.8332225,0.496,0.4652249999999989,1.0,1.0,1.0,1.0,0.875,True
CHEMBL1292,0.3375,0.0,0.0,1.0,1.0,0.0,0.0,0.375,True
CHEMBL134561,0.65583,0.35,0.9833000000000001,0.0,1.0,1.0,1.0,0.875,True
CHEMBL1351,,,,0.5,0.5,0.5,0.5,0.5,False
CHEMBL1364144,0.55156,0.33599999999999997,0.9686000000000001,0.0,0.0,1.0,1.0,0.875,True
CHEMBL137,0.6713005000000001,0.97,0.39800499999999994,0.5,1.0,1.0,0.0,0.875,True
CHEMBL1370,0.5072800000000001,0.376,0.9457999999999996,0.0,1.0,0.0,1.0,0.875,True
CHEMBL141,0.5469475,0.9339999999999999,0.22647499999999998,0.0,1.0,0.0,1.0,0.875,True
CHEMBL1413,0.6039429999999999,0.6519999999999999,0.9854299999999998,0.5,0.5,0.0,1.0,0.75,True
CHEMBL1448,0.6112125,0.22599999999999998,0.6601249999999997,1.0,1.0,1.0,0.0,0.5,True
CHEMBL1451,0.46591250000000006,0.502,0.530125,0.0,1.0,0.0,1.0,0.625,True
CHEMBL1455,0.6467400000000001,0.6,0.3924000000000001,0.0,1.0,1.0,1.0,0.875,True
CHEMBL1473,0.63925,0.0,0.517499999999999,0.5,1.0,1.0,1.0,0.875,True
CHEMBL1475,0.5997885,0.18200000000000002,0.7588849999999994,0.0,1.0,1.0,1.0,0.875,True
CHEMBL1483,0.8277175000000001,0.29399999999999993,0.8141749999999999,1.0,1.0,1.0,1.0,0.875,True
CHEMBL1488,0.5253950000000001,0.6679999999999999,0.66795,0.0,1.0,1.0,0.0,0.75,True
CHEMBL1497,0.80508,0.23000000000000007,0.7157999999999993,1.0,1.0,1.0,1.0,0.875,True
CHEMBL1501,0.59016,0.06799999999999998,0.8905999999999996,0.0,1.0,1.0,1.0,0.875,True
CHEMBL1504,0.51187,0.382,0.9797000000000001,0.0,1.0,0.0,1.0,0.875,True
CHEMBL1512,0.5226675000000001,0.454,0.9436750000000002,0.0,1.0,0.0,1.0,0.875,True
CHEMBL1530428,0.5382625000000001,0.258,0.9916250000000002,0.0,0.0,1.0,1.0,0.875,True
CHEMBL1542,0.523645,0.6,0.6614499999999999,0.0,1.0,1.0,0.0,0.875,True
CHEMBL1549,0.7299275000000001,0.0,0.5492749999999991,1.0,1.0,1.0,1.0,0.75,True
CHEMBL1558,0.50656,0.382,0.9266,0.0,1.0,1.0,0.0,0.875,True
CHEMBL1567,0.7810385000000001,1.0,0.935385,0.0,1.0,1.0,1.0,0.875,True
CHEMBL1585,0.31818,1.0,0.6818,0.0,0.0,0.0,0.0,0.5,True
CHEMBL1614710,0.43481749999999997,0.24399999999999994,0.11017499999999902,1.0,0.0,1.0,0.0,0.25,True
CHEMBL1619,0.717565,1.0,0.30064999999999986,0.0,1.0,1.0,1.0,0.875,True
CHEMBL1637,0.67673,0.992,0.1583,0.0,1.0,1.0,1.0,0.625,True
CHEMBL1643,0.6875000000000001,1.0,0.0,0.0,1.0,1.0,1.0,0.875,True
CHEMBL1650,0.6603850000000001,0.37200000000000005,0.9848499999999998,0.0,1.0,1.0,1.0,0.875,True
CHEMBL1657,0.7017125,0.0,0.517124999999999,1.0,1.0,1.0,1.0,0.5,True
CHEMBL1676,0.5018299999999999,0.0,0.3932999999999989,0.0,1.0,1.0,1.0,0.625,True
CHEMBL1683,0.606085,0.17200000000000007,0.8418499999999995,0.0,1.0,1.0,1.0,0.875,True
CHEMBL1683544,0.77645,1.0,0.8894999999999986,0.0,1.0,1.0,1.0,0.875,True
CHEMBL1721885,0.629556,0.812,0.7965599999999999,0.5,1.0,1.0,0.0,0.375,True
CHEMBL1738697,0.594992,0.24399999999999994,0.5869199999999992,0.0,1.0,1.0,1.0,0.875,True
CHEMBL1738757,0.5987999999999999,0.0,0.11299999999999866,1.0,0.0,1.0,1.0,0.875,True
CHEMBL1743049,,,,0.5,0.5,0.5,0.5,0.5,False
CHEMBL1743062,,,,0.5,0.5,0.5,0.5,0.5,False
CHEMBL1766,0.50878,0.454,0.9297999999999996,0.0,1.0,0.0,1.0,0.75,True
CHEMBL1773,0.623605,0.398,0.5650499999999998,0.0,1.0,1.0,1.0,0.875,True
CHEMBL1789941,0.8672405000000001,0.5820000000000001,0.7584049999999998,1.0,1.0,1.0,1.0,0.75,True
CHEMBL1795071,0.8944555000000001,0.602,0.9905549999999997,1.0,1.0,1.0,1.0,0.75,True
CHEMBL180022,0.562688,0.18000000000000008,0.14187999999999867,1.0,1.0,0.0,1.0,0.625,True
CHEMBL185,0.6761575,0.9179999999999999,0.17557500000000004,0.0,1.0,1.0,1.0,0.75,True
CHEMBL188185,0.8222,0.29000000000000004,0.892,1.0,1.0,1.0,1.0,0.75,True
CHEMBL1908391,0.7810794999999999,1.0,0.3107949999999988,1.0,0.0,1.0,1.0,0.5,True
