chembl_id,drug_name,smiles,max_phase,evidence_types,linked_genes,linked_pathways,linked_moas,n_protein_links,n_pathway_links,n_moa_links,n_known_links,n_records
CHEMBL2219776,CENERSEN SODIUM,,2.0,pathway;protein,TP53,R-HSA-111448;R-HSA-139915;R-HSA-1912408;R-HSA-2559580;R-HSA-2559584;R-HSA-2559585;R-HSA-2559586;R-HSA-3232118;R-HSA-349425;R-HSA-390471;R-HSA-5620971;R-HSA-5628897;R-HSA-5689880;R-HSA-5689896;R-HSA-5693565;R-HSA-6785807;R-HSA-6796648;R-HSA-6803204;R-HSA-6803205;R-HSA-6803207;R-HSA-6803211;R-HSA-6804114;R-HSA-6804115;R-HSA-6804116;R-HSA-6804754;R-HSA-6804756;R-HSA-6804757;R-HSA-6804758;R-HSA-6804759;R-HSA-6804760;R-HSA-6807070;R-HSA-6811555;R-HSA-69473;R-HSA-69481;R-HSA-69541;R-HSA-69895;R-HSA-8852276;R-HSA-8853884;R-HSA-8941855;R-HSA-8943724;R-HSA-9723905;R-HSA-9725370;R-HSA-9758274;R-HSA-9819196;R-HSA-983231;R-HSA-9833482,,1,90,0,0,91
CHEMBL2364651,TOVETUMAB,,2.0,pathway;protein,PDGFRA,R-HSA-1257604;R-HSA-186763;R-HSA-186797;R-HSA-2028269;R-HSA-2219530;R-HSA-5673001;R-HSA-6811558;R-HSA-9673767;R-HSA-9673770;R-HSA-9674396;R-HSA-9674401;R-HSA-9674403;R-HSA-9674404;R-HSA-9674428,,1,26,0,0,27
CHEMBL269732,TACROLIMUS ANHYDROUS,,,known_aml_drug,,,,0,0,0,1,1
CHEMBL3544910,MOTEXAFIN GADOLINIUM,,,moa,,,Ribonucleoside-diphosphate reductase RR1 inhibitor,0,0,1,0,1
CHEMBL3545050,BMS-817378,,1.0,pathway;protein,KDR,R-HSA-194306;R-HSA-195399;R-HSA-216083;R-HSA-4420097;R-HSA-5218921;R-HSA-9673768;R-HSA-9856530,,1,14,0,0,15
CHEMBL3545236,BPI-9016,,1.0,pathway;protein,AXL,R-HSA-4420097,,1,2,0,0,3
CHEMBL3545316,RINUCUMAB,,2.0,pathway,PDGFRB,R-HSA-1257604;R-HSA-186763;R-HSA-186797;R-HSA-2028269;R-HSA-2219530;R-HSA-5673001;R-HSA-6811558,,0,12,0,0,12
CHEMBL3545401,X-82,,2.0,pathway;protein,KDR;PDGFRA;PDGFRB,R-HSA-1257604;R-HSA-186763;R-HSA-186797;R-HSA-194306;R-HSA-195399;R-HSA-2028269;R-HSA-216083;R-HSA-2219530;R-HSA-4420097;R-HSA-5218921;R-HSA-5673001;R-HSA-6811558;R-HSA-9673767;R-HSA-9673768;R-HSA-9673770;R-HSA-9674396;R-HSA-9674401;R-HSA-9674403;R-HSA-9674404;R-HSA-9674428;R-HSA-9856530,,2,52,0,0,54
CHEMBL3545402,XL-820,,2.0,pathway;protein,KDR;KIT;PDGFRA;PDGFRB,R-HSA-1257604;R-HSA-1433557;R-HSA-1433559;R-HSA-186763;R-HSA-186797;R-HSA-194306;R-HSA-195399;R-HSA-2028269;R-HSA-216083;R-HSA-2219530;R-HSA-4420097;R-HSA-5218921;R-HSA-5673001;R-HSA-6811558;R-HSA-8866910;R-HSA-9669914;R-HSA-9669917;R-HSA-9669921;R-HSA-9669924;R-HSA-9669926;R-HSA-9669929;R-HSA-9669933;R-HSA-9669934;R-HSA-9669935;R-HSA-9669936;R-HSA-9670439;R-HSA-9673767;R-HSA-9673768;R-HSA-9673770;R-HSA-9674396;R-HSA-9674401;R-HSA-9674403;R-HSA-9674404;R-HSA-9674428;R-HSA-9680187;R-HSA-9856530;R-HSA-9856649,,2,92,0,0,94
CHEMBL3545427,CM-082,,3.0,pathway;protein,FLT3;KDR;KIT;PDGFRB,R-HSA-109704;R-HSA-1257604;R-HSA-1433557;R-HSA-1433559;R-HSA-186763;R-HSA-186797;R-HSA-194306;R-HSA-195399;R-HSA-2028269;R-HSA-216083;R-HSA-2219530;R-HSA-4420097;R-HSA-5218921;R-HSA-5673001;R-HSA-6811558;R-HSA-8866910;R-HSA-9607240;R-HSA-9645135;R-HSA-9669914;R-HSA-9669917;R-HSA-9669921;R-HSA-9669924;R-HSA-9669926;R-HSA-9669929;R-HSA-9669933;R-HSA-9669934;R-HSA-9669935;R-HSA-9669936;R-HSA-9670439;R-HSA-9673768;R-HSA-9673770;R-HSA-9680187;R-HSA-9702509;R-HSA-9702518;R-HSA-9702569;R-HSA-9702577;R-HSA-9702581;R-HSA-9702590;R-HSA-9702596;R-HSA-9702600;R-HSA-9702605;R-HSA-9702614;R-HSA-9702620;R-HSA-9702624;R-HSA-9702632;R-HSA-9702636;R-HSA-9702998;R-HSA-9703009;R-HSA-9703648;R-HSA-9706369;R-HSA-9706374;R-HSA-9706377;R-HSA-9856530;R-HSA-9856649,,1,120,0,0,121
