compound_name,chembl_id,morphology score,is_CP_hit
7-methoxytacrine,CHEMBL1256415,0.6,True
7-nitroindazole,CHEMBL247378,0.05,False
8-M-PDOT,CHEMBL99377,-0.05,False
8-bromo-cAMP,CHEMBL1626177,0.42,False
8-bromo-cGMP,CHEMBL1741141,0.05,False
8-hydroxy-DPAT,CHEMBL56,0.06,False
8-hydroxy-PIPAT,CHEMBL284716,-0.05,False
9-aminoacridine,CHEMBL43184,0.1,False
9-anthracenecarboxylic-acid,CHEMBL1513985,0.25,False
A-1070722,CHEMBL1982660,-0.05,False
A-1120,CHEMBL1230001,0.0,False
A-317491,CHEMBL596234,0.19,False
A-33903,CHEMBL204738,0.19,False
A-366,CHEMBL3109630,0.02,False
A-412997,CHEMBL375596,-0.1,False
A-438079,CHEMBL377219,0.04,False
A-582941,CHEMBL526281,0.15,False
A-674563,CHEMBL379218,0.11,False
A-7,CHEMBL1331148,0.53,True
A-769662,CHEMBL512504,0.09,False
A-784168,CHEMBL482834,0.13,False
A-803467,CHEMBL250699,0.03,False
A-804598,CHEMBL1628690,0.1,False
A-839977,CHEMBL1628691,-0.06,False
A-867744,CHEMBL490153,0.1,False
A-887826,CHEMBL4303253,-0.15,False
A-939572,CHEMBL469169,-0.1,False
A-967079,CHEMBL3697701,0.04,False
A-987306,CHEMBL1935450,0.25,False
A12B4C3,CHEMBL4303462,0.5,True
A205804,CHEMBL267678,-0.15,False
A61603,CHEMBL109783,0.03,False
A66,CHEMBL3218581,0.16,False
A740003,CHEMBL255787,0.3,False
A77636,CHEMBL291143,-0.07,False
A922500,CHEMBL430405,0.2,False
A922500,CHEMBL430405,-0.09,False
AA-29504,CHEMBL4303215,-0.02,False
ABACAVIR SULFATE,CHEMBL4303288,0.04,False
ABC-294640,CHEMBL2158685,0.01,False
ABT-202,CHEMBL5498530,0.02,False
ABT-239,CHEMBL351231,0.44,False
ABT-491,CHEMBL369225,0.16,False
ABT-639,CHEMBL3590674,0.06,False
ABT-702,CHEMBL66089,0.05,False
ABT-724,CHEMBL440687,0.14,False
ABT-737,CHEMBL376408,0.1,False
ABT-751,CHEMBL20684,-0.21,False
AC-186,CHEMBL4303689,0.09,False
AC-261066,CHEMBL198997,-0.13,False
AC-264613,CHEMBL494502,-0.16,False
AC-55541,CHEMBL493076,0.03,False
AC-55649,CHEMBL425027,-0.01,False
AC-710,CHEMBL2206278,-0.02,False
AC-7954-(+/-),CHEMBL192359,-0.1,False
ACDPP,CHEMBL1616372,0.23,False
ACPC,CHEMBL265325,0.18,False
ACT-132577,CHEMBL2165326,0.07,False
ACT-462206,CHEMBL3597952,-0.09,False
ACTB-1003,CHEMBL3991934,0.23,False
ACY-1215,CHEMBL2364628,-0.13,False
AD-5467,CHEMBL164603,0.02,False
ADD-233089,CHEMBL1516308,0.02,False
ADENOSINE TRIPHOSPHATE DISODIUM,CHEMBL2106579,-0.01,False
ADL5859,CHEMBL494480,0.01,False
ADX-10059,CHEMBL3545036,0.22,False
ADX-47273,CHEMBL381055,0.24,False
AEE788,CHEMBL587723,-0.14,False
AEG3482,CHEMBL19231,0.29,False
AF38469,CHEMBL3098745,-0.21,False
AFN-1252,CHEMBL1652621,0.18,False
AG-1024,CHEMBL2218926,0.14,False
AG-14361,CHEMBL65892,0.09,False
AG-490,CHEMBL56543,0.21,False
AG-555,CHEMBL53898,-0.07,False
AG-556,CHEMBL440298,0.17,False
AGI-5198,CHEMBL2180727,0.18,False
AGI-6780,CHEMBL3392845,0.2,False
AGN-192403,CHEMBL430112,0.11,False
AGN-194310,CHEMBL4303670,-0.01,False
AGN-195183,CHEMBL107430,-0.14,False
AGP-103,CHEMBL1173474,0.06,False
AH-7614,CHEMBL3311302,0.17,False
AH11110,CHEMBL1356346,0.08,False
AH6809,CHEMBL1317823,0.1,False
AI-10-49,CHEMBL4303677,-0.25,False
AIM-100,CHEMBL247070,0.0,False
AJ76-(+),CHEMBL27441,0.05,False
AK-7,CHEMBL3222141,0.06,False
AL-8697,CHEMBL2087742,-0.2,False
ALS-8112,CHEMBL3417243,-0.01,False
ALX-5407,CHEMBL180966,0.04,False
AM-1241,CHEMBL408430,0.61,True
AM-24,CHEMBL81721,-0.08,False
AM-251,CHEMBL285932,0.25,False
AM-281,CHEMBL476833,0.11,False
AM-404,CHEMBL39878,0.01,False
AM-580,CHEMBL69367,-0.33,False
AM-630,CHEMBL181633,0.12,False
AM095,CHEMBL2182052,0.15,False
AM679,CHEMBL595092,-0.1,False
AMD-3465,CHEMBL477121,0.13,False
AMD11070,CHEMBL518924,0.04,False
AMG-208,CHEMBL496102,0.03,False
AMG-232,CHEMBL3125702,-0.12,False
AMG-337,CHEMBL3785909,0.08,False
AMG-487-(+/-),CHEMBL397983,0.18,False
AMG-487-(+/-),CHEMBL397983,0.14,False
AMG-517,CHEMBL229430,0.16,False
AMG-548,CHEMBL585902,0.65,True
AMG-837,CHEMBL1829173,0.08,False
AMG-925,CHEMBL3237719,0.0,False
AMG-9810,CHEMBL195789,-0.07,False
AMG-PERK-44,CHEMBL3407862,0.06,False
AMG319,CHEMBL4303596,0.06,False
AMG319,CHEMBL4303596,-0.09,False
AMG458,CHEMBL460472,0.32,False
AMG900,CHEMBL2140408,0.2,False
AMI-1,CHEMBL3109656,0.02,False
AMN-082,CHEMBL1387826,0.14,False
AMPA-(RS),CHEMBL14815,0.03,False
AMPA-(RS),CHEMBL14815,0.04,False
AMZ30,CHEMBL1550905,-0.18,False
AN2718,CHEMBL211538,-0.1,False
ANA-12,CHEMBL4303548,0.02,False
ANR-94,CHEMBL4303273,0.24,False
AP-18,CHEMBL593902,0.11,False
AP26113,CHEMBL3397300,-0.07,False
APC-100,CHEMBL37676,-0.08,False
APD597,CHEMBL1951032,-0.01,False
APD668,CHEMBL1775179,0.08,False
API-001,CHEMBL2170062,0.05,False
API-1,CHEMBL4303566,-0.04,False
APR-246,CHEMBL3186011,0.21,False
APTO-253,CHEMBL4297261,0.21,False
APY-29,CHEMBL1231018,-0.28,False
APY0201,CHEMBL4303292,0.26,False
APcK-110,CHEMBL4303655,0.1,False
AQ-RA741,CHEMBL43383,0.07,False
AR-12,CHEMBL1650595,-0.09,False
AR-42,CHEMBL191482,0.06,False
AR-A014418,CHEMBL259850,-0.14,False
AR-C155858,CHEMBL375166,0.07,False
ARC-239,CHEMBL362051,0.21,False
ARQ-092,CHEMBL4297188,0.7,True
ARQ-621,CHEMBL4303449,-0.02,False
ARRY-334543,CHEMBL2103842,-0.16,False
ARTENIMOL,CHEMBL307261,0.23,False
ARV-825,CHEMBL4226052,-0.07,False
AS-1269574,CHEMBL1956589,0.27,False
AS-1892802,CHEMBL2023158,0.49,True
AS-1949490,CHEMBL2337806,0.08,False
AS-2034178,CHEMBL4303234,-0.01,False
AS-2444697,CHEMBL3546136,-0.17,False
AS-252424,CHEMBL379156,0.15,False
AS-604850,CHEMBL1231533,-0.1,False
AS-703026,CHEMBL2107832,-0.14,False
AS-77,CHEMBL444449,0.2,False
ASA-404,CHEMBL71263,-0.09,False
ASC-J9,CHEMBL128748,0.33,False
ASCORBIC ACID,CHEMBL196,0.1,False
ASP-2535,CHEMBL4303475,-0.1,False
ASP3026,CHEMBL3545360,-0.03,False
AST-1306,CHEMBL1947204,-0.05,False
AT-1015,CHEMBL4303347,0.01,False
AT-7519,CHEMBL445813,-0.28,False
AT-9283,CHEMBL495727,0.03,False
AT13148,CHEMBL3544960,0.17,False
AT13387,CHEMBL1214827,0.19,False
AT7867,CHEMBL428462,0.29,False
ATB-346,CHEMBL4211107,0.12,False
ATN-161,CHEMBL4297456,0.1,False
ATPA,CHEMBL113180,0.1,False
ATROPINE SULFATE,CHEMBL3185794,-0.21,False
AV-608,CHEMBL1765508,0.19,False
AVE-0991,CHEMBL4303593,0.16,False
AVL-292,CHEMBL3301625,-0.02,False
AVN-944,CHEMBL3349001,-0.0,False
AY-9944,CHEMBL3775982,0.52,True
AZ-10417808,CHEMBL586058,-0.14,False
AZ-10606120,CHEMBL562308,-0.13,False
AZ-12080282,CHEMBL2059865,0.06,False
AZ-628,CHEMBL2144069,-0.06,False
AZ191,CHEMBL3421968,0.38,False
AZ20,CHEMBL2325697,0.12,False
AZ3146,CHEMBL2140523,0.13,False
AZ505,CHEMBL2169920,-0.23,False
AZ5104,CHEMBL3353411,-0.25,False
AZ960,CHEMBL1774055,-0.05,False
AZD1080,CHEMBL1969664,-0.24,False
AZD1208,CHEMBL2048872,-0.08,False
AZD1283,CHEMBL2419490,0.13,False
AZD1446,CHEMBL2179529,0.19,False
AZD1480,CHEMBL1231124,0.05,False
AZD1981,CHEMBL1914489,0.19,False
AZD2014,CHEMBL2336325,-0.22,False
AZD2461,CHEMBL4098253,0.12,False
AZD2858,CHEMBL2177161,0.22,False
AZD3264,CHEMBL4303437,0.03,False
AZD3463,CHEMBL4203266,0.21,False
AZD3514,CHEMBL2346976,0.02,False
AZD3759,CHEMBL3623290,-0.18,False
AZD3839,CHEMBL2177913,0.16,False
AZD3965,CHEMBL3335793,0.04,False
AZD3988,CHEMBL2036730,0.11,False
AZD4282,CHEMBL773,0.15,False
AZD4547,CHEMBL3348846,0.37,False
AZD5363,CHEMBL2325741,0.22,False
AZD5438,CHEMBL488436,-0.17,False
AZD5582,CHEMBL3108827,-0.16,False
AZD6482,CHEMBL2165191,-0.07,False
AZD6738,CHEMBL3648328,0.02,False
AZD7545,CHEMBL1231132,0.28,False
AZD7687,CHEMBL2178944,0.13,False
AZD7762,CHEMBL2041933,0.11,False
AZD8055,CHEMBL1801204,-0.07,False
AZD8186,CHEMBL3408248,-0.22,False
AZD8330,CHEMBL3182621,-0.1,False
AZD8835,CHEMBL3894518,0.2,False
AZD8931,CHEMBL2408045,-0.19,False
AZD9272,CHEMBL2164551,0.14,False
AZD9496,CHEMBL3623004,-0.07,False
AZD9668,CHEMBL3617964,0.1,False
AZM-475271,CHEMBL426161,-0.11,False
Abiraterone (CB-7598),CHEMBL254328,-0.03,False
BAG-956,CHEMBL2134545,0.11,False
BAM7,CHEMBL3187660,0.05,False
BAN-ORL-24,CHEMBL201945,0.51,True
BAX-channel-blocker,CHEMBL1402326,0.12,False
BAY-11-7082,CHEMBL403183,0.17,False
BAY-11-7085,CHEMBL270299,0.17,False
BAY-41-2272,CHEMBL353759,-0.06,False
BAY-60-6583,CHEMBL4202825,-0.03,False
BAY-60-7550,CHEMBL370962,0.15,False
BAY-61-3606,CHEMBL541400,0.46,False
BAY-85-8050,CHEMBL1650467,0.03,False
BAY-87-2243,CHEMBL4303384,0.08,False
BAY-K-8644-(+/-),CHEMBL513599,0.19,False
BAY-K-8644-(+/-),CHEMBL513599,-0.09,False
BAY-W-9798,CHEMBL4303598,-0.13,False
BAZ2-ICR,CHEMBL4296718,0.03,False
BC-11,CHEMBL4303420,0.09,False
BCI-540,CHEMBL37935,0.06,False
