chembl_id,drug_name_canonical,smiles_canonical,protein_genes,protein_pairs,pathways,pathway_pairs,pathway_genes,moa_terms,moa_pairs,evidence_sources_count,aml_known_drug_flag,preferred_name_chembl,trade_names_chembl,url,known_targets_chembl,known_mechanisms_chembl,Solubility_logS,Solubility_logS_lower_bound,Solubility_logS_upper_bound,Solubility_Capped_logS_lower_bound,Solubility_Capped_logS_upper_bound,Lipophilicity,CYP3A4_p0,CYP3A4_p1,CYP3A4,CYP2C19_p0,CYP2C19_p1,CYP2C19,CYP2D6_p0,CYP2D6_p1,CYP2D6,CYP1A2_p0,CYP1A2_p1,CYP1A2,CYP2C9_p0,CYP2C9_p1,CYP2C9,PGP_p0,PGP_p1,PGP,hERG_p0,hERG_p1,hERG,AMES_p0,AMES_p1,AMES,PAMPA_p0,PAMPA_p1,PAMPA,BBB_p0,BBB_p1,BBB,mech_subscore,exp_subscore,clin_subscore,admet_subscore,tract_subscore,overall_score
CHEMBL1201748,CABAZITAXEL,CO[C@H]1C(=O)[C@]2(C)[C@@H](OC)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C1C2(C)C,0,0,0,0,0,1,1,1,False,,,,,,-6.01,-7.26,-4.77,-7.26,-4.77,4.5678000000000045,0.615,0.0763,0.0,0.825,0.0188,0.0,0.108,0.469,1.0,0.369,0.106,0.0,0.802,0.0209,0.0,0.167,0.203,1,0.877,0.0239,0,0.345,0.114,0,0.0922,0.809,1.0,0.614,0.0223,0.0,0.0,0.19999999999999998,0.0,0.5639945828667411,0.6348264277715565,0.12814077967525195
CHEMBL2040682,CICLESONIDE,CC(C)C(=O)OCC(=O)[C@@]12O[C@H](C3CCCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]12C,0,0,0,0,0,1,1,1,False,,,,,,-5.56,-5.99,-5.12,-5.99,-5.12,4.703900000000005,0.309,0.206,0.0,0.525,0.0847,0.0,0.727,0.0694,0.0,0.604,0.0353,0.0,0.89,0.0093,0.0,0.598,0.0382,0,0.539,0.0977,0,0.646,0.0431,0,0.266,0.331,0.5,0.0262,0.834,1.0,0.0,0.19999999999999998,0.0,0.5518069218924968,0.6499440089585666,0.12767789263717802
CHEMBL2106643,MYCOPHENOLATE SODIUM,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)[O-])C(=O)OC2.[Na+],0,0,0,0,0,1,1,1,False,,,,,,-1.99,-2.83,-1.16,-2.83,-1.16,-1.5974799999999982,0.451,0.14,0.0,0.622,0.0554,0.0,0.973,0.00674,0.0,0.81,0.0168,0.0,0.564,0.0766,0.0,0.911,0.0257,0,0.855,0.024,0,0.9,0.0123,0,0.394,0.213,0.0,0.176,0.246,1.0,0.0,0.19999999999999998,0.0,0.49091897816349395,0.7698768197088466,0.12758573880179175
CHEMBL1200975,CLOCORTOLONE PIVALATE,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@H]1C(=O)COC(=O)C(C)(C)C,0,0,0,0,0,1,1,1,False,,,,,,-4.92,-5.49,-4.35,-5.49,-4.35,4.595100000000004,0.586,0.0841,0.0,0.449,0.107,0.0,0.528,0.111,0.0,0.63,0.0321,0.0,0.421,0.166,0.0,0.0543,0.283,1,0.538,0.0972,0,0.452,0.0669,0,0.26,0.375,0.5,0.0127,0.98,1.0,0.0,0.19999999999999998,0.0,0.5398989151735719,0.671444568868981,0.12756211996080624
CHEMBL1201112,NELARABINE,COc1nc(N)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,0,0,0,0,0,1,1,1,False,,,,,,-1.38,-1.98,-0.788,-1.98,-0.788,-1.9713999999999996,0.759,0.0359,0.0,0.571,0.0723,0.0,0.651,0.0776,0.0,0.736,0.0208,0.0,0.649,0.056,0.0,0.833,0.0229,0,0.985,0.00247,0,0.666,0.0405,0,0.948,0.00153,0.0,0.259,0.143,0.0,0.0,0.19999999999999998,0.0,0.4795030655095185,0.7903695408734603,0.12746878359462488
CHEMBL1200562,HYDROCORTISONE VALERATE,CCCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,0,0,0,0,0,1,1,1,False,,,,,,-5.6,-6.48,-4.71,-6.48,-4.71,3.522700000000002,0.536,0.0984,0.0,0.451,0.105,0.0,0.69,0.082,0.0,0.703,0.0205,0.0,0.472,0.114,0.0,0.776,0.0485,0,0.584,0.0851,0,0.806,0.0289,0,0.37,0.236,0.0,0.115,0.476,1.0,0.0,0.19999999999999998,0.0,0.5498480473124299,0.6486002239641657,0.12741481592945128
CHEMBL1130,DOXIFLURIDINE,C[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O,0,0,0,0,0,1,1,1,False,,,,,,-1.5,-2.09,-0.916,-2.09,-0.916,-1.6851999999999996,0.46,0.124,0.0,0.81,0.0233,0.0,0.608,0.0886,0.0,0.883,0.00938,0.0,0.409,0.14,0.0,0.541,0.0828,0,0.222,0.226,0.5,0.482,0.0697,0,0.894,0.0135,0.0,0.382,0.0555,0.0,0.0,0.19999999999999998,0.0,0.47941394176931695,0.7863381858902576,0.12725830347144457
CHEMBL1200617,RIMEXOLONE,CCC(=O)[C@@]1(C)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,0,0,0,0,0,1,1,1,False,,,,,,-3.9,-4.65,-3.16,-4.65,-3.16,4.496500000000005,0.262,0.23,0.5,0.438,0.105,0.0,0.358,0.21,0.5,0.438,0.0671,0.0,0.307,0.214,0.5,0.838,0.0262,0,0.194,0.251,1,0.715,0.0331,0,0.35,0.267,0.5,0.073,0.743,1.0,0.0,0.19999999999999998,0.0,0.5191752169652852,0.7057110862262038,0.12720307600783873
CHEMBL1201752,IXABEPILONE,C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)N1,0,0,0,0,0,1,1,1,False,,,,,,-3.06,-3.45,-2.68,-3.45,-2.68,4.050520000000002,0.534,0.114,0.0,0.162,0.325,1.0,0.523,0.13,0.0,0.489,0.0551,0.0,0.0888,0.511,1.0,0.299,0.146,0,0.712,0.0511,0,0.634,0.039,0,0.509,0.127,0.0,0.424,0.0423,0.0,0.0,0.19999999999999998,0.0,0.5041353331466963,0.7339305711086226,0.12711006187010077
CHEMBL64894,GENTIAN VIOLET,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1.[Cl-],0,0,0,0,0,1,1,1,False,,,,,,-3.97,-5.89,-2.06,-5.89,-2.06,1.4636000000000002,0.624,0.0667,0.0,0.0242,0.833,1.0,0.524,0.128,0.0,0.0311,0.667,1.0,0.402,0.141,0.0,0.0717,0.289,1,0.000546,0.984,1,0.55,0.0551,0,0.742,0.0379,0.0,0.045,0.926,1.0,0.0,0.19999999999999998,0.0,0.518434686450168,0.7033594624860022,0.12701144176931692
