inchikey,chembl_id,drug_name,smiles,phase,n_protein_links,n_unique_genes,n_pathway_links,n_unique_pathways,n_moa_links,n_unique_moa,max_phase,n_unique_genes_log,n_unique_pathways_log,n_unique_moa_log,mechanistic_score,phase_bonus,CYP3A4_p0,CYP3A4_p1,CYP3A4_inhibition,AMES_p0,AMES_p1,AMES_mutagenic,BBB_p0,BBB_p1,BBB_penetration,hERG_p0,hERG_p1,hERG_inhibition,PAMPA_p0,PAMPA_p1,PAMPA_permeability,logS,logS_lower_bound,logS_upper_bound,Capped_logS_lower_bound,Capped_logS_upper_bound,logP,CYP2C19_p0,CYP2C19_p1,CYP2C19_inhibition,CYP2D6_p0,CYP2D6_p1,CYP2D6_inhibition,CYP1A2_p0,CYP1A2_p1,CYP1A2_inhibition,CYP2C9_p0,CYP2C9_p1,CYP2C9_inhibition,PGP_p0,PGP_p1,PGP_inhibition,admet_penalty,logS_norm,logP_norm,admet_reg_bonus,mechanistic_score_norm,overall_score,assay_top_uM,assay_series_uM
WBXPDJSOTKVWSJ-ZDUSSCGKSA-N,CHEMBL5315053,PEMETREXED MONOHYDRATE,Nc1nc2[nH]cc(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c2c(=O)[nH]1,,0,0,0,0,2,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.994,0.000695,0.0,0.174,0.227,1.0,0.257,0.131,0,0.895,0.0198,0.0,0.97,0.00203,0.0,-4.37,-5.02,-3.72,-5.02,-3.72,0.6664000000000003,0.971,0.00276,0.0,0.924,0.0138,0.0,0.915,0.00275,0.0,0.876,0.00857,0.0,0.767,0.0337,0.0,1.0,0.45375,0.6666000000000001,0.11203500000000002,0.0,-0.005694749999999996,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
VWVSBHGCDBMOOT-IIEHVVJPSA-N,CHEMBL1766,DESOXIMETASONE,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.346,0.169,0.0,0.531,0.0604,0.0,0.126,0.431,1,0.136,0.299,1.0,0.448,0.186,0.0,-3.73,-4.56,-2.9,-4.56,-2.9,2.780800000000001,0.431,0.118,0.0,0.411,0.173,0.0,0.638,0.0299,0.0,0.226,0.308,0.5,0.505,0.113,0.0,1.15,0.53375,0.8047999999999997,0.13385499999999997,0.0,-0.0057967500000000016,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
ARFHIAQFJWUCFH-IZZDOVSWSA-N,CHEMBL290960,NIFURTIMOX,CC1CS(=O)(=O)CCN1/N=C/c1ccc([N+](=O)[O-])o1,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.424,0.139,0.0,0.0282,0.788,1.0,0.355,0.0674,0,0.242,0.214,0.0,0.158,0.628,1.0,-2.84,-3.44,-2.24,-3.44,-2.24,0.6406000000000001,0.391,0.127,0.0,0.365,0.215,0.5,0.435,0.0725,0.0,0.523,0.101,0.0,0.91,0.0257,0.0,1.15,0.645,0.66015,0.13051500000000002,0.0,-0.006297749999999995,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
WUBBRNOQWQTFEX-UHFFFAOYSA-M,CHEMBL2096646,AMINOSALICYLATE SODIUM,Nc1ccc(C(=O)[O-])c(O)c1,,0,0,0,0,2,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.766,0.0305,0.0,0.0998,0.387,1.0,0.602,0.0283,0,0.923,0.0159,0.0,0.94,0.00708,0.0,-2.06,-2.79,-1.34,-2.79,-1.34,-0.6621000000000001,0.743,0.0429,0.0,0.482,0.156,0.0,0.444,0.0662,0.0,0.416,0.133,0.0,0.543,0.113,0.0,1.0,0.7424999999999999,0.33447499999999997,0.1076975,0.0,-0.006345374999999999,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
KPQZUUQMTUIKBP-UHFFFAOYSA-N,CHEMBL498847,SECNIDAZOLE,Cc1ncc([N+](=O)[O-])n1CC(C)O,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.469,0.126,0.0,0.0408,0.639,1.0,0.0902,0.649,1,0.571,0.0891,0.0,0.494,0.118,0.0,-0.902,-1.57,-0.235,-1.57,-0.235,0.4805199999999999,0.554,0.0827,0.0,0.131,0.396,1.0,0.49,0.0559,0.0,0.476,0.134,0.0,0.715,0.0398,0.0,1.3,0.88725,0.62013,0.150738,0.0,-0.006639299999999999,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
LLPOLZWFYMWNKH-CMKMFDCUSA-N,CHEMBL3989677,HYDROCODONE BITARTRATE,COc1ccc2c3c1O[C@H]1C(=O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.458,0.117,0.0,0.726,0.0338,0.0,0.0789,0.691,1,0.0875,0.369,1.0,0.189,0.504,1.0,-2.19,-2.66,-1.72,-2.66,-1.72,1.9333,0.214,0.27,0.5,0.102,0.471,1.0,0.39,0.0847,0.0,0.485,0.099,0.0,0.788,0.0306,0.0,1.45,0.7262500000000001,0.983325,0.1709575,0.0,-0.006981374999999998,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
FEBLZLNTKCEFIT-VSXGLTOVSA-N,CHEMBL989,FLUOCINOLONE ACETONIDE,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.311,0.211,0.5,0.534,0.058,0.0,0.0307,0.881,1,0.161,0.273,1.0,0.55,0.101,0.0,-5.34,-6.26,-4.43,-6.26,-4.43,2.366800000000001,0.727,0.0358,0.0,0.665,0.0802,0.0,0.627,0.0325,0.0,0.52,0.0869,0.0,0.961,0.00375,0.0,1.15,0.3325,0.9082999999999998,0.12407999999999997,0.0,-0.007263000000000002,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
JCKYGMPEJWAADB-UHFFFAOYSA-N,CHEMBL515,CHLORAMBUCIL,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.422,0.131,0.0,0.0764,0.449,1.0,0.331,0.0959,0,0.902,0.0185,0.0,0.853,0.0135,0.0,-3.43,-4.13,-2.72,-4.13,-2.72,3.377900000000002,0.604,0.0598,0.0,0.933,0.0168,0.0,0.192,0.22,0.5,0.553,0.0827,0.0,0.643,0.0923,0.0,1.15,0.57125,0.6555249999999995,0.12267749999999995,0.0,-0.007473375000000004,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
XTULMSXFIHGYFS-VLSRWLAYSA-N,CHEMBL1676,FLUTICASONE FUROATE,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)SCF,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.036,0.637,1.0,0.817,0.0202,0.0,0.0958,0.652,1,0.44,0.128,0.0,0.361,0.23,0.0,-7.12,-7.64,-6.6,-7.64,-6.6,4.9268000000000045,0.417,0.124,0.0,0.144,0.385,1.0,0.319,0.108,0.0,0.34,0.178,0.0,0.556,0.0912,0.0,0.6,0.10999999999999999,0.2682999999999989,0.03782999999999989,0.0,-0.007825500000000015,3.0,"[3.0, 1.0, 0.3333333333333333, 0.1111111111111111, 0.037037037037037035, 0.012345679012345678, 0.00411522633744856, 0.0013717421124828531, 0.0004572473708276177, 0.00015241579027587258]"
UQCNKQCJZOAFTQ-ISWURRPUSA-N,CHEMBL1200794,OXYMORPHONE HYDROCHLORIDE,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.638,0.0672,0.0,0.716,0.0353,0.0,0.0916,0.493,1,0.124,0.317,1.0,0.371,0.254,0.5,-2.11,-3.45,-0.774,-3.45,-0.774,0.7451999999999999,0.361,0.145,0.0,0.188,0.374,1.0,0.569,0.0376,0.0,0.48,0.111,0.0,0.817,0.0297,0.0,1.3,0.7362500000000001,0.6862999999999999,0.142255,0.0,-0.007911750000000002,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
HUNGUWOZPQBXGX-UHFFFAOYSA-N,CHEMBL571546,TIRBANIBULIN,O=C(Cc1ccc(-c2ccc(OCCN3CCOCC3)cc2)cn1)NCc1ccccc1,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.521,0.109,0.0,0.156,0.204,1.0,0.206,0.21,0.5,0.39,0.141,0.0,0.757,0.0359,0.0,-3.79,-4.48,-3.1,-4.48,-3.1,3.318500000000001,0.691,0.0452,0.0,0.252,0.295,0.5,0.543,0.0461,0.0,0.481,0.122,0.0,0.947,0.0103,0.0,1.15,0.52625,0.6703749999999997,0.11966249999999996,0.0,-0.007925625000000004,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
GBABOYUKABKIAF-IELIFDKJSA-N,CHEMBL538943,VINORELBINE TARTRATE,CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.265,0.229,0.5,0.762,0.0271,0.0,0.114,0.411,1,0.371,0.154,0.0,0.0205,0.964,1.0,-6.02,-6.51,-5.54,-6.51,-5.54,4.753600000000004,0.672,0.0471,0.0,0.00471,0.864,1.0,0.538,0.0534,0.0,0.63,0.0709,0.0,0.117,0.208,1.0,0.75,0.24750000000000005,0.311599999999999,0.055909999999999904,0.0,-0.008488500000000012,3.0,"[3.0, 1.0, 0.3333333333333333, 0.1111111111111111, 0.037037037037037035, 0.012345679012345678, 0.00411522633744856, 0.0013717421124828531, 0.0004572473708276177, 0.00015241579027587258]"
QKDCLUARMDUUKN-XMMPIXPASA-N,CHEMBL3663929,NAQUOTINIB,C=CC(=O)N1CC[C@@H](Oc2nc(Nc3ccc(N4CCC(N5CCN(C)CC5)CC4)cc3)c(C(N)=O)nc2CC)C1,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.981,0.00461,0.0,0.859,0.0204,0.0,0.0741,0.789,1,0.0153,0.686,1.0,0.156,0.685,1.0,-2.69,-3.38,-2.0,-3.38,-2.0,2.2634000000000016,0.0728,0.597,1.0,0.261,0.304,0.5,0.858,0.00833,0.0,0.962,0.00428,0.0,0.686,0.0734,0.0,1.45,0.6637500000000001,0.9341499999999996,0.15979,0.0,-0.008656500000000001,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
DMKSVUSAATWOCU-HROMYWEYSA-N,CHEMBL1200865,LOTEPREDNOL ETABONATE,CCOC(=O)O[C@]1(C(=O)OCCl)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.317,0.203,0.0,0.776,0.0242,0.0,0.129,0.469,1,0.135,0.298,1.0,0.433,0.154,0.0,-5.01,-5.54,-4.47,-5.54,-4.47,3.9165000000000023,0.692,0.0474,0.0,0.496,0.127,0.0,0.393,0.0836,0.0,0.664,0.0497,0.0,0.905,0.00214,0.0,1.0,0.37375,0.5208749999999994,0.08946249999999994,0.0,-0.009080625000000007,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
SCKYRAXSEDYPSA-UHFFFAOYSA-N,CHEMBL1413,CICLOPIROX,Cc1cc(C2CCCCC2)n(O)c(=O)c1,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.218,0.292,0.5,0.382,0.0871,0.0,0.173,0.233,1,0.0322,0.532,1.0,0.306,0.302,0.5,-2.74,-3.61,-1.87,-3.61,-1.87,2.4417199999999992,0.283,0.182,0.0,0.281,0.267,0.5,0.232,0.178,0.5,0.459,0.126,0.0,0.201,0.167,0.0,1.4499999999999997,0.6575,0.8895700000000002,0.15470700000000004,0.0,-0.009418949999999985,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
VOVIALXJUBGFJZ-KWVAZRHASA-N,CHEMBL1370,BUDESONIDE,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.0991,0.462,1.0,0.616,0.055,0.0,0.0831,0.593,1,0.2,0.244,1.0,0.562,0.0913,0.0,-4.12,-4.65,-3.59,-4.65,-3.59,2.716800000000001,0.553,0.0831,0.0,0.635,0.0905,0.0,0.521,0.0477,0.0,0.795,0.0255,0.0,0.813,0.0242,0.0,1.3,0.485,0.8207999999999998,0.13057999999999997,0.0,-0.009663000000000005,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
ORYDPOVDJJZGHQ-UHFFFAOYSA-N,CHEMBL50882,TIRAPAZAMINE,Nc1n[n+]([O-])c2ccccc2[n+]1[O-],,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.305,0.207,0.0,0.202,0.194,0.5,0.302,0.0963,0,0.255,0.212,0.0,0.529,0.128,0.0,-0.817,-1.87,0.239,-1.87,0.239,-0.9162000000000003,0.199,0.285,1.0,0.276,0.265,0.5,0.19,0.221,0.5,0.214,0.308,0.5,0.286,0.159,0.0,1.25,0.897875,0.2709499999999999,0.1168825,0.0,-0.010592625,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
