inchikey,chembl_id,drug_name,smiles,phase,n_protein_links,n_unique_genes,n_pathway_links,n_unique_pathways,n_moa_links,n_unique_moa,max_phase,n_unique_genes_log,n_unique_pathways_log,n_unique_moa_log,mechanistic_score,phase_bonus,CYP3A4_p0,CYP3A4_p1,CYP3A4_inhibition,AMES_p0,AMES_p1,AMES_mutagenic,BBB_p0,BBB_p1,BBB_penetration,hERG_p0,hERG_p1,hERG_inhibition,PAMPA_p0,PAMPA_p1,PAMPA_permeability,logS,logS_lower_bound,logS_upper_bound,Capped_logS_lower_bound,Capped_logS_upper_bound,logP,CYP2C19_p0,CYP2C19_p1,CYP2C19_inhibition,CYP2D6_p0,CYP2D6_p1,CYP2D6_inhibition,CYP1A2_p0,CYP1A2_p1,CYP1A2_inhibition,CYP2C9_p0,CYP2C9_p1,CYP2C9_inhibition,PGP_p0,PGP_p1,PGP_inhibition,admet_penalty,logS_norm,logP_norm,admet_reg_bonus,mechanistic_score_norm,overall_score,assay_top_uM,assay_series_uM
RNMAUIMMNAHKQR-QFBILLFUSA-N,CHEMBL4206033,BAY1436032,C[C@H]1C[C@@H](n2c(Nc3ccc(OC(F)(F)F)cc3)nc3cc(CCC(=O)O)ccc32)CC(C)(C)C1,1.0,11,1,10,5,0,0,1.0,0.6931471805599453,1.791759469228055,0.0,0.7846400200554452,0.25,0.968,0.00368,0.0,0.146,0.266,1.0,0.167,0.242,1,0.38,0.15,0.0,0.74,0.0356,0.0,-5.76,-7.12,-4.4,-7.12,-4.4,7.083000000000006,0.648,0.0515,0.0,0.823,0.0395,0.0,0.831,0.00964,0.0,0.533,0.0739,0.0,0.5,0.0851,0.0,1.0,0.28,0.0,0.028000000000000004,0.22616237713276746,0.17393802056285232,3.0,"[3.0, 1.0, 0.3333333333333333, 0.1111111111111111, 0.037037037037037035, 0.012345679012345678, 0.00411522633744856, 0.0013717421124828531, 0.0004572473708276177, 0.00015241579027587258]"
KLRRGBHZCJLIEL-UHFFFAOYSA-N,CHEMBL3545403,BMS-833923,CNCc1ccc(C)c(NC(=O)c2ccc(Nc3nc(-c4ccccc4)c4ccccc4n3)cc2)c1,2.0,11,1,10,6,0,0,2.0,0.6931471805599453,1.9459101490553132,0.0,0.860570637371824,0.5,0.878,0.0255,0.0,0.121,0.331,1.0,0.138,0.332,1,0.201,0.248,1.0,0.0783,0.911,1.0,-1.99,-3.86,-0.108,-3.86,-0.108,6.320520000000005,0.868,0.016,0.0,0.405,0.195,0.0,0.532,0.047,0.0,0.642,0.0661,0.0,0.108,0.244,1.0,2.3,0.75125,0.0,0.075125,0.2519160066435037,0.17364735564697817,3.0,"[3.0, 1.0, 0.3333333333333333, 0.1111111111111111, 0.037037037037037035, 0.012345679012345678, 0.00411522633744856, 0.0013717421124828531, 0.0004572473708276177, 0.00015241579027587258]"
POERAARDVFVDLO-QGZVFWFLSA-N,CHEMBL3133037,LEQ506,Cc1c(Cc2ccccc2)nnc(N2CCN(c3cnc(C(C)(C)O)cn3)[C@H](C)C2)c1C,1.0,11,1,10,6,0,0,1.0,0.6931471805599453,1.9459101490553132,0.0,0.8256826385594528,0.25,0.0618,0.574,1.0,0.953,0.00884,0.0,0.121,0.452,1,0.0904,0.367,1.0,0.399,0.191,0.0,-3.05,-3.51,-2.59,-3.51,-2.59,3.4167400000000017,0.262,0.207,0.5,0.0862,0.504,1.0,0.131,0.316,1.0,0.0431,0.669,1.0,0.769,0.0335,0.0,2.3499999999999996,0.61875,0.6458149999999996,0.12645649999999997,0.2400829328777383,0.17016396794607755,3.0,"[3.0, 1.0, 0.3333333333333333, 0.1111111111111111, 0.037037037037037035, 0.012345679012345678, 0.00411522633744856, 0.0013717421124828531, 0.0004572473708276177, 0.00015241579027587258]"
VNTHYLVDGVBPOU-QQYBVWGSSA-N,CHEMBL1200475,DAUNORUBICIN CITRATE,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1.O=C(O)CC(O)(CC(=O)O)C(=O)O,,5,1,4,2,1,1,2.0,0.6931471805599453,1.0986122886681096,0.6931471805599453,0.753677709517965,0.5,0.956,0.00592,0.0,0.0765,0.398,1.0,0.947,0.00749,0,0.0204,0.63,1.0,0.957,0.00661,0.0,-3.08,-4.11,-2.04,-4.11,-2.04,-0.2195999999999983,0.922,0.0106,0.0,0.442,0.165,0.0,0.632,0.0341,0.0,0.814,0.0213,0.0,0.998,0.0175,0.0,2.0,0.615,0.4451000000000004,0.10601000000000003,0.21566079157267448,0.1542131728367733,3.0,"[3.0, 1.0, 0.3333333333333333, 0.1111111111111111, 0.037037037037037035, 0.012345679012345678, 0.00411522633744856, 0.0013717421124828531, 0.0004572473708276177, 0.00015241579027587258]"
FIGNGSHKNAHTSH-JJMFXPFOSA-N,CHEMBL2110580,BERUBICIN,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](OCc2ccccc2)[C@H](C)O1,2.0,10,1,8,2,0,0,2.0,0.6931471805599453,1.0986122886681096,0.0,0.625445481114375,0.5,0.338,0.18,0.0,0.137,0.262,1.0,0.952,0.00504,0,0.531,0.0965,0.0,0.651,0.0685,0.0,-3.75,-4.51,-2.99,-4.51,-2.99,2.2258,0.325,0.162,0.0,0.251,0.283,0.5,0.304,0.143,0.0,0.863,0.0112,0.0,0.97,0.0118,0.0,1.15,0.53125,0.94355,0.14748000000000003,0.17216785791349032,0.14258967922646676,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
OFZJKCQENFPZBH-UHFFFAOYSA-N,CHEMBL2105758,AVATROMBOPAG MALEATE,O=C(Nc1nc(-c2cc(Cl)cs2)c(N2CCN(C3CCCCC3)CC2)s1)c1cnc(N2CCC(C(=O)O)CC2)c(Cl)c1,4.0,4,1,2,1,0,0,4.0,0.6931471805599453,0.6931471805599453,0.0,0.5545177444479562,1.0,0.746,0.0425,0.0,0.424,0.0793,0.0,0.1,0.628,1,0.944,0.0126,0.0,0.466,0.157,0.0,-6.79,-7.27,-6.31,-7.27,-6.31,6.581400000000007,0.935,0.00625,0.0,0.236,0.291,0.5,0.908,0.00624,0.0,0.609,0.0752,0.0,0.803,0.0361,0.0,0.15,0.15125,0.0,0.015125,0.14811107137992435,0.12478816067293569,3.0,"[3.0, 1.0, 0.3333333333333333, 0.1111111111111111, 0.037037037037037035, 0.012345679012345678, 0.00411522633744856, 0.0013717421124828531, 0.0004572473708276177, 0.00015241579027587258]"
PLILLUUXAVKBPY-SBIAVEDLSA-N,CHEMBL3989691,ELTROMBOPAG OLAMINE,CC1=NN(c2ccc(C)c(C)c2)C(=O)/C1=N\Nc1cccc(-c2cccc(C(=O)O)c2)c1O.NCCO.NCCO,4.0,2,1,1,1,0,0,4.0,0.6931471805599453,0.6931471805599453,0.0,0.5545177444479562,1.0,0.971,0.00244,0.0,0.125,0.26,1.0,0.115,0.437,1,0.968,0.00727,0.0,0.531,0.0821,0.0,-4.53,-5.01,-4.05,-5.01,-4.05,2.4396400000000003,0.172,0.333,1.0,0.936,0.0123,0.0,0.658,0.0321,0.0,0.405,0.157,0.0,0.796,0.0283,0.0,1.3,0.43374999999999997,0.8900899999999999,0.132384,0.14811107137992435,0.1165020106729357,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
XDXWLKQMMKQXPV-QYQHSDTDSA-N,CHEMBL461101,ELTROMBOPAG,CC1=NN(c2ccc(C)c(C)c2)C(=O)/C1=N\Nc1cccc(-c2cccc(C(=O)O)c2)c1O,3.0,2,1,1,1,0,0,3.0,0.6931471805599453,0.6931471805599453,0.0,0.5337233290311578,0.75,0.945,0.0121,0.0,0.394,0.0969,0.0,0.188,0.271,1,0.838,0.0308,0.0,0.577,0.0814,0.0,-6.48,-6.92,-6.04,-6.92,-6.04,4.564840000000005,0.0436,0.753,1.0,0.845,0.0368,0.0,0.362,0.0951,0.0,0.183,0.333,1.0,0.64,0.0837,0.0,0.6,0.18999999999999995,0.35878999999999883,0.05487899999999988,0.14105816321897557,0.11463128873612922,3.0,"[3.0, 1.0, 0.3333333333333333, 0.1111111111111111, 0.037037037037037035, 0.012345679012345678, 0.00411522633744856, 0.0013717421124828531, 0.0004572473708276177, 0.00015241579027587258]"
JXDYOSVKVSQGJM-UHFFFAOYSA-N,CHEMBL3109738,JNJ-26483327,COc1cc2ncnc3c2cc1OCCCCCN(C)Cc1ccc(Br)cc1N3,1.0,7,1,6,3,0,0,1.0,0.6931471805599453,1.3862943611198906,0.0,0.6766849350216466,0.25,0.138,0.38,1.0,0.73,0.0365,0.0,0.191,0.183,{∅},0.00529,0.86,1.0,0.228,0.473,1.0,-3.22,-3.88,-2.57,-3.88,-2.57,5.139000000000005,0.082,0.523,1.0,0.027,0.715,1.0,0.0609,0.519,1.0,0.101,0.491,1.0,0.0421,0.339,1.0,2.8,0.5974999999999999,0.21524999999999883,0.08127499999999988,0.18954690682549846,0.11030612080167368,3.0,"[3.0, 1.0, 0.3333333333333333, 0.1111111111111111, 0.037037037037037035, 0.012345679012345678, 0.00411522633744856, 0.0013717421124828531, 0.0004572473708276177, 0.00015241579027587258]"
NOZIJMHMKORZBA-KJCUYJGMSA-N,CHEMBL2107831,LUSUTROMBOPAG,CCCCCCO[C@@H](C)c1cccc(-c2csc(NC(=O)c3cc(Cl)c(/C=C(\C)C(=O)O)c(Cl)c3)n2)c1OC,4.0,2,1,1,1,0,0,4.0,0.6931471805599453,0.6931471805599453,0.0,0.5545177444479562,1.0,0.135,0.362,1.0,0.964,0.00354,0.0,0.0542,0.759,1,0.76,0.0401,0.0,0.0454,0.858,1.0,-7.29,-7.96,-6.62,-7.96,-6.62,8.523600000000004,0.000206,0.987,1.0,0.964,0.00302,0.0,0.0483,0.513,1.0,0.113,0.467,1.0,0.198,0.153,0.0,1.2,0.08875,0.0,0.008875,0.14811107137992435,0.10022566067293569,3.0,"[3.0, 1.0, 0.3333333333333333, 0.1111111111111111, 0.037037037037037035, 0.012345679012345678, 0.00411522633744856, 0.0013717421124828531, 0.0004572473708276177, 0.00015241579027587258]"
BDGGFTDRPHKXFC-QYQHSDTDSA-N,CHEMBL4594401,RAFUTROMBOPAG,CC1=NN(c2ccc3c(c2)CCCC3)C(=O)/C1=N\Nc1cccc(-c2ccc(C(=O)O)o2)c1O,3.0,2,1,1,1,0,0,3.0,0.6931471805599453,0.6931471805599453,0.0,0.5337233290311578,0.75,0.941,0.00564,0.0,0.053,0.557,1.0,0.213,0.136,0,0.943,0.0126,0.0,0.0925,0.831,1.0,-4.33,-4.88,-3.78,-4.88,-3.78,4.419800000000004,0.357,0.142,0.0,0.727,0.061,0.0,0.158,0.258,1.0,0.0757,0.549,1.0,0.415,0.119,0.0,1.6,0.45875,0.395049999999999,0.0853799999999999,0.14105816321897557,0.09670643873612922,3.0,"[3.0, 1.0, 0.3333333333333333, 0.1111111111111111, 0.037037037037037035, 0.012345679012345678, 0.00411522633744856, 0.0013717421124828531, 0.0004572473708276177, 0.00015241579027587258]"
KXMZDGSRSGHMMK-VWLOTQADSA-N,CHEMBL3809489,BEMCENTINIB,Nc1nc(Nc2ccc3c(c2)CC[C@@H](N2CCCC2)CC3)nn1-c1cc2c(nn1)-c1ccccc1CCC2,2.0,3,1,2,1,0,0,2.0,0.6931471805599453,0.6931471805599453,0.0,0.5129289136143594,0.5,0.681,0.0559,0.0,0.0842,0.388,1.0,0.114,0.399,1,0.711,0.0544,0.0,0.737,0.0388,0.0,-4.84,-5.51,-4.16,-5.51,-4.16,4.882000000000005,0.26,0.216,0.5,0.812,0.0416,0.0,0.152,0.265,1.0,0.619,0.0644,0.0,0.179,0.178,0.5,1.5999999999999999,0.395,0.27949999999999875,0.06744999999999989,0.13400525505802677,0.08802196679932273,3.0,"[3.0, 1.0, 0.3333333333333333, 0.1111111111111111, 0.037037037037037035, 0.012345679012345678, 0.00411522633744856, 0.0013717421124828531, 0.0004572473708276177, 0.00015241579027587258]"
YBVNFKZSMZGRAD-UHFFFAOYSA-N,CHEMBL361506,PENTAMIDINE ISETHIONATE,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1.O=S(=O)(O)CCO.O=S(=O)(O)CCO,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.97,0.00311,0.0,0.777,0.0295,0.0,0.904,0.00223,0,0.955,0.0102,0.0,0.644,0.077,0.0,0.722,-0.262,1.71,-0.262,1.71,0.615840000000003,0.98,0.000588,0.0,0.973,0.00382,0.0,0.987,0.000586,0.0,0.829,0.0224,0.0,0.876,0.024,0.0,0.0,1.0,0.6539600000000008,0.1653960000000001,0.0,0.024809400000000013,30.0,"[30.0, 10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258]"
PIDANAQULIKBQS-RNUIGHNZSA-N,CHEMBL1201148,MEPREDNISONE,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3C(=O)C[C@]2(C)[C@@]1(O)C(=O)CO,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.626,0.0712,0.0,0.476,0.069,0.0,0.838,0.00553,0,0.503,0.113,0.0,0.497,0.151,0.0,-3.44,-4.18,-2.71,-4.18,-2.71,2.0118000000000005,0.483,0.0936,0.0,0.633,0.0925,0.0,0.652,0.0303,0.0,0.778,0.0221,0.0,0.337,0.154,0.0,0.0,0.5700000000000001,0.9970499999999999,0.156705,0.0,0.023505750000000002,30.0,"[30.0, 10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258]"
HPNSFSBZBAHARI-RUDMXATFSA-M,CHEMBL2106643,MYCOPHENOLATE SODIUM,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)[O-])C(=O)OC2,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.783,0.0347,0.0,0.899,0.0118,0.0,0.268,0.127,0,0.739,0.0488,0.0,0.388,0.212,0.0,-2.97,-3.85,-2.09,-3.85,-2.09,1.3985199999999995,0.576,0.07,0.0,0.624,0.0874,0.0,0.436,0.0711,0.0,0.489,0.0946,0.0,0.908,0.0227,0.0,0.0,0.6287499999999999,0.8496299999999999,0.147838,0.0,0.0221757,30.0,"[30.0, 10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258]"
HPNSFSBZBAHARI-RUDMXATFSA-N,CHEMBL866,MYCOPHENOLIC ACID,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.782,0.0334,0.0,0.897,0.0102,0.0,0.255,0.123,0,0.739,0.0483,0.0,0.368,0.209,0.0,-2.97,-3.85,-2.09,-3.85,-2.09,2.73322,0.575,0.0689,0.0,0.624,0.0849,0.0,0.435,0.07,0.0,0.488,0.0931,0.0,0.897,0.0132,0.0,0.0,0.6287499999999999,0.816695,0.1445445,0.0,0.021681674999999997,30.0,"[30.0, 10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258]"
LRJOMUJRLNCICJ-JZYPGELDSA-N,CHEMBL1152,PREDNISOLONE ACETATE,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.591,0.0698,0.0,0.568,0.0528,0.0,0.028,0.864,1,0.363,0.154,0.0,0.473,0.144,0.0,-4.24,-4.85,-3.62,-4.85,-3.62,2.1284,0.725,0.0366,0.0,0.52,0.122,0.0,0.532,0.0484,0.0,0.617,0.0619,0.0,0.249,0.153,0.0,0.0,0.47,0.9679,0.14379,0.0,0.0215685,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
XVTQTNAKZYLTNZ-HFPMQDOPSA-N,CHEMBL2023895,HYDROXYSTILBAMIDINE ISETHIONATE,N=C(N)c1ccc(/C=C/c2ccc(C(=N)N)cc2O)cc1.O=S(=O)(O)CCO.O=S(=O)(O)CCO,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.973,0.00361,0.0,0.605,0.0509,0.0,0.696,0.012,0,0.937,0.0136,0.0,0.819,0.0141,0.0,-0.457,-1.28,0.361,-1.28,0.361,-0.1362599999999987,0.882,0.0128,0.0,0.978,0.00237,0.0,0.981,0.00103,0.0,0.725,0.0508,0.0,0.871,0.0279,0.0,0.0,0.942875,0.4659350000000003,0.14088100000000003,0.0,0.021132150000000006,30.0,"[30.0, 10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258]"
YTKUWDBFDASYHO-UHFFFAOYSA-N,CHEMBL1201734,BENDAMUSTINE HYDROCHLORIDE,Cn1c(CCCC(=O)O)nc2cc(N(CCCl)CCCl)ccc21,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.801,0.0247,0.0,0.955,0.00678,0.0,0.396,0.0534,0,0.986,0.00193,0.0,0.638,0.0578,0.0,-2.23,-2.85,-1.62,-2.85,-1.62,3.2646000000000024,0.967,0.00242,0.0,0.883,0.018,0.0,0.52,0.0473,0.0,0.889,0.00655,0.0,0.927,0.00241,0.0,0.0,0.72125,0.6838499999999994,0.14050999999999994,0.0,0.02107649999999999,30.0,"[30.0, 10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258]"
RTGDFNSFWBGLEC-SYZQJQIISA-N,CHEMBL1200955,MYCOPHENOLATE MOFETIL HYDROCHLORIDE,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.294,0.226,0.5,0.371,0.0748,0.0,0.113,0.575,1,0.693,0.0609,0.0,0.0789,0.846,1.0,-1.98,-2.8,-1.16,-2.8,-1.16,2.52402,0.566,0.0675,0.0,0.607,0.109,0.0,0.436,0.0792,0.0,0.484,0.102,0.0,0.999,0.0184,0.0,0.15,0.7525,0.868995,0.1621495,0.0,0.020947425000000002,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
ALEXXDVDDISNDU-JZYPGELDSA-N,CHEMBL1091,HYDROCORTISONE ACETATE,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.628,0.0662,0.0,0.512,0.0593,0.0,0.178,0.228,1,0.392,0.137,0.0,0.516,0.0867,0.0,-4.32,-5.24,-3.4,-5.24,-3.4,2.3524000000000003,0.713,0.0357,0.0,0.609,0.0898,0.0,0.687,0.0196,0.0,0.639,0.062,0.0,0.333,0.135,0.0,0.0,0.45999999999999996,0.9118999999999999,0.13719,0.0,0.0205785,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
UFNVPOGXISZXJD-JBQZKEIOSA-N,CHEMBL1683544,ERIBULIN MESYLATE,C=C1C[C@@H]2CC[C@@]34C[C@H]5O[C@H]6[C@@H](O3)[C@H]3O[C@H](CC[C@@H]3O[C@H]6[C@H]5O4)CC(=O)C[C@@H]3[C@@H](OC)[C@@H](C[C@H](O)CN)O[C@H]3C[C@H]3O[C@@H](CC[C@@H]1O2)C[C@@H](C)C3=C,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.814,0.0213,0.0,0.641,0.0342,0.0,0.481,0.0222,0,0.934,0.0107,0.0,0.642,0.0624,0.0,-2.15,-3.03,-1.26,-3.03,-1.26,3.438000000000005,0.848,0.0112,0.0,0.705,0.0753,0.0,0.744,0.0176,0.0,0.884,0.00844,0.0,0.339,0.127,0.0,0.0,0.73125,0.6404999999999987,0.13717499999999988,0.0,0.02057624999999998,30.0,"[30.0, 10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258]"
WFWLQNSHRPWKFK-UHFFFAOYSA-N,CHEMBL20883,TEGAFUR,O=c1[nH]c(=O)n(C2CCCO2)cc1F,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.536,0.0893,0.0,0.571,0.0545,0.0,0.413,0.0373,0,0.438,0.13,0.0,0.692,0.0401,0.0,-1.04,-1.45,-0.634,-1.45,-0.634,-0.0153000000000003,0.675,0.0495,0.0,0.475,0.139,0.0,0.639,0.0302,0.0,0.391,0.168,0.0,0.311,0.144,0.0,0.0,0.87,0.4961749999999999,0.1366175,0.0,0.020492625,30.0,"[30.0, 10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258]"
HWJPWWYTGBZDEG-UHFFFAOYSA-N,CHEMBL134561,ICLAPRIM,COc1cc(Cc2cnc(N)nc2N)c2c(c1OC)OC(C1CC1)C=C2,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.576,0.0869,0.0,0.254,0.14,0.0,0.105,0.428,1,0.466,0.126,0.0,0.504,0.114,0.0,-4.25,-5.02,-3.49,-5.02,-3.49,2.4332000000000003,0.907,0.0077,0.0,0.577,0.0945,0.0,0.591,0.0355,0.0,0.403,0.12,0.0,0.755,0.0394,0.0,0.0,0.46875,0.8916999999999999,0.136045,0.0,0.020406749999999998,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
ZGXJTSGNIOSYLO-UHFFFAOYSA-N,CHEMBL1200582,AMINOLEVULINIC ACID HYDROCHLORIDE,NCC(=O)CCC(=O)O,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.86,0.016,0.0,0.685,0.0335,0.0,0.437,0.0446,0,0.647,0.0718,0.0,0.899,0.011,0.0,0.377,-1.15,1.9,-1.15,1.9,-0.6210000000000004,0.742,0.0366,0.0,0.645,0.0841,0.0,0.71,0.0215,0.0,0.634,0.0633,0.0,0.436,0.133,0.0,0.0,1.0,0.3447499999999999,0.13447499999999998,0.0,0.020171249999999998,30.0,"[30.0, 10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258]"
ITRJWOMZKQRYTA-RFZYENFJSA-N,CHEMBL1650,CORTISONE ACETATE,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@@]21C,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.801,0.0257,0.0,0.418,0.0765,0.0,0.225,0.138,0,0.67,0.0627,0.0,0.45,0.153,0.0,-4.14,-4.73,-3.56,-4.73,-3.56,2.560600000000001,0.729,0.0354,0.0,0.695,0.062,0.0,0.811,0.0129,0.0,0.81,0.0216,0.0,0.312,0.142,0.0,0.0,0.48250000000000004,0.8598499999999998,0.13423499999999997,0.0,0.020135249999999993,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
PTOAARAWEBMLNO-KVQBGUIXSA-N,CHEMBL1619,CLADRIBINE,Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.764,0.0371,0.0,0.359,0.0994,0.0,0.119,0.441,1,0.975,0.0061,0.0,0.948,0.00506,0.0,-0.945,-1.67,-0.216,-1.67,-0.216,-0.2974000000000004,0.522,0.0872,0.0,0.471,0.152,0.0,0.65,0.0315,0.0,0.721,0.0469,0.0,0.896,0.0134,0.0,0.0,0.881875,0.42564999999999986,0.1307525,0.0,0.019612875,30.0,"[30.0, 10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258]"
LWAFSWPYPHEXKX-UHFFFAOYSA-N,CHEMBL1201002,CARTEOLOL HYDROCHLORIDE,CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.632,0.065,0.0,0.319,0.123,0.0,0.684,0.0135,0,0.527,0.096,0.0,0.272,0.361,0.5,-1.42,-2.35,-0.492,-2.35,-0.492,1.6990999999999998,0.727,0.0379,0.0,0.0631,0.531,1.0,0.764,0.0153,0.0,0.835,0.0159,0.0,0.514,0.0975,0.0,0.3,0.8225,0.9247749999999999,0.1747275,0.0,0.019459124999999997,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
WZRJTRPJURQBRM-UHFFFAOYSA-N,CHEMBL58061,CO-TRIMOXAZOLE,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC.Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,,0,0,0,0,1,1,,0.0,0.0,0.6931471805599453,0.1178350206951907,0.0,0.351,0.176,0.0,0.895,0.0152,0.0,0.0329,0.914,1,0.992,0.00162,0.0,0.155,0.648,1.0,-4.47,-4.84,-4.11,-4.84,-4.11,2.62362,0.97,0.00276,0.0,0.96,0.00636,0.0,0.941,0.00382,0.0,0.918,0.00551,0.0,0.974,0.0148,0.0,0.0,0.44125000000000003,0.844095,0.1285345,0.0,0.019280175,10.0,"[10.0, 3.3333333333333335, 1.1111111111111112, 0.37037037037037035, 0.12345679012345678, 0.0411522633744856, 0.013717421124828532, 0.004572473708276178, 0.0015241579027587258, 0.0005080526342529086]"
