source,term,count,studies_returned,has_nextPageToken
pubmed,"(""UNC0638""[Title/Abstract] AND ""Ceritinib""[Title/Abstract])",0.0,,
clinicaltrials,(UNC0638) AND (Ceritinib) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""GK921""[Title/Abstract] AND ""Thiazovivin""[Title/Abstract])",0.0,,
clinicaltrials,(GK921) AND (Thiazovivin) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""StemRegenin 1""[Title/Abstract] AND ""SGI-1027""[Title/Abstract])",0.0,,
clinicaltrials,(StemRegenin 1) AND (SGI-1027) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""GSK2606414""[Title/Abstract] AND ""Ceritinib""[Title/Abstract])",0.0,,
clinicaltrials,(GSK2606414) AND (Ceritinib) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""SR-33805 oxalate""[Title/Abstract] AND ""Ceritinib""[Title/Abstract])",0.0,,
clinicaltrials,(SR-33805 oxalate) AND (Ceritinib) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""Bazedoxifene HCl""[Title/Abstract] AND ""SGI-1027""[Title/Abstract])",0.0,,
clinicaltrials,(Bazedoxifene HCl) AND (SGI-1027) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""Ceritinib""[Title/Abstract] AND ""Curcumin""[Title/Abstract])",0.0,,
clinicaltrials,(Ceritinib) AND (Curcumin) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""JHW-007""[Title/Abstract] AND ""Ceritinib""[Title/Abstract])",0.0,,
clinicaltrials,(JHW-007) AND (Ceritinib) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""norfluoxetine""[Title/Abstract] AND ""SGI-1027""[Title/Abstract])",0.0,,
clinicaltrials,(norfluoxetine) AND (SGI-1027) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""AY-9944""[Title/Abstract] AND ""SGI-1027""[Title/Abstract])",0.0,,
clinicaltrials,(AY-9944) AND (SGI-1027) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""Ceritinib""[Title/Abstract] AND ""Auranofin""[Title/Abstract])",0.0,,
clinicaltrials,(Ceritinib) AND (Auranofin) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""Auranofin""[Title/Abstract] AND ""NPS-2143 (SB262470)""[Title/Abstract])",0.0,,
clinicaltrials,(Auranofin) AND (NPS-2143 (SB262470)) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""Auranofin""[Title/Abstract] AND ""thaliblastine""[Title/Abstract])",0.0,,
clinicaltrials,(Auranofin) AND (thaliblastine) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""PENFLURIDOL""[Title/Abstract] AND ""Ceritinib""[Title/Abstract])",1.0,,
clinicaltrials,(PENFLURIDOL) AND (Ceritinib) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""Flupentixol""[Title/Abstract] AND ""Auranofin""[Title/Abstract])",0.0,,
clinicaltrials,(Flupentixol) AND (Auranofin) AND (COVID-19 OR SARS-CoV-2),,0.0,False
pubmed,"(""droloxifene""[Title/Abstract] AND ""Ceritinib""[Title/Abstract])",0.0,,
