rank,chembl_id,composite_final,direct_antiviral_score,focus_protein_score,focus_pathway_score,focus_moa_score,focus_protein_hits,focus_pathways,focus_moas,veroe6_relevant,mechanistic_rationale,compound_name,morphology_score,is_cp_hit,compound_identifier_used,antiviral_score_norm,cp_morphology_norm,integrated_score,integrated_rank
183.0,CHEMBL1491,0.3288290532709585,0.2168684790029854,0.0,1.4457898600199028,0.0,,Cargo recognition for clathrin-mediated endocytosis; Clathrin-mediated endocytosis,,True,Relevant pathways: Cargo recognition for clathrin-mediated endocytosis; Clathrin-mediated endocytosis,amlodipine,0.7,True,CHEMBL1491,0.07947032317059056,0.821917808219178,0.37644931719002556,31
230.0,CHEMBL180672,0.2629378306562053,0.2168684790029854,0.0,1.4457898600199028,0.0,,Cargo recognition for clathrin-mediated endocytosis; Clathrin-mediated endocytosis,,True,Relevant pathways: Cargo recognition for clathrin-mediated endocytosis; Clathrin-mediated endocytosis,NPS-2143,0.7,True,CHEMBL180672,0.07947032317059056,0.821917808219178,0.37644931719002556,32
893.0,CHEMBL1201284,0.046869121179153,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,cinacalcet,0.85,True,CHEMBL1201284,0.0,0.9246575342465754,0.36986301369863017,33
2119.0,CHEMBL3922179,0.0021418253750362,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,CYM-5442,0.85,True,CHEMBL3922179,0.0,0.9246575342465754,0.36986301369863017,34
45.0,CHEMBL72365,0.7047257703152155,0.5787584721314006,0.0,3.858389814209338,0.0,,Macroautophagy; PINK1-PRKN Mediated Mitophagy; Pexophagy,,False,Relevant pathways: Macroautophagy; PINK1-PRKN Mediated Mitophagy; Pexophagy,GW-5074,0.38,False,CHEMBL72365,0.21208302391131026,0.6027397260273972,0.3683457047577451,35
25.0,CHEMBL218394,0.9572639587719496,0.8881462329658749,1.3472281941114777,0.981138174697081,0.0,"CTSB,CTSK,CTSL,CTSS",Endosomal/Vacuolar pathway,,True,"Host protein hits: CTSB,CTSK,CTSL,CTSS | Relevant pathways: Endosomal/Vacuolar pathway",Boceprevir,0.13,False,CHEMBL218394,0.32545655542486224,0.4315068493150685,0.36787667298094473,36
4795.0,CHEMBL46286,0.0,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,homoharringtonine,0.84,True,CHEMBL46286,0.0,0.9178082191780821,0.36712328767123287,37
2614.0,CHEMBL682,0.0003991103208482,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,amodiaquine,0.84,True,CHEMBL682,0.0,0.9178082191780821,0.36712328767123287,38
3502.0,CHEMBL1520837,0.0,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,suloctidil,0.83,True,CHEMBL1520837,0.0,0.9109589041095891,0.3643835616438357,39
532.0,CHEMBL1093458,0.0826331305293677,0.0,0.0,0.0,0.0,,,,False,No direct host-centric antiviral hits detected in provided protein/pathway/MoA fields; ranked via background association scores.,Endoxifen HCl,0.82,True,CHEMBL1093458,0.0,0.9041095890410958,0.36164383561643837,40
