compound_identifier_used,chembl_id,direct_antiviral_score,morphology_score,antiviral_score_norm,cp_morphology_norm,integrated_score,integrated_rank,rank
CHEMBL433257,CHEMBL433257,0.0,0.55,0.0,0.7191780821917809,0.28767123287671237,132,4735.0
CHEMBL964,CHEMBL964,0.0,0.55,0.0,0.7191780821917809,0.28767123287671237,133,627.0
CHEMBL1411581,CHEMBL1411581,0.0,0.54,0.0,0.7123287671232877,0.2849315068493151,134,2324.0
CHEMBL395110,CHEMBL395110,0.0,0.54,0.0,0.7123287671232877,0.2849315068493151,135,848.0
CHEMBL41,CHEMBL41,0.0,0.54,0.0,0.7123287671232877,0.2849315068493151,136,577.0
CHEMBL1331148,CHEMBL1331148,0.0,0.53,0.0,0.7054794520547946,0.2821917808219178,137,1051.0
CHEMBL1415927,CHEMBL1415927,0.0,0.53,0.0,0.7054794520547946,0.2821917808219178,138,1172.0
CHEMBL146095,CHEMBL146095,0.0,0.53,0.0,0.7054794520547946,0.2821917808219178,139,479.0
CHEMBL2159498,CHEMBL2159498,0.0,0.53,0.0,0.7054794520547946,0.2821917808219178,140,2936.0
CHEMBL2386889,CHEMBL2386889,0.0,0.53,0.0,0.7054794520547946,0.2821917808219178,141,2695.0
CHEMBL263664,CHEMBL263664,0.0,0.53,0.0,0.7054794520547946,0.2821917808219178,142,1804.0
CHEMBL292376,CHEMBL292376,0.0,0.53,0.0,0.7054794520547946,0.2821917808219178,143,4152.0
CHEMBL296586,CHEMBL296586,0.0,0.53,0.0,0.7054794520547946,0.2821917808219178,144,451.0
CHEMBL643,CHEMBL643,0.0,0.53,0.0,0.7054794520547946,0.2821917808219178,145,403.0
CHEMBL1765602,CHEMBL1765602,0.4577042230404515,0.16,0.1677233256247812,0.452054794520548,0.28145591318308794,146,74.0
CHEMBL1192517,CHEMBL1192517,0.0,0.52,0.0,0.6986301369863014,0.27945205479452057,147,1160.0
CHEMBL1200848,CHEMBL1200848,0.0,0.52,0.0,0.6986301369863014,0.27945205479452057,148,783.0
CHEMBL134713,CHEMBL134713,0.0,0.52,0.0,0.6986301369863014,0.27945205479452057,149,2598.0
CHEMBL214957,CHEMBL214957,0.0,0.52,0.0,0.6986301369863014,0.27945205479452057,150,473.0
CHEMBL3775982,CHEMBL3775982,0.0,0.52,0.0,0.6986301369863014,0.27945205479452057,151,4392.0
CHEMBL1908396,CHEMBL1908396,0.2292958458477202,0.33,0.08402426694264498,0.5684931506849316,0.27781182043955965,152,78.0
CHEMBL1230714,CHEMBL1230714,0.0,0.51,0.0,0.6917808219178082,0.2767123287671233,153,828.0
CHEMBL1235116,CHEMBL1235116,0.0,0.51,0.0,0.6917808219178082,0.2767123287671233,154,3225.0
CHEMBL160,CHEMBL160,0.0,0.51,0.0,0.6917808219178082,0.2767123287671233,155,411.0
CHEMBL176045,CHEMBL176045,0.0,0.51,0.0,0.6917808219178082,0.2767123287671233,156,3685.0
CHEMBL201945,CHEMBL201945,0.0,0.51,0.0,0.6917808219178082,0.2767123287671233,157,3786.0
CHEMBL226630,CHEMBL226630,0.0,0.51,0.0,0.6917808219178082,0.2767123287671233,158,907.0
CHEMBL54661,CHEMBL54661,0.0,0.51,0.0,0.6917808219178082,0.2767123287671233,159,2569.0
CHEMBL460472,CHEMBL460472,0.2292958458477202,0.32,0.08402426694264498,0.5616438356164384,0.27507209441216235,160,86.0
CHEMBL1604618,CHEMBL1604618,0.0,0.5,0.0,0.684931506849315,0.273972602739726,161,3561.0
CHEMBL2105060,CHEMBL2105060,0.0,0.5,0.0,0.684931506849315,0.273972602739726,162,3849.0
CHEMBL4303178,CHEMBL4303178,0.0,0.5,0.0,0.684931506849315,0.273972602739726,163,2953.0
CHEMBL4303462,CHEMBL4303462,0.0,0.5,0.0,0.684931506849315,0.273972602739726,164,4634.0
CHEMBL990,CHEMBL990,0.0,0.5,0.0,0.684931506849315,0.273972602739726,165,5155.0
CHEMBL206834,CHEMBL206834,0.1696796375454481,0.36,0.062178218306311844,0.589041095890411,0.27292336933995154,166,265.0
CHEMBL1491962,CHEMBL1491962,0.0,0.49,0.0,0.678082191780822,0.2712328767123288,167,3477.0
CHEMBL1956071,CHEMBL1956071,0.0,0.49,0.0,0.678082191780822,0.2712328767123288,168,1219.0
CHEMBL2023158,CHEMBL2023158,0.0,0.49,0.0,0.678082191780822,0.2712328767123288,169,2545.0
CHEMBL25438,CHEMBL25438,0.0,0.49,0.0,0.678082191780822,0.2712328767123288,170,1496.0
CHEMBL261557,CHEMBL261557,0.0,0.49,0.0,0.678082191780822,0.2712328767123288,171,1098.0
CHEMBL261641,CHEMBL261641,0.0,0.49,0.0,0.678082191780822,0.2712328767123288,172,2601.0
CHEMBL506,CHEMBL506,0.0,0.49,0.0,0.678082191780822,0.2712328767123288,173,487.0
CHEMBL583194,CHEMBL583194,0.0,0.49,0.0,0.678082191780822,0.2712328767123288,174,1845.0
CHEMBL1101,CHEMBL1101,0.0,0.48,0.0,0.6712328767123288,0.2684931506849315,175,2204.0
CHEMBL1161,CHEMBL1161,0.0,0.48,0.0,0.6712328767123288,0.2684931506849315,176,540.0
CHEMBL1201203,CHEMBL1201203,0.0,0.48,0.0,0.6712328767123288,0.2684931506849315,177,580.0
CHEMBL1402866,CHEMBL1402866,0.0,0.48,0.0,0.6712328767123288,0.2684931506849315,178,3387.0
CHEMBL7568,CHEMBL7568,0.0,0.48,0.0,0.6712328767123288,0.2684931506849315,179,1213.0
CHEMBL22870,CHEMBL22870,0.2102994524510134,0.31,0.07706313764781932,0.5547945205479452,0.26815569080786966,180,224.0
CHEMBL2110900,CHEMBL2110900,0.0,0.47,0.0,0.6643835616438356,0.26575342465753427,181,1428.0
CHEMBL3813873,CHEMBL3813873,0.0,0.47,0.0,0.6643835616438356,0.26575342465753427,182,292.0
CHEMBL38380,CHEMBL38380,0.0,0.47,0.0,0.6643835616438356,0.26575342465753427,183,728.0
CHEMBL392525,CHEMBL392525,0.0,0.47,0.0,0.6643835616438356,0.26575342465753427,184,1055.0
CHEMBL845,CHEMBL845,0.0,0.47,0.0,0.6643835616438356,0.26575342465753427,185,1049.0
CHEMBL255863,CHEMBL255863,0.1696796375454481,0.33,0.062178218306311844,0.5684931506849316,0.26470419125775974,186,85.0
CHEMBL112280,CHEMBL112280,0.0,0.46,0.0,0.6575342465753424,0.26301369863013696,187,3031.0
CHEMBL1231358,CHEMBL1231358,0.0,0.46,0.0,0.6575342465753424,0.26301369863013696,188,3199.0
CHEMBL1829304,CHEMBL1829304,0.0,0.46,0.0,0.6575342465753424,0.26301369863013696,189,2151.0
CHEMBL4303275,CHEMBL4303275,0.0,0.46,0.0,0.6575342465753424,0.26301369863013696,190,1034.0
CHEMBL492572,CHEMBL492572,0.0,0.46,0.0,0.6575342465753424,0.26301369863013696,191,2957.0
CHEMBL541400,CHEMBL541400,0.0,0.46,0.0,0.6575342465753424,0.26301369863013696,192,2054.0
CHEMBL565269,CHEMBL565269,0.0,0.46,0.0,0.6575342465753424,0.26301369863013696,193,2877.0
CHEMBL569864,CHEMBL569864,0.0,0.46,0.0,0.6575342465753424,0.26301369863013696,194,1927.0
CHEMBL570,CHEMBL570,0.0,0.46,0.0,0.6575342465753424,0.26301369863013696,195,533.0
CHEMBL639,CHEMBL639,0.0,0.46,0.0,0.6575342465753424,0.26301369863013696,196,712.0
CHEMBL1017,CHEMBL1017,0.2938348598157436,0.22,0.10767425204296686,0.4931506849315068,0.26186482519838283,197,118.0
CHEMBL294951,CHEMBL294951,0.2168684790029854,0.28,0.07947032317059056,0.5342465753424658,0.26138082403934065,198,159.0
CHEMBL790,CHEMBL790,0.2168684790029854,0.28,0.07947032317059056,0.5342465753424658,0.26138082403934065,199,151.0
CHEMBL11594,CHEMBL11594,0.0,0.45,0.0,0.6506849315068493,0.2602739726027397,200,3043.0
CHEMBL134859,CHEMBL134859,0.0,0.45,0.0,0.6506849315068493,0.2602739726027397,201,3334.0
CHEMBL304087,CHEMBL304087,0.0,0.45,0.0,0.6506849315068493,0.2602739726027397,202,1358.0
CHEMBL52606,CHEMBL52606,0.0,0.45,0.0,0.6506849315068493,0.2602739726027397,203,4920.0
CHEMBL52606,CHEMBL52606,0.0,0.45,0.0,0.6506849315068493,0.2602739726027397,204,4920.0
CHEMBL5411797,CHEMBL5411797,0.0,0.45,0.0,0.6506849315068493,0.2602739726027397,205,4948.0
CHEMBL644,CHEMBL644,0.0,0.45,0.0,0.6506849315068493,0.2602739726027397,206,629.0
