compound_name,chembl_id,smiles,composite_score,A_assay_efficacy,B_consistency,C_PLD,D_safety_proxy,E_clinical,F_mechanism_proxy,G_druglikeness,H_novelty,cpe_inhib_mean,cpe_viability_mean,morph_score_primary_mean,infection_rate_primary_mean,infection_inhib_primary_mean,morph_score_val_mean,infection_rate_val_mean,infection_inhib_val_mean,cellcount_val_mean,dipl_24h_mean,max_phase,first_approval,pref_name,canonical_smiles,standard_inchi_key,full_mwt,alogp,rdkit_mw,rdkit_logp,rdkit_hba,rdkit_hbd,num_ro5_violations,moa_str,target_pref_name,PLD_high_risk,Cell_line_divergence,Clinical_ready,imputed_subscores
NU-6027,CHEMBL303958,Nc1nc(N)c(N=O)c(OCC2CCCCC2)n1,0.7223977061205852,0.5123501969942434,0.9331861080805415,0.9336453438898961,1.0,0.2,0.7,1.0,0.5,5.332,97.15437865999999,0.620863566241312,54.5,45.5,0.385,66.25,33.75,102.5,6.3183333333333325,,,,Nc1nc(N)c(N=O)c(OCC2CCCCC2)n1,DGWXOLHKVGDQLN-UHFFFAOYSA-N,251.29,2.0,251.28999999999994,1.998,7.0,2.0,0.0,nan: nan; target=nan,Cyclin-dependent kinase 2 | Cyclin-dependent kinase 2/cyclin A | CDK2/Cyclin A2 | Cyclin-dependent kinase 1/cyclin B | Cyclin-dependent kinase 1,False,False,False,0
ZLN005,CHEMBL4303368,CC(C)(C)c1ccc(-c2nc3ccccc3[nH]2)cc1,0.7215920618985716,0.4869572908676657,0.9410716679710605,0.9447075363498465,1.0,0.2,0.7,1.0,0.5,1.9100000000000001,91.948772206,0.556708607497982,64.0,36.0,0.495,68.75,31.25,109.0,-5.321666666666666,,,,CC(C)(C)c1ccc(-c2nc3ccccc3[nH]2)cc1,LQUNNCQSFFKSSK-UHFFFAOYSA-N,250.34,4.53,250.345,4.527400000000004,1.0,1.0,0.0,nan: nan; target=nan,Histone deacetylase 6,False,False,False,0
KW-2449,CHEMBL1908397,O=C(c1ccc(/C=C/c2n[nH]c3ccccc23)cc1)N1CCNCC1,0.7156047553742428,0.4732966382620568,0.7016875440637147,0.9498538606681712,1.0,0.4,0.7,1.0,0.5,0.09,100.567478032,0.96370398362524,94.5,5.5,0.395,60.75,39.25,51.0,4.858,1.0,,KW-2449,O=C(c1ccc(/C=C/c2n[nH]c3ccccc23)cc1)N1CCNCC1,YYLKKYCXAOBSRM-JXMROGBWSA-N,332.41,2.78,332.40700000000015,2.7787000000000006,3.0,2.0,0.0,INHIBITOR: Serine/threonine-protein kinase Aurora-A inhibitor; target=CHEMBL4722 | INHIBITOR: Serine/threonine-protein kinase Aurora-B inhibitor; target=CHEMBL2185 | INHIBITOR: Tyrosine-protein kinase ABL inhibitor; target=CHEMBL1862 | INHIBITOR: Tyrosine-protein kinase receptor FLT3 inhibitor; target=CHEMBL1974,Serine/threonine-protein kinase 17A | Obg-like ATPase 1 | Serine/threonine-protein kinase PAK 2 | Tyrosine-protein kinase ABL1 | Myosin light chain kinase,False,False,False,0
trequinsin,CHEMBL1411581,COc1cc2c(cc1OC)-c1c/c(=N/c3c(C)cc(C)cc3C)n(C)c(=O)n1CC2,0.7127035334627984,0.43206351305551277,0.9383797311535889,0.931185023493285,1.0,0.2,0.7,1.0,0.5,2.622,93.626265058,0.541005774311453,87.5,12.5,0.43500000000000005,67.0,33.0,106.0,6.54,,,,COc1cc2c(cc1OC)-c1c/c(=N/c3c(C)cc(C)cc3C)n(C)c(=O)n1CC2,MCMSJVMUSBZUCN-LVWGJNHUSA-N,405.5,3.58,405.4980000000002,3.584760000000002,6.0,0.0,0.0,nan: nan; target=nan,Cytochrome P450 2C9,False,False,False,0
7-methoxytacrine,CHEMBL1256415,COc1ccc2nc3c(c(N)c2c1)CCCC3,0.7123920536243215,0.5288809093717859,0.9608471064369484,0.8094084131858374,1.0,0.2,0.7,1.0,0.5,2.608,98.398184996,0.59662754911469,64.5,35.5,0.5225,58.5,41.5,109.5,17.511666666666667,,,,COc1ccc2nc3c(c(N)c2c1)CCCC3,APQPVVOYBLOJDY-UHFFFAOYSA-N,228.29,2.7,228.29499999999993,2.7044000000000006,3.0,1.0,0.0,nan: nan; target=nan,Acetylcholinesterase | Muscarinic acetylcholine receptor M1 | Cholinesterase,False,False,False,0
BCX-1470,CHEMBL2220483,N=C(N)c1cc2ccc(OC(=O)c3cccs3)cc2s1,0.7059647842078521,0.39697387464648504,0.9009127367276789,0.9498316622886529,1.0,0.2,0.7,1.0,0.5,1.89,95.895559728,0.57778135348999,76.0,24.0,0.23,68.0,32.0,87.0,4.86,,,,N=C(N)c1cc2ccc(OC(=O)c3cccs3)cc2s1,OTGQTQBPQCRNRG-UHFFFAOYSA-N,302.38,3.47,302.38,3.466070000000001,5.0,2.0,0.0,nan: nan; target=nan,Complement C1s subcomponent | Complement factor D | Histone deacetylase 6,False,False,False,0
PD-102807,CHEMBL59898,CCOC(=O)c1c(C)[nH]c2ccc3c(c12)CN1CCc2cc(OC)ccc2C1O3,0.7037736756715302,0.6344249063697575,0.9040629932124061,0.6917015057900773,1.0,0.2,0.7,1.0,0.5,7.228,93.79855754600001,0.729296695567027,28.5,71.5,0.435,53.75,46.25,104.0,28.116666666666664,,,,CCOC(=O)c1c(C)[nH]c2ccc3c(c12)CN1CCc2cc(OC)ccc2C1O3,VDDUJINYXKGZLV-UHFFFAOYSA-N,392.46,4.11,392.45500000000015,4.110920000000003,5.0,1.0,0.0,nan: nan; target=nan,Muscarinic acetylcholine receptor M4 | Muscarinic acetylcholine receptor M3 | 5-hydroxytryptamine receptor 2B | Muscarinic acetylcholine receptor M2 | Alpha-2C adrenergic receptor,False,False,False,0
BS-181,CHEMBL1801932,CC(C)c1cnn2c(NCc3ccccc3)cc(NCCCCCCN)nc12,0.7029255292707366,0.6059210267691439,0.8599080103861303,0.7575751970106182,1.0,0.2,0.7,1.0,0.5,-2.402,95.144078162,0.714201385082756,41.0,59.0,0.545,42.5,57.5,91.25,22.18166666666667,,,,CC(C)c1cnn2c(NCc3ccccc3)cc(NCCCCCCN)nc12,DNYBIOICMDTDAP-UHFFFAOYSA-N,380.54,4.4,380.5400000000003,4.395800000000003,6.0,3.0,0.0,nan: nan; target=nan,Cyclin-dependent kinase 7/ cyclin H | Cyclin-dependent kinase 7 | CDK7/Cyclin H/MNAT1 | Cyclin-dependent kinase 2 | CDK9/cyclin T1,False,False,False,0
SAR405,CHEMBL3622372,C[C@@H]1COCCN1c1cc(=O)n2c(n1)N(Cc1cncc(Cl)c1)[C@H](C(F)(F)F)CC2,0.7018855583563858,0.47333216642737314,0.9100900117707844,0.8316622886529283,1.0,0.2,0.7,1.0,0.5,10.122,95.43710585400001,0.550459870514301,70.0,30.0,0.295,67.75,32.25,106.25,15.506666666666666,,,,C[C@@H]1COCCN1c1cc(=O)n2c(n1)N(Cc1cncc(Cl)c1)[C@H](C(F)(F)F)CC2,SPDQRCUBFSRAFI-DOMZBBRYSA-N,443.86,2.86,443.8570000000001,2.8580000000000014,7.0,0.0,0.0,nan: nan; target=nan,Phosphatidylinositol 3-kinase catalytic subunit type 3,False,False,False,0
BCTC,CHEMBL441472,CC(C)(C)c1ccc(NC(=O)N2CCN(c3ncccc3Cl)CC2)cc1,0.6997951631580753,0.35372646386900525,0.8973744914011466,0.9472603499944504,1.0,0.2,0.7,1.0,0.5,0.21200000000000002,96.118107986,0.327552693868089,58.5,41.5,0.295,86.5,13.5,106.5,-5.091666666666667,,,,CC(C)(C)c1ccc(NC(=O)N2CCN(c3ncccc3Cl)CC2)cc1,ROGUAPYLUCHQGK-UHFFFAOYSA-N,372.9,4.39,372.9000000000001,4.386600000000003,3.0,1.0,0.0,nan: nan; target=nan,Transient receptor potential cation channel subfamily V member 1 | Transient receptor potential cation channel subfamily M member 8 | Voltage-gated inwardly rectifying potassium channel KCNH2 | Transient receptor potential cation channel subfamily A member 1,False,False,False,0
