active_id,canonical_smiles,inchikey,representative_chembl_id,names,chembl_ids,n_chembl_ids,max_phase,statuses,n_protein_links,n_pathway_links,n_moa_links,n_total_links,unique_proteins,unique_pathways,unique_moas,names_upper
ALKJNCZNEOTEMP-UHFFFAOYSA-N,CC(C)c1cc(CNc2nc(Nc3cc(C4CC4)[nH]n3)cc(N3CCN(C)CC3)n2)on1,ALKJNCZNEOTEMP-UHFFFAOYSA-N,CHEMBL3545085,XL-228,CHEMBL3545085,1,1.0,Terminated,1,26,0,27,1,13,0,XL-228
ARFHIAQFJWUCFH-IZZDOVSWSA-N,CC1CS(=O)(=O)CCN1/N=C/c1ccc([N+](=O)[O-])o1,ARFHIAQFJWUCFH-IZZDOVSWSA-N,CHEMBL290960,NIFURTIMOX,CHEMBL290960,1,,,0,0,1,1,0,0,1,NIFURTIMOX
AXNUWYROYVRYIM-OQIJCFCCSA-N,CCN(C(=O)c1cc(F)ccc1Oc1cncnc1N1CC2(CCN(C[C@H]3CC[C@H](NS(=O)(=O)CC)CC3)CC2)C1)C(C)C.CCN(C(=O)c1cc(F)ccc1Oc1cncnc1N1CC2(CCN(C[C@H]3CC[C@H](NS(=O)(=O)CC)CC3)CC2)C1)C(C)C.O=C(O)/C=C/C(=O)O.O=C(O)/C=C/C(=O)O.O=C(O)/C=C/C(=O)O,AXNUWYROYVRYIM-OQIJCFCCSA-N,CHEMBL4650278,REVUMENIB SESQUIFUMARATE,CHEMBL4650278,1,1.0,Recruiting,1,5,0,6,1,5,0,REVUMENIB SESQUIFUMARATE
AXRCEOKUDYDWLF-UHFFFAOYSA-N,Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21,AXRCEOKUDYDWLF-UHFFFAOYSA-N,CHEMBL300138,ENZASTAURIN,CHEMBL300138,1,3.0,Completed,1,10,0,11,1,10,0,ENZASTAURIN
AZSRSNUQCUDCGG-UHFFFAOYSA-N,C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,AZSRSNUQCUDCGG-UHFFFAOYSA-N,CHEMBL4650319,MOBOCERTINIB,CHEMBL4650319,1,,,0,0,1,1,0,0,1,MOBOCERTINIB
BAHHBHSHSRTKNK-BJILWQEISA-N,C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cccc(c2)COC/1.O=C(O)CC(O)(CC(=O)O)C(=O)O,BAHHBHSHSRTKNK-BJILWQEISA-N,CHEMBL5095049,PACRITINIB CITRATE,CHEMBL5095049,1,4.0,,2,130,1,133,2,64,1,PACRITINIB CITRATE
BALLNEJQLSTPIO-UHFFFAOYSA-N,CNC(=O)c1c(C)oc2cc(Oc3ncnc4cc(OC)c(OC)cc34)ccc12,BALLNEJQLSTPIO-UHFFFAOYSA-N,CHEMBL4303214,FRUQUINTINIB,CHEMBL4303214,1,4.0,,2,20,1,23,2,8,1,FRUQUINTINIB
BCGJBQBWUGVESK-KCTCKCTRSA-N,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5.Cl,BCGJBQBWUGVESK-KCTCKCTRSA-N,CHEMBL1200794,OXYMORPHONE HYDROCHLORIDE,CHEMBL1200794,1,,,0,0,1,1,0,0,1,OXYMORPHONE HYDROCHLORIDE
BDGGFTDRPHKXFC-QYQHSDTDSA-N,CC1=NN(c2ccc3c(c2)CCCC3)C(=O)/C1=N\Nc1cccc(-c2ccc(C(=O)O)o2)c1O,BDGGFTDRPHKXFC-QYQHSDTDSA-N,CHEMBL4594401,RAFUTROMBOPAG,CHEMBL4594401,1,3.0,Not yet recruiting,1,1,0,2,1,1,0,RAFUTROMBOPAG
BDSYKGHYMJNPAB-LICBFIPMSA-N,CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,BDSYKGHYMJNPAB-LICBFIPMSA-N,CHEMBL1200908,HALOBETASOL PROPIONATE,CHEMBL1200908,1,,,0,0,1,1,0,0,1,HALOBETASOL PROPIONATE
BFENHEAPFWQJFL-BTJKTKAUSA-N,O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1.O=C(O)/C=C\C(=O)O,BFENHEAPFWQJFL-BTJKTKAUSA-N,CHEMBL4298167,FILGOTINIB MALEATE,CHEMBL4298167,1,4.0,,1,76,0,77,1,38,0,FILGOTINIB MALEATE
BFSMGDJOXZAERB-UHFFFAOYSA-N,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,BFSMGDJOXZAERB-UHFFFAOYSA-N,CHEMBL2028663,DABRAFENIB,CHEMBL2028663,1,4.0,,1,32,0,33,1,16,0,DABRAFENIB
BGBNULCRKBVAKL-UHFFFAOYSA-N,COCC1(CO)C(=O)C2CCN1CC2,BGBNULCRKBVAKL-UHFFFAOYSA-N,CHEMBL3186011,EPRENETAPOPT,CHEMBL3186011,1,3.0,Completed,1,90,0,91,1,47,0,EPRENETAPOPT
BHMLHEQFWVQAJS-IITOGVPQSA-N,CC(=O)[C@]1(N)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](O)[C@H](O)CO2)C1)C(=O)c1ccccc1C3=O.Cl,BHMLHEQFWVQAJS-IITOGVPQSA-N,CHEMBL481958,AMRUBICIN HYDROCHLORIDE,CHEMBL481958,1,3.0,Terminated,1,4,1,6,1,2,1,AMRUBICIN HYDROCHLORIDE
BJCJYEYYYGBROF-UHFFFAOYSA-N,Cc1ncc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cccnc2)n1,BJCJYEYYYGBROF-UHFFFAOYSA-N,CHEMBL3545413,FLUMATINIB,CHEMBL3545413,1,3.0,Recruiting,1,26,1,28,1,13,1,FLUMATINIB
BLQYVHBZHAISJM-CMDGGOBGSA-N,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(/C=C/c3ccccc3)n2)n[nH]1,BLQYVHBZHAISJM-CMDGGOBGSA-N,CHEMBL482968,ENMD-2076,CHEMBL482968,1,2.0,Completed,3,108,0,111,3,51,0,ENMD-2076
BMCQMVFGOVHVNG-TUFAYURCSA-N,CCCC(=O)O[C@]1(C(=O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,BMCQMVFGOVHVNG-TUFAYURCSA-N,CHEMBL1683,HYDROCORTISONE BUTYRATE,CHEMBL1683,1,,,0,0,1,1,0,0,1,HYDROCORTISONE BUTYRATE
BMQGVNUXMIRLCK-OAGWZNDDSA-N,CO[C@H]1C(=O)[C@]2(C)[C@@H](OC)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C1C2(C)C,BMQGVNUXMIRLCK-OAGWZNDDSA-N,CHEMBL1201748,CABAZITAXEL,CHEMBL1201748,1,,,0,0,1,1,0,0,1,CABAZITAXEL
BOBLHFUVNSFZPJ-JOYXJVLSSA-N,CC(=O)OCC(=O)[C@@]1(OC(C)=O)[C@@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,BOBLHFUVNSFZPJ-JOYXJVLSSA-N,CHEMBL1200545,DIFLORASONE DIACETATE,CHEMBL1200545,1,,,0,0,1,1,0,0,1,DIFLORASONE DIACETATE
BOFQWVMAQOTZIW-UHFFFAOYSA-N,O=C(O)c1ccc(-n2nc(-c3ccccc3O)nc2-c2ccccc2O)cc1,BOFQWVMAQOTZIW-UHFFFAOYSA-N,CHEMBL550348,DEFERASIROX,CHEMBL550348,1,,,0,0,1,1,0,0,1,DEFERASIROX
BOLDZXRCJAJADM-AAXBYHQXSA-N,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341.COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341.O.O.O.O=S(=O)(O)O,BOLDZXRCJAJADM-AAXBYHQXSA-N,CHEMBL4297091,CODEINE SULFATE,CHEMBL4297091,1,,,0,0,1,1,0,0,1,CODEINE SULFATE
BOOMBLZEOHXPPX-BQYQJAHWSA-N,Cc1cn(C(=O)c2c(-c3c(Cl)cc(Cl)cc3Cl)noc2C(C)(C)F)c2cccc(/C=C/C(=O)O)c12,BOOMBLZEOHXPPX-BQYQJAHWSA-N,CHEMBL4651002,SAFUSIDENIB,CHEMBL4651002,1,2.0,Recruiting,1,10,0,11,1,5,0,SAFUSIDENIB
BPEGJWRSRHCHSN-UHFFFAOYSA-N,Cn1nnc2c(C(N)=O)ncn2c1=O,BPEGJWRSRHCHSN-UHFFFAOYSA-N,CHEMBL810,TEMOZOLOMIDE,CHEMBL810,1,,,0,0,1,1,0,0,1,TEMOZOLOMIDE
BPQMGSKTAYIVFO-UHFFFAOYSA-N,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,BPQMGSKTAYIVFO-UHFFFAOYSA-N,CHEMBL473417,VISMODEGIB,CHEMBL473417,1,4.0,,1,10,0,11,1,6,0,VISMODEGIB
BRCHZKBUGSKTND-FQEVSTJZSA-N,CS(=O)(=O)N1CCC(c2ccc(-c3ncc4nccnc4c3NC[C@@H]3CNCCO3)cc2)CC1,BRCHZKBUGSKTND-FQEVSTJZSA-N,CHEMBL5095034,SOVLEPLENIB,CHEMBL5095034,1,,,0,0,1,1,0,0,1,SOVLEPLENIB
BRKWREZNORONDU-UHFFFAOYSA-N,COc1ccc2c(Oc3ccc4c(C(=O)Nc5ccccc5N)cccc4c3)ccnc2c1,BRKWREZNORONDU-UHFFFAOYSA-N,CHEMBL5095033,IBCASERTIB,CHEMBL5095033,1,3.0,Recruiting,2,20,1,23,2,8,1,IBCASERTIB
BSPLGGCPNTZPIH-IPZCTEOASA-N,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCC1.O,BSPLGGCPNTZPIH-IPZCTEOASA-N,CHEMBL2105719,DACOMITINIB,CHEMBL2105719,1,,,0,0,1,1,0,0,1,DACOMITINIB
BTGNGJJLZOIYID-UHFFFAOYSA-N,CC(C)(C)C(=O)Oc1ccc(S(=O)(=O)Nc2ccccc2C(=O)NCC(=O)O)cc1,BTGNGJJLZOIYID-UHFFFAOYSA-N,CHEMBL76688,SIVELESTAT,CHEMBL76688,1,3.0,Not yet recruiting,1,8,0,9,1,8,0,SIVELESTAT
BWTNNZPNKQIADY-UHFFFAOYSA-N,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12.Cl,BWTNNZPNKQIADY-UHFFFAOYSA-N,CHEMBL2105708,PONATINIB HYDROCHLORIDE,CHEMBL2105708,1,4.0,,2,35,1,38,2,22,1,PONATINIB HYDROCHLORIDE
BXPOSPOKHGNMEP-UHFFFAOYSA-N,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl.O,BXPOSPOKHGNMEP-UHFFFAOYSA-N,CHEMBL2095206,BOSUTINIB MONOHYDRATE,CHEMBL2095206,1,4.0,,2,35,1,38,2,22,1,BOSUTINIB MONOHYDRATE
CBGUOGMQLZIXBE-XGQKBEPLSA-N,CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,CBGUOGMQLZIXBE-XGQKBEPLSA-N,CHEMBL1159650,CLOBETASOL PROPIONATE,CHEMBL1159650,1,,,0,0,1,1,0,0,1,CLOBETASOL PROPIONATE
CEFJVGZHQAGLHS-UHFFFAOYSA-N,CCn1c(=O)c(-c2cc(NC(=O)Nc3ccccc3)c(F)cc2Br)cc2cnc(NC)cc21,CEFJVGZHQAGLHS-UHFFFAOYSA-N,CHEMBL4216467,RIPRETINIB,CHEMBL4216467,1,4.0,,2,66,1,69,2,30,1,RIPRETINIB
CHEMBL11359,,,CHEMBL11359,CISPLATIN,CHEMBL11359,1,,,0,0,1,1,0,0,1,CISPLATIN
CHEMBL1200983,,,CHEMBL1200983,GALLIUM NITRATE,CHEMBL1200983,1,,,0,0,1,1,0,0,1,GALLIUM NITRATE
CHEMBL1201463,,,CHEMBL1201463,CODEINE POLISTIREX,CHEMBL1201463,1,,,0,0,1,1,0,0,1,CODEINE POLISTIREX
CHEMBL1201470,,,CHEMBL1201470,HYDROCODONE POLISTIREX,CHEMBL1201470,1,,,0,0,1,1,0,0,1,HYDROCODONE POLISTIREX
CHEMBL1201481,,,CHEMBL1201481,PORFIMER SODIUM,CHEMBL1201481,1,,,0,0,1,1,0,0,1,PORFIMER SODIUM
CHEMBL1201550,,,CHEMBL1201550,DENILEUKIN DIFTITOX,CHEMBL1201550,1,,,0,0,1,1,0,0,1,DENILEUKIN DIFTITOX
CHEMBL1201556,,,CHEMBL1201556,BECAPLERMIN,CHEMBL1201556,1,4.0,,2,38,0,40,2,14,0,BECAPLERMIN
CHEMBL1201566,,,CHEMBL1201566,DARBEPOETIN ALFA,CHEMBL1201566,1,,,0,0,1,1,0,0,1,DARBEPOETIN ALFA
CHEMBL1201568,,,CHEMBL1201568,PEGFILGRASTIM,CHEMBL1201568,1,4.0,,1,8,1,10,1,4,1,PEGFILGRASTIM
CHEMBL1201577,,,CHEMBL1201577,CETUXIMAB,CHEMBL1201577,1,,,0,0,1,1,0,0,1,CETUXIMAB
CHEMBL1201827,,,CHEMBL1201827,PANITUMUMAB,CHEMBL1201827,1,,,0,0,1,1,0,0,1,PANITUMUMAB
CHEMBL1201832,,,CHEMBL1201832,ROMIPLOSTIM,CHEMBL1201832,1,4.0,Completed,1,1,0,2,1,1,0,ROMIPLOSTIM
CHEMBL1351,,,CHEMBL1351,CARBOPLATIN,CHEMBL1351,1,,,0,0,1,1,0,0,1,CARBOPLATIN
CHEMBL1742994,,,CHEMBL1742994,BRENTUXIMAB VEDOTIN,CHEMBL1742994,1,,,0,0,1,1,0,0,1,BRENTUXIMAB VEDOTIN
CHEMBL1743039,,,CHEMBL1743039,MAVRILIMUMAB,CHEMBL1743039,1,2.0,Terminated,1,12,0,13,1,6,0,MAVRILIMUMAB
CHEMBL1743043,,,CHEMBL1743043,MOXETUMOMAB PASUDOTOX,CHEMBL1743043,1,,,0,0,1,1,0,0,1,MOXETUMOMAB PASUDOTOX
CHEMBL1743047,,,CHEMBL1743047,NECITUMUMAB,CHEMBL1743047,1,,,0,0,1,1,0,0,1,NECITUMUMAB
CHEMBL1743049,,,CHEMBL1743049,OLARATUMAB,CHEMBL1743049,1,4.0,,1,26,0,27,1,14,0,OLARATUMAB
CHEMBL1743052,,,CHEMBL1743052,OPORTUZUMAB MONATOX,CHEMBL1743052,1,,,0,0,1,1,0,0,1,OPORTUZUMAB MONATOX
CHEMBL1743062,,,CHEMBL1743062,RAMUCIRUMAB,CHEMBL1743062,1,4.0,,1,14,1,16,1,7,1,RAMUCIRUMAB
CHEMBL1743082,,,CHEMBL1743082,TRASTUZUMAB EMTANSINE,CHEMBL1743082,1,,,0,0,1,1,0,0,1,TRASTUZUMAB EMTANSINE
CHEMBL1963684,,,CHEMBL1963684,PEGINESATIDE ACETATE,CHEMBL1963684,1,,,0,0,1,1,0,0,1,PEGINESATIDE ACETATE
CHEMBL2107856,,,CHEMBL2107856,IMETELSTAT,CHEMBL2107856,1,3.0,Recruiting,1,3,0,4,1,3,0,IMETELSTAT
CHEMBL2107866,,,CHEMBL2107866,PEGINESATIDE,CHEMBL2107866,1,,,0,0,1,1,0,0,1,PEGINESATIDE
CHEMBL2107872,,,CHEMBL2107872,DELCASERTIB,CHEMBL2107872,1,2.0,Completed,1,28,0,29,1,14,0,DELCASERTIB
CHEMBL2107881,,,CHEMBL2107881,REGRAMOSTIM,CHEMBL2107881,1,3.0,Completed,1,8,1,10,1,4,1,REGRAMOSTIM
CHEMBL2108280,,,CHEMBL2108280,CENERSEN,CHEMBL2108280,1,2.0,Completed,1,90,0,91,1,47,0,CENERSEN
CHEMBL2108287,,,CHEMBL2108287,APRINOCARSEN,CHEMBL2108287,1,3.0,Completed,1,40,0,41,1,20,0,APRINOCARSEN
CHEMBL2108290,,,CHEMBL2108290,EPOETIN THETA,CHEMBL2108290,1,,,0,0,1,1,0,0,1,EPOETIN THETA
CHEMBL2108324,,,CHEMBL2108324,OBLIMERSEN,CHEMBL2108324,1,2.0,,1,16,0,17,1,8,0,OBLIMERSEN
CHEMBL2108356,,,CHEMBL2108356,PEGDINETANIB,CHEMBL2108356,1,2.0,Completed,1,14,0,15,1,7,0,PEGDINETANIB
CHEMBL2108359,,,CHEMBL2108359,NIMOTUZUMAB,CHEMBL2108359,1,,,0,0,1,1,0,0,1,NIMOTUZUMAB
CHEMBL2108557,,,CHEMBL2108557,TELBERMIN,CHEMBL2108557,1,2.0,Completed,1,14,0,15,1,7,0,TELBERMIN
CHEMBL2108572,,,CHEMBL2108572,BALUGRASTIM,CHEMBL2108572,1,2.0,,1,8,0,9,1,4,0,BALUGRASTIM
CHEMBL2108583,,,CHEMBL2108583,CINTREDEKIN BESUDOTOX,CHEMBL2108583,1,,,0,0,1,1,0,0,1,CINTREDEKIN BESUDOTOX
CHEMBL2108585,,,CHEMBL2108585,CONTUSUGENE LADENOVEC,CHEMBL2108585,1,2.0,Unknown status,1,90,0,91,1,47,0,CONTUSUGENE LADENOVEC
CHEMBL2108593,,,CHEMBL2108593,EPOETIN ZETA,CHEMBL2108593,1,,,0,0,1,1,0,0,1,EPOETIN ZETA
CHEMBL2108611,,,CHEMBL2108611,INOTUZUMAB OZOGAMICIN,CHEMBL2108611,1,,,0,0,1,1,0,0,1,INOTUZUMAB OZOGAMICIN
CHEMBL2108702,,,CHEMBL2108702,IMETELSTAT SODIUM,CHEMBL2108702,1,2.0,Completed,1,3,0,4,1,3,0,IMETELSTAT SODIUM
CHEMBL2109092,,,CHEMBL2109092,EPOETIN BETA,CHEMBL2109092,1,,,0,0,1,1,0,0,1,EPOETIN BETA
CHEMBL2109093,,,CHEMBL2109093,EPOETIN DELTA,CHEMBL2109093,1,,,0,0,1,1,0,0,1,EPOETIN DELTA
CHEMBL2109150,,,CHEMBL2109150,LINTUZUMAB,CHEMBL2109150,1,3.0,Unknown status,1,4,0,5,1,2,0,LINTUZUMAB
CHEMBL2109253,,,CHEMBL2109253,HOKT3,CHEMBL2109253,1,,,0,0,1,1,0,0,1,HOKT3
CHEMBL2109266,,,CHEMBL2109266,AVE-9633,CHEMBL2109266,1,1.0,Terminated,1,4,0,5,1,2,0,AVE-9633
CHEMBL2109267,,,CHEMBL2109267,M195,CHEMBL2109267,1,1.0,Completed,1,4,0,5,1,2,0,M195
CHEMBL2109328,,,CHEMBL2109328,IMC-EB10,CHEMBL2109328,1,1.0,Terminated,1,54,0,55,1,27,0,IMC-EB10
CHEMBL2109602,,,CHEMBL2109602,IMC-3C5,CHEMBL2109602,1,1.0,Completed,1,6,0,7,1,3,0,IMC-3C5
CHEMBL2219776,,,CHEMBL2219776,CENERSEN SODIUM,CHEMBL2219776,1,2.0,Terminated,1,90,0,91,1,47,0,CENERSEN SODIUM
CHEMBL2364651,,,CHEMBL2364651,TOVETUMAB,CHEMBL2364651,1,2.0,Completed,1,26,0,27,1,14,0,TOVETUMAB
CHEMBL3301582,,,CHEMBL3301582,POLATUZUMAB VEDOTIN,CHEMBL3301582,1,,,0,0,1,1,0,0,1,POLATUZUMAB VEDOTIN
CHEMBL3301589,,,CHEMBL3301589,ENFORTUMAB VEDOTIN,CHEMBL3301589,1,,,0,0,1,1,0,0,1,ENFORTUMAB VEDOTIN
CHEMBL3544910,,,CHEMBL3544910,MOTEXAFIN GADOLINIUM,CHEMBL3544910,1,,,0,0,1,1,0,0,1,MOTEXAFIN GADOLINIUM
CHEMBL3545050,,,CHEMBL3545050,BMS-817378,CHEMBL3545050,1,1.0,Withdrawn,1,14,0,15,1,7,0,BMS-817378
CHEMBL3545132,,,CHEMBL3545132,MIRVETUXIMAB SORAVTANSINE,CHEMBL3545132,1,,,0,0,1,1,0,0,1,MIRVETUXIMAB SORAVTANSINE
CHEMBL3545236,,,CHEMBL3545236,BPI-9016,CHEMBL3545236,1,1.0,Completed,1,2,0,3,1,1,0,BPI-9016
CHEMBL3545316,,,CHEMBL3545316,RINUCUMAB,CHEMBL3545316,1,2.0,Terminated,1,12,0,13,1,7,0,RINUCUMAB
CHEMBL3545370,,,CHEMBL3545370,EMACTUZUMAB,CHEMBL3545370,1,,,0,0,1,1,0,0,1,EMACTUZUMAB
CHEMBL3545401,,,CHEMBL3545401,X-82,CHEMBL3545401,1,2.0,Terminated,4,58,0,62,4,22,0,X-82
CHEMBL3545402,,,CHEMBL3545402,XL-820,CHEMBL3545402,1,2.0,Completed,5,98,0,103,5,38,0,XL-820
CHEMBL3545427,,,CHEMBL3545427,CM-082,CHEMBL3545427,1,3.0,Unknown status,4,120,1,125,4,54,1,CM-082
CHEMBL3707277,,,CHEMBL3707277,DEPATUXIZUMAB MAFODOTIN,CHEMBL3707277,1,,,0,0,1,1,0,0,1,DEPATUXIZUMAB MAFODOTIN
CHEMBL3707314,,,CHEMBL3707314,METHOXY POLYETHYLENE GLYCOL-EPOETIN BETA,CHEMBL3707314,1,,,0,0,1,1,0,0,1,METHOXY POLYETHYLENE GLYCOL-EPOETIN BETA
CHEMBL3833344,,,CHEMBL3833344,GANCOTAMAB,CHEMBL3833344,1,2.0,Terminated,1,4,0,5,1,2,0,GANCOTAMAB
CHEMBL3833384,,,CHEMBL3833384,EFLAPEGRASTIM,CHEMBL3833384,1,4.0,,1,8,1,10,1,4,1,EFLAPEGRASTIM
CHEMBL3989988,,,CHEMBL3989988,MODOTUXIMAB,CHEMBL3989988,1,,,0,0,1,1,0,0,1,MODOTUXIMAB
CHEMBL3990032,,,CHEMBL3990032,TELISOTUZUMAB VEDOTIN,CHEMBL3990032,1,,,0,0,1,1,0,0,1,TELISOTUZUMAB VEDOTIN
CHEMBL414804,,,CHEMBL414804,OXALIPLATIN,CHEMBL414804,1,,,0,0,1,1,0,0,1,OXALIPLATIN
CHEMBL4297235,,,CHEMBL4297235,OMBIPEPIMUT-S,CHEMBL4297235,1,3.0,Completed,1,4,1,6,1,2,1,OMBIPEPIMUT-S
CHEMBL4297574,,,CHEMBL4297574,TEPRASIRAN,CHEMBL4297574,1,2.0,Completed,1,90,0,91,1,47,0,TEPRASIRAN
CHEMBL4297744,,,CHEMBL4297744,ELX-02,CHEMBL4297744,1,2.0,Completed;Recruiting;Terminated,18,475,0,493,18,203,0,ELX-02
CHEMBL4297764,,,CHEMBL4297764,HETROMBOPAG OLAMINE,CHEMBL4297764,1,3.0,Completed,1,1,0,2,1,1,0,HETROMBOPAG OLAMINE
CHEMBL4297774,,,CHEMBL4297774,AMIVANTAMAB,CHEMBL4297774,1,,,0,0,1,1,0,0,1,AMIVANTAMAB
CHEMBL4297775,,,CHEMBL4297775,KAI-1678,CHEMBL4297775,1,2.0,Completed,1,10,0,11,1,5,0,KAI-1678
