active_id,representative_chembl_id,names,canonical_smiles
CHEMBL4297879,CHEMBL4297879,.ALPHA.1-PROTEINASE INHIBITOR HUMAN,
CHEMBL4297950,CHEMBL4297950,EFBEMALENOGRASTIM ALFA,
CHEMBL4298098,CHEMBL4298098,TUSAMITAMAB RAVTANSINE,
CHEMBL4298119,CHEMBL4298119,OLINVACIMAB,
CHEMBL4298178,CHEMBL4298178,TRASTUZUMAB DUOCARMAZINE,
CHEMBL4298209,CHEMBL4298209,BELANTAMAB MAFODOTIN,
CHEMBL4594230,CHEMBL4594230,LIPEGFILGRASTIM,
CHEMBL4594406,CHEMBL4594406,LUTETIUM LU-177 VIPIVOTIDE TETRAXETAN,
CHEMBL4594471,CHEMBL4594471,EFEPOETIN ALFA,
CHEMBL4594608,CHEMBL4594608,AXATILIMAB,
CHEMBL4650288,CHEMBL4650288,FLYSYN,
CHEMBL4650295,CHEMBL4650295,AMG553,
CHEMBL4650296,CHEMBL4650296,BOS-589,
CHEMBL4650374,CHEMBL4650374,APG-2575,
CHEMBL4650387,CHEMBL4650387,CDX-301,
CHEMBL4650461,CHEMBL4650461,ANUMIGILIMAB,
CHEMBL5314346,CHEMBL5314346,VERTEPORFIN,
CHEMBL6067493,CHEMBL6067493,BLEOMYCIN SULFATE,
UJLAWZDWDVHWOW-YPMHNXCESA-N,CHEMBL221959,TOFACITINIB,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12
