dedup_key,parent_inchikey,parent_smiles,canonical_smiles,example_drug_name,chembl_id,n_records,n_proteins,n_pathways,n_moas,any_known_aml,max_phase
HZQDCMWJEBCWBR-UUOKFMHZSA-N,HZQDCMWJEBCWBR-UUOKFMHZSA-N,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1O,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1O,MIZORIBINE,CHEMBL245019,1,0,0,1,False,
IAIWVQXQOWNYOU-FPYGCLRLSA-N,IAIWVQXQOWNYOU-FPYGCLRLSA-N,NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1,NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1,NITROFURAZONE,CHEMBL869,1,0,0,1,False,
IAKHMKGGTNLKSZ-INIZCTEOSA-N,IAKHMKGGTNLKSZ-INIZCTEOSA-N,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,COLCHICINE,CHEMBL107,1,0,0,1,False,
IDPUKCWIGUEADI-UHFFFAOYSA-N,IDPUKCWIGUEADI-UHFFFAOYSA-N,Oc1ncc(N(CCCl)CCCl)c(O)n1,Oc1ncc(N(CCCl)CCCl)c(O)n1,URACIL MUSTARD,CHEMBL1488,1,0,0,1,False,
IEDVJHCEMCRBQM-UHFFFAOYSA-N,IEDVJHCEMCRBQM-UHFFFAOYSA-N,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,TRIMETHOPRIM,CHEMBL1201080;CHEMBL2110367;CHEMBL22;CHEMBL58061,4,0,0,4,False,
IENZQIKPVFGBNW-UHFFFAOYSA-N,IENZQIKPVFGBNW-UHFFFAOYSA-N,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC.Cl,PRAZOSIN HYDROCHLORIDE,CHEMBL1558,1,0,0,1,False,
IHOVFYSQUDPMCN-DBEBIPAYSA-N,IHOVFYSQUDPMCN-DBEBIPAYSA-N,O[C@@H](COc1cccc2ncccc12)CN1CCN([C@@H]2c3ccccc3[C@@H]3[C@H](c4ccccc42)C3(F)F)CC1,O[C@@H](COc1cccc2ncccc12)CN1CCN([C@@H]2c3ccccc3[C@@H]3[C@H](c4ccccc42)C3(F)F)CC1,ZOSUQUIDAR,CHEMBL444172,1,0,0,1,False,
IHUNBGSDBOWDMA-AQFIFDHZSA-N,IHUNBGSDBOWDMA-AQFIFDHZSA-N,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C,ACITRETIN,CHEMBL1131,27,3,24,0,False,4.0
ILKJAFIWWBXGDU-MOGDOJJUSA-N,ILKJAFIWWBXGDU-MOGDOJJUSA-N,CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,AMCINONIDE,CHEMBL1200732,1,0,0,1,False,
IMBXEJJVJRTNOW-XYMSELFBSA-M,IMBXEJJVJRTNOW-XYMSELFBSA-M,C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)COC(=O)CCC(=O)[O-])[C@@]2(C)C=CC(=O)C=C12,C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)COC(=O)CCC(=O)[O-])[C@@]2(C)C=CC(=O)C=C12.[Na+],METHYLPREDNISOLONE SODIUM SUCCINATE,CHEMBL1201081,1,0,0,1,True,
