smiles,logP
CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,2.7864000000000013
CC1(C)OC(c2ccc(S(N)(=O)=O)cc2)=C(c2cccc(F)c2)C1=O,2.7193000000000014
CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12.Cl,3.836900000000003
C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.6808000000000023
CCOc1ccc(-c2cc(C)cn2-c2ccc(S(N)(=O)=O)cc2)cc1,3.498820000000001
O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O,2.9096000000000006
COc1ccc(-c2c(Cl)ncn2-c2ccc(S(N)(=O)=O)cc2)cc1F,2.9878
COc1ccc2cc([C@H](C)C(=O)OCCS(C)(=O)=O)ccc2c1,2.5397000000000007
COc1ccc2c(c1)c(CC(=O)[O-])c(C)n2C(=O)c1ccc(Cl)cc1.O.O.O.[Na+],-2.877479999999999
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,5.905200000000005
CC(C)c1nc(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,6.000700000000006
