pair_key,name_1,name_2,target_1,moa_1,target_2,moa_2,mech_comp,external_novelty,priority_score
CHLORHEXIDINE DIHYDROCHLORIDE||JHW-007,CHLORHEXIDINE DIHYDROCHLORIDE,JHW-007,ADRA1A;GHSR;HTR2B;MC3R;MC4R;MLNR;SLC22A1;SLC22A2;SLC22A3;SLC47A1;SLC47A2;SLC6A2;SLC6A4,membrane integrity inhibitor,SLC6A3,dopamine reuptake inhibitor,1.0,1,0.43767653921977334
PROCHLORPERAZINE EDISYLATE||VE-822,PROCHLORPERAZINE EDISYLATE,VE-822,ADRA1A;ADRA1D;ADRA2A;ADRA2B;ADRA2C;CHRM1;CHRM3;CHRM4;CHRM5;CYP1A2;CYP2D6;DRD1;DRD2;DRD3;DRD4;HRH1;HTR2A;HTR2B;HTR2C;HTR6;KCNH2;OPRK1;SIGMAR1;SLC6A2;SLC6A4,dopamine receptor antagonist,ABL1;ATM;ATR;DYRK2;FLT3;FLT4;GSK3A;GSK3B;JAK2;KIT;MAP3K9;MERTK;MTOR;PIK3CG;SERPINA2;SYK,ATR kinase inhibitor,1.0,1,0.43749523399323736
Ceritinib||PD-102807,PD-102807,Ceritinib,ADRA2A;ADRA2C;CHRM2;CHRM3;CHRM4;HTR2B;SLC6A3,acetylcholine receptor antagonist,ABCB1;ALK;CAMK4;EGFR;FER;FGFR2;FGFR3;FGFR4;FLT3;IGF1R;INSR;JAK2;LCK;LYN;MET;PTK2;RET;ROS1;TNK1;TNK2;TSSK1B,ALK tyrosine kinase receptor inhibitor,1.0,1,0.43692564555672514
10-DEBC||NPS-2143 (SB262470),10-DEBC,NPS-2143 (SB262470),PIM1,AKT inhibitor,ADRB2;CASR;KCNH2;PTH;SLC6A2;SLC6A3;SLC6A4,calcium receptor antagonist,1.0,1,0.43666376163113435
EHop-016||NTNCB,NTNCB,EHop-016,ADRA2C;DRD2;NPY5R,neuropeptide receptor antagonist,RAC1;RAC3,Ras GTPase inhibitor,1.0,1,0.43623617867432446
SB-268262||desmethylclozapine,desmethylclozapine,SB-268262,CHRM1;CHRM2;CHRM3;CHRM4;CHRM5;DRD1;DRD2;DRD3;HTR2A;HTR2C,acetylcholine receptor agonist,CALCA;CALCRL,calcitonin antagonist,1.0,1,0.4357738176178992
AY-9944||GR-127935,GR-127935,AY-9944,HTR1A;HTR1B;HTR1D;HTR1E;HTR1F;HTR2A;HTR2B;HTR2C;HTR6;SLC6A4,serotonin receptor antagonist,,hedgehog pathway modulator,1.0,1,0.4352701344660468
Siramesine (hydrochloride)||Y-134,Y-134,Siramesine (hydrochloride),ESR1;ESR2,estrogen receptor antagonist,ADRA1A;ADRA1B;ADRA1D;PGRMC1;SIGMAR1;TMEM97,sigma receptor antagonist,1.0,1,0.4352419399263904
GANT-61||THIORIDAZINE HYDROCHLORIDE,THIORIDAZINE HYDROCHLORIDE,GANT-61,ADRA1A;ADRA1D;ADRA2A;ADRA2B;ADRA2C;CHRM1;CHRM2;CHRM3;CHRM4;CHRM5;CHRNA7;DRD1;DRD2;DRD3;DRD4;DRD5;HRH1;HRH2;HTR1A;HTR2A;HTR2B;HTR2C;HTR6;HTR7;KCNH2;MALT1;OPRK1;SIGMAR1;SLC6A4,dopamine receptor antagonist,DHH;GLI1;GLI2;IHH,GLI antagonist,1.0,1,0.43518201478033985
SAR405||SB-268262,SB-268262,SAR405,CALCA;CALCRL,calcitonin antagonist,PIK3C3,PI3K inhibitor,1.0,1,0.4350446726741443
Sunitinib||Toceranib (phosphate),Sunitinib,Toceranib (phosphate),AAK1;ABL1;ABL2;ADRA1A;ALK;ANKK1;AURKB;AURKC;AXL;BLK;BMP2K;BMPR2;CAMK1;CAMK1D;CAMK1G;CAMK2A;CAMK2D;CAMK2G;CAMK4;CAMKK1;CDK14;CDK16;CDK7;CHEK1;CHEK2;CHUK;CILK1;CLK1;CLK2;CLK4;CSF1R;CSNK1A1;CSNK1A1L;CSNK1D;CSNK1E;CSNK1G1;CSNK1G2;CSNK1G3;CSNK2A1;CSNK2A2;DAPK1;DAPK2;DAPK3;DCLK1;DCLK3;DLK1;DRD4;DYRK1A;DYRK2;EGFR;EIF2AK2;EIF2AK4;EPHA6;EPHA7;EPHB1;ERN1;FES;FGFR1;FGFR2;FGFR3;FGR;FLT1;FLT3;FLT4;FRK;FYN;GAK;GRK1;GRK4;GRK5;GRK7;HCK;HIPK1;HIPK2;HIPK3;HIPK4;HRH3;HTR2A;HTR2B;HUNK;IKBKE;INSR;INSRR;IRAK1;IRAK3;IRAK4;ITK;JAK1;JAK2;KCNH2;KDR;KIT;LATS1;LATS2;LCK;LRRK2;LYN;MAP2K1;MAP2K2;MAP2K4;MAP2K5;MAP3K12;MAP3K13;MAP3K19;MAP3K2;MAP3K3;MAP3K7;MAP4K1;MAP4K2;MAP4K3;MAP4K4;MAP4K5;MARK2;MARK3;MAST1;MELK;MERTK;MINK1;MUSK;MYLK;MYLK2;MYLK3;MYLK4;NEK2;NIM1K;NTRK1;NTRK2;NUAK1;NUAK2;OXSR1;PAK3;PAK4;PAK5;PAK6;PDGFRA;PDGFRB;PHKG1;PHKG2;PIP4K2B;PKN1;PLK4;PRKAA1;PRKAA2;PRKD1;PRKD2;PRKD3;PRP4K;PTK2;PTK2B;RET;RIOK1;RIOK2;RIPK1;ROCK1;ROCK2;RPS6KA1;RPS6KA2;RPS6KA3;RPS6KA4;RPS6KA5;RPS6KB1;SBK1;SGK3;SIK2;SLC6A4;SLK;SNRK;SRC;SRPK1;SRPK2;SRPK3;STK10;STK11;STK16;STK17A;STK17B;STK24;STK25;STK26;STK3;STK33;STK38;STK38L;STK39;STK4;TAOK1;TAOK3;TBK1;TLK1;TLK2;TNIK;TNK1;TTK;TYK2;TYRO3;ULK1;ULK2;ULK3;YES1,FLT3 inhibitor | KIT inhibitor | PDGFR tyrosine kinase receptor inhibitor | RET tyrosine kinase inhibitor | VEGFR inhibitor,FGF2;FLT1;FLT3;KDR;PDGFRA;PDGFRB,protein tyrosine kinase inhibitor,0.975,1,0.4349084746288013
CYM-5442||MK-2206 dihydrochloride,CYM-5442,MK-2206 dihydrochloride,S1PR1;S1PR5,sphingosine 1-phosphate receptor agonist,AKT1;AKT2;AKT3,AKT inhibitor,1.0,1,0.43483606463626984
GR-127935||calpeptin,calpeptin,GR-127935,CAPN1;CTSK;CTSL,calpain inhibitor,HTR1A;HTR1B;HTR1D;HTR1E;HTR1F;HTR2A;HTR2B;HTR2C;HTR6;SLC6A4,serotonin receptor antagonist,1.0,1,0.4346094741201833
SIMVASTATIN||gallium-triquinolin-8-olate,SIMVASTATIN,gallium-triquinolin-8-olate,CYP2C8;CYP3A4;CYP3A5;HMGCR;ITGB2;NR1H4;NR1I3,HMGCR inhibitor,,,1.0,1,0.4337212508421218
"MNS (3,4-Methylenedioxy-Â¦Ã‚-nitrostyrene)||THIORIDAZINE HYDROCHLORIDE",THIORIDAZINE HYDROCHLORIDE,"MNS (3,4-Methylenedioxy-Â¦Ã‚-nitrostyrene)",ADRA1A;ADRA1D;ADRA2A;ADRA2B;ADRA2C;CHRM1;CHRM2;CHRM3;CHRM4;CHRM5;CHRNA7;DRD1;DRD2;DRD3;DRD4;DRD5;HRH1;HRH2;HTR1A;HTR2A;HTR2B;HTR2C;HTR6;HTR7;KCNH2;MALT1;OPRK1;SIGMAR1;SLC6A4,dopamine receptor antagonist,,,1.0,1,0.433425665414728
Arglabin||BCX 1470 (methanesulfonate),Arglabin,BCX 1470 (methanesulfonate),FNTA;NFKB1,farnesyltransferase inhibitor,C1S;CFD,complement inhibitor | serine protease inhibitor,1.0,1,0.43339730065840193
P7C3||PROMETHAZINE HYDROCHLORIDE,PROMETHAZINE HYDROCHLORIDE,P7C3,ADRA1A;ADRA1D;ADRA2A;ADRA2B;ADRA2C;CHRM1;CHRM2;CHRM3;CHRM4;CHRM5;DRD2;DRD3;HRH1;HRH2;HTR1A;HTR2A;HTR2B;HTR2C;KCNH2;OPRK1;SIGMAR1;SLC6A2,histamine receptor antagonist,NAMPT,NAMPT inhibitor,1.0,1,0.43330765935220666
GNF-5837||costunolide,costunolide,GNF-5837,,telomerase inhibitor,KIT;NTRK1;NTRK2;NTRK3;PDGFRB,growth factor receptor inhibitor,1.0,1,0.43328060244885835
IKK-16||tecalcet,tecalcet,IKK-16,CASR,calcium-sensing receptor agonist,CHUK;IKBKB;PRKCZ,IKK inhibitor,1.0,1,0.4330511414067012
BINA||RALOXIFENE HYDROCHLORIDE,RALOXIFENE HYDROCHLORIDE,BINA,ACHE;ACVRL1;ADRA1D;ADRA2A;ADRA2C;AOX1;C5;DRD2;DRD3;EBP;ENG;ESR1;ESR2;HTR2A;HTR2B;HTR2C;HTR6;OPRK1;OPRM1;SIGMAR1;SLC6A2,estrogen receptor antagonist | selective estrogen receptor modulator (SERM),GRM2,glutamate receptor positive allosteric modulator,1.0,1,0.43235631887375414
QUINACRINE HYDROCHLORIDE||SIMVASTATIN,QUINACRINE HYDROCHLORIDE,SIMVASTATIN,ACHE;ADRA2A;ADRA2B;ADRA2C;AKT1;CHRM1;CHRM2;CHRM3;CHRM4;DRD3;HRH3;HTR2A;KCNH2;MTOR;NFKB1;PLA2G1B;PLA2G2A;PLA2G2D;PRNP;TP53,cytokine production inhibitor | NFkB pathway inhibitor | TP53 activator,CYP2C8;CYP3A4;CYP3A5;HMGCR;ITGB2;NR1H4;NR1I3,HMGCR inhibitor,1.0,1,0.4322617608623934
MK2-IN-1 (hydrochloride)||Siramesine (hydrochloride),MK2-IN-1 (hydrochloride),Siramesine (hydrochloride),MAPKAPK2,MAP kinase inhibitor,ADRA1A;ADRA1B;ADRA1D;PGRMC1;SIGMAR1;TMEM97,sigma receptor antagonist,1.0,1,0.4321734434794162
SNAP-5089||norfluoxetine,norfluoxetine,SNAP-5089,HTR2B,selective serotonin reuptake inhibitor (SSRI),ADRA1A;ADRA1B;ADRA1D;ADRA2A;ADRA2B;ADRA2C;CACNA1C;CACNA1D,adrenergic receptor antagonist,1.0,1,0.43167101038451094
7-methoxytacrine||N-benzylnaltrindole,N-benzylnaltrindole,7-methoxytacrine,,opioid receptor antagonist,ACHE,acetylcholinesterase inhibitor,1.0,1,0.43013846702977476
NTNCB||PENFLURIDOL,PENFLURIDOL,NTNCB,ADRA1D;ADRA2B;ADRA2C;ADRB3;CACNA1G;DRD1;DRD2;DRD3;DRD4;DRD5;HRH1;HRH2;HTR1A;HTR2A;HTR2B;HTR2C;HTR5A;HTR6;OPRK1;OPRM1,T-type calcium channel blocker,ADRA2C;DRD2;NPY5R,neuropeptide receptor antagonist,0.9047619047619048,1,0.4295536672886817
CEPHARANTHINE||Dronedarone HCl (Multaq),CEPHARANTHINE,Dronedarone HCl (Multaq),ACE2,NFkB pathway inhibitor,ADRA1A;ADRA1B;ADRA1D;ADRA2A;ADRA2B;ADRA2C;ADRB1;CACNA1C;CACNA1D;CACNA1F;CACNA1S;CACNB1;CACNB2;CACNB3;CACNB4;DRD3;KCNA5;KCNH2;KCNK2;PGR;SCN1A;SLC22A2;SLC22A8;SLCO1B3,adrenergic receptor antagonist,1.0,1,0.4284565188639316
Golvatinib (E7050)||SAR405,SAR405,Golvatinib (E7050),PIK3C3,PI3K inhibitor,ABL1;ABL2;BCR;DDR1;DDR2;EPHA2;EPHA5;EPHA7;EPHB2;EPHB4;ERN2;FLT3;KDR;LCK;MAP3K20;MET;MST1R;NTRK1;PDGFRB;PTK2B;PTK6;RET;RIPK2;RIPK3;STK24;TESK1,VEGFR inhibitor,1.0,1,0.42810707836560774
PROCHLORPERAZINE EDISYLATE||UNC1999,PROCHLORPERAZINE EDISYLATE,UNC1999,ADRA1A;ADRA1D;ADRA2A;ADRA2B;ADRA2C;CHRM1;CHRM3;CHRM4;CHRM5;CYP1A2;CYP2D6;DRD1;DRD2;DRD3;DRD4;HRH1;HTR2A;HTR2B;HTR2C;HTR6;KCNH2;OPRK1;SIGMAR1;SLC6A2;SLC6A4,dopamine receptor antagonist,EZH1;EZH2;HRH3;TMEM97,histone lysine methyltransferase inhibitor,1.0,1,0.4269975048954961
JHW-007||Y-320,JHW-007,Y-320,SLC6A3,dopamine reuptake inhibitor,IL17A;TNF,interleukin inhibitor,1.0,1,0.4264979958704479
AMLODIPINE BESYLATE||Y-29794 oxalate,AMLODIPINE BESYLATE,Y-29794 oxalate,ABCG2;ADRA2A;ADRA2C;CACNA1C;CACNA1D;CACNA1F;CACNA1S;CACNA2D1;KCNK2,calcium channel blocker,PREP,prolyl endopeptidase inhibitor,1.0,1,0.42647573150467244
10-DEBC||PENFLURIDOL,PENFLURIDOL,10-DEBC,ADRA1D;ADRA2B;ADRA2C;ADRB3;CACNA1G;DRD1;DRD2;DRD3;DRD4;DRD5;HRH1;HRH2;HTR1A;HTR2A;HTR2B;HTR2C;HTR5A;HTR6;OPRK1;OPRM1,T-type calcium channel blocker,PIM1,AKT inhibitor,1.0,1,0.42617981705429986
ML-298||fendiline,ML-298,fendiline,PLD2,phospholipase inhibitor,CASR;HTR2B;OPRM1,calcium channel blocker,1.0,1,0.42611514758139674
SR-33805 oxalate||fendiline,SR-33805 oxalate,fendiline,,calcium channel blocker,CASR;HTR2B;OPRM1,calcium channel blocker,1.0,1,0.42590453725186167
MK-2206 dihydrochloride||Propiverine Hydrochloride,Propiverine Hydrochloride,MK-2206 dihydrochloride,CACNA1C;CHRM1;CHRM2;CHRM3;CHRM4;OPRM1,acetylcholine receptor antagonist,AKT1;AKT2;AKT3,AKT inhibitor,1.0,1,0.42568320171263674
CGP-71683||RU-SKI-43,CGP-71683,RU-SKI-43,ADRA2A;NPY5R,neuropeptide receptor antagonist,HHAT,hedgehog pathway inhibitor,1.0,1,0.42439057520784956
Miransertib||Propiverine Hydrochloride,Propiverine Hydrochloride,Miransertib,CACNA1C;CHRM1;CHRM2;CHRM3;CHRM4;OPRM1,acetylcholine receptor antagonist,AKT1;AKT2;AKT3,AKT inhibitor,1.0,1,0.4241600749703842
PD173074||droloxifene,droloxifene,PD173074,,,FGFR1;FGFR2;FGFR3;FGFR4;FLT1;FLT4;KDR;PDGFRA;PDGFRB,FGFR inhibitor | VEGFR inhibitor,1.0,1,0.4235030142279905
AMLODIPINE BESYLATE||NVP-BSK805 2HCl,AMLODIPINE BESYLATE,NVP-BSK805 2HCl,ABCG2;ADRA2A;ADRA2C;CACNA1C;CACNA1D;CACNA1F;CACNA1S;CACNA2D1;KCNK2,calcium channel blocker,ABL1;JAK1;JAK2;JAK3;TYK2,JAK inhibitor,1.0,1,0.4230123362183243
"MNS (3,4-Methylenedioxy-Â¦Ã‚-nitrostyrene)||SB-268262",SB-268262,"MNS (3,4-Methylenedioxy-Â¦Ã‚-nitrostyrene)",CALCA;CALCRL,calcitonin antagonist,,,1.0,1,0.422987391529039
PROMETHAZINE HYDROCHLORIDE||UNC1999,PROMETHAZINE HYDROCHLORIDE,UNC1999,ADRA1A;ADRA1D;ADRA2A;ADRA2B;ADRA2C;CHRM1;CHRM2;CHRM3;CHRM4;CHRM5;DRD2;DRD3;HRH1;HRH2;HTR1A;HTR2A;HTR2B;HTR2C;KCNH2;OPRK1;SIGMAR1;SLC6A2,histamine receptor antagonist,EZH1;EZH2;HRH3;TMEM97,histone lysine methyltransferase inhibitor,1.0,1,0.422909867817915
10-DEBC||METITEPINE MESYLATE,METITEPINE MESYLATE,10-DEBC,HTR1A;HTR1B;HTR1D;HTR1E;HTR1F;HTR2A;HTR2B;HTR2C;HTR5A;HTR6;HTR7,anti-HCVE2 | serotonin receptor antagonist,PIM1,AKT inhibitor,1.0,1,0.42238632480801097
Lasofoxifene (Tartrate)||PD173074,Lasofoxifene (Tartrate),PD173074,ESR1;ESR2;HRH3;HTR2B;KCNH2;OPRK1;SLC6A3,selective estrogen receptor modulator (SERM),FGFR1;FGFR2;FGFR3;FGFR4;FLT1;FLT4;KDR;PDGFRA;PDGFRB,FGFR inhibitor | VEGFR inhibitor,1.0,1,0.42219424082799867
FLUOXETINE HYDROCHLORIDE||Y-29794 oxalate,FLUOXETINE HYDROCHLORIDE,Y-29794 oxalate,ACHE;ADRA2A;ADRA2B;ANO1;CHRM1;CHRM3;CHRM5;CYP2C19;CYP2D6;HTR2A;HTR2B;HTR2C;HTR6;KCNH2;SIGMAR1;SLC6A2;SLC6A4,selective serotonin reuptake inhibitor (SSRI),PREP,prolyl endopeptidase inhibitor,1.0,1,0.42195965930611135
Lasofoxifene (Tartrate)||NPS-2143 (SB262470),Lasofoxifene (Tartrate),NPS-2143 (SB262470),ESR1;ESR2;HRH3;HTR2B;KCNH2;OPRK1;SLC6A3,selective estrogen receptor modulator (SERM),ADRB2;CASR;KCNH2;PTH;SLC6A2;SLC6A3;SLC6A4,calcium receptor antagonist,0.8333333333333334,1,0.42170227062795956
AZELAIC ACID||MCOPPB,AZELAIC ACID,MCOPPB,AKR1D1;SRD5A2;TXNRD1;TXNRD2;TYR,tyrosinase inhibitor,OPRK1;OPRL1;OPRM1,nociceptin/orphanin FQ receptor agonist,1.0,1,0.42143560240373357
"Dimethylcurcumin, ASC-J9||pifithrin-mu",pifithrin-mu,"Dimethylcurcumin, ASC-J9",HSPA1A;TP53,HSP inhibitor,AR,androgen receptor enhancer,1.0,1,0.4206466686361095
EHop-016||PENFLURIDOL,PENFLURIDOL,EHop-016,ADRA1D;ADRA2B;ADRA2C;ADRB3;CACNA1G;DRD1;DRD2;DRD3;DRD4;DRD5;HRH1;HRH2;HTR1A;HTR2A;HTR2B;HTR2C;HTR5A;HTR6;OPRK1;OPRM1,T-type calcium channel blocker,RAC1;RAC3,Ras GTPase inhibitor,1.0,1,0.4203839767703761
Arg-Gly-Asp-Ser||ML-298,ML-298,Arg-Gly-Asp-Ser,PLD2,phospholipase inhibitor,ITGA2B;ITGB3,structural glycoprotein antagonist,1.0,1,0.42008026584005004
Pexidartinib||TA-01,TA-01,Pexidartinib,CSNK1D;CSNK1E;MAPK14,casein kinase inhibitor | MAP kinase inhibitor,AURKB;CHRM1;CHRM2;CSF1R;FLT3;HTR1A;KDR;KIT;PDGFRA;PDGFRB;PRKCQ,tyrosine kinase inhibitor,1.0,1,0.419777383508945
EHop-016||pifithrin-mu,pifithrin-mu,EHop-016,HSPA1A;TP53,HSP inhibitor,RAC1;RAC3,Ras GTPase inhibitor,1.0,1,0.41973790706051234
"MNS (3,4-Methylenedioxy-Â¦Ã‚-nitrostyrene)||Thiazovivin",Thiazovivin,"MNS (3,4-Methylenedioxy-Â¦Ã‚-nitrostyrene)",,rho associated kinase inhibitor,,,1.0,1,0.4194652701080377
U-18666A||gallium-triquinolin-8-olate,U-18666A,gallium-triquinolin-8-olate,EBP;SIGMAR1,oxidosqualene cyclase inhibitor,,,1.0,1,0.4193736429170152
7-methoxytacrine||UNC1999,UNC1999,7-methoxytacrine,EZH1;EZH2;HRH3;TMEM97,histone lysine methyltransferase inhibitor,ACHE,acetylcholinesterase inhibitor,1.0,1,0.4189837503116826
NNC-05-2090||THIORIDAZINE HYDROCHLORIDE,THIORIDAZINE HYDROCHLORIDE,NNC-05-2090,ADRA1A;ADRA1D;ADRA2A;ADRA2B;ADRA2C;CHRM1;CHRM2;CHRM3;CHRM4;CHRM5;CHRNA7;DRD1;DRD2;DRD3;DRD4;DRD5;HRH1;HRH2;HTR1A;HTR2A;HTR2B;HTR2C;HTR6;HTR7;KCNH2;MALT1;OPRK1;SIGMAR1;SLC6A4,dopamine receptor antagonist,SLC6A11;SLC6A12;SLC6A13,GABA uptake inhibitor | GAT inhibitor,1.0,1,0.4187611712004397
AY-9944||UNC0638,AY-9944,UNC0638,,hedgehog pathway modulator,EHMT1;EHMT2;KDM1A,histone lysine methyltransferase inhibitor,1.0,1,0.4183210909166232
Bazedoxifene HCl||UNC1999,Bazedoxifene HCl,UNC1999,ADRA2C;ESR1;ESR2;HTR2B;PTGS2;SLC6A2,selective estrogen receptor modulator (SERM),EZH1;EZH2;HRH3;TMEM97,histone lysine methyltransferase inhibitor,1.0,1,0.41768615031547923
AS-1892802||IT1t,IT1t,AS-1892802,CXCR4,CC chemokine receptor antagonist,ROCK1;ROCK2,rho associated kinase inhibitor,1.0,1,0.4174370724173895
UNC1999||VE-822,VE-822,UNC1999,ABL1;ATM;ATR;DYRK2;FLT3;FLT4;GSK3A;GSK3B;JAK2;KIT;MAP3K9;MERTK;MTOR;PIK3CG;SERPINA2;SYK,ATR kinase inhibitor,EZH1;EZH2;HRH3;TMEM97,histone lysine methyltransferase inhibitor,1.0,1,0.41715710567649505
Cathepsin Inhibitor 1||SAR405,SAR405,Cathepsin Inhibitor 1,PIK3C3,PI3K inhibitor,CTSB;CTSL;CTSS;CTSV,cathepsin inhibitor,1.0,1,0.4163624012855276
Golvatinib (E7050)||SULOCTIDIL,SULOCTIDIL,Golvatinib (E7050),ADRA2A;ADRA2C;CHRM3;CHRM4;DRD3;EGFR;FYN;HRH2;HTR1A;HTR2B;KCNH2;SIGMAR1;SLC6A4,adrenergic receptor antagonist,ABL1;ABL2;BCR;DDR1;DDR2;EPHA2;EPHA5;EPHA7;EPHB2;EPHB4;ERN2;FLT3;KDR;LCK;MAP3K20;MET;MST1R;NTRK1;PDGFRB;PTK2B;PTK6;RET;RIPK2;RIPK3;STK24;TESK1,VEGFR inhibitor,1.0,1,0.4158866821623945
GW-803430||THIORIDAZINE HYDROCHLORIDE,THIORIDAZINE HYDROCHLORIDE,GW-803430,ADRA1A;ADRA1D;ADRA2A;ADRA2B;ADRA2C;CHRM1;CHRM2;CHRM3;CHRM4;CHRM5;CHRNA7;DRD1;DRD2;DRD3;DRD4;DRD5;HRH1;HRH2;HTR1A;HTR2A;HTR2B;HTR2C;HTR6;HTR7;KCNH2;MALT1;OPRK1;SIGMAR1;SLC6A4,dopamine receptor antagonist,DRD3;HRH3;HTR2B;HTR2C;HTR5A;KCNH2;MCHR1;SIGMAR1;TMEM97,melanin inhibitor,0.8484848484848485,1,0.4158756423360635
CYCLOSPORINE||MCOPPB,CYCLOSPORINE,MCOPPB,ABCB11;CAMLG;CYP3A5;CYP3A7;FPR1;PPIA;PPID;PPIF;PPP3CA;PPP3R2;SLC10A1;SLCO1B1;SLCO1B3,calcineurin inhibitor,OPRK1;OPRL1;OPRM1,nociceptin/orphanin FQ receptor agonist,1.0,1,0.41554506528803126
Pexidartinib||Tenovin-6,Pexidartinib,Tenovin-6,AURKB;CHRM1;CHRM2;CSF1R;FLT3;HTR1A;KDR;KIT;PDGFRA;PDGFRB;PRKCQ,tyrosine kinase inhibitor,SIRT1;SIRT2;SIRT3,SIRT inhibitor,1.0,1,0.41549151817336705
DCC-2036 (Rebastinib)||SAR405,SAR405,DCC-2036 (Rebastinib),PIK3C3,PI3K inhibitor,ABL1;ABL2;BCR;CDK16;CDK17;CDK2;CSK;DDR1;DDR2;EIF2AK1;FES;FGR;FLT3;HCK;KDR;LCK;LIMK1;LRRK2;LYN;MAP3K20;MAP4K1;MAPK10;MAPK15;MAPK9;MET;MST1R;NTRK1;SRC;TEK;TESK2;TNK1;YES1,Bcr-Abl kinase inhibitor | TIE tyrosine kinase inhibitor | VEGFR inhibitor,1.0,1,0.41547195945005855
CHLORHEXIDINE DIHYDROCHLORIDE||RALOXIFENE HYDROCHLORIDE,CHLORHEXIDINE DIHYDROCHLORIDE,RALOXIFENE HYDROCHLORIDE,ADRA1A;GHSR;HTR2B;MC3R;MC4R;MLNR;SLC22A1;SLC22A2;SLC22A3;SLC47A1;SLC47A2;SLC6A2;SLC6A4,membrane integrity inhibitor,ACHE;ACVRL1;ADRA1D;ADRA2A;ADRA2C;AOX1;C5;DRD2;DRD3;EBP;ENG;ESR1;ESR2;HTR2A;HTR2B;HTR2C;HTR6;OPRK1;OPRM1;SIGMAR1;SLC6A2,estrogen receptor antagonist | selective estrogen receptor modulator (SERM),0.9375,1,0.4153108709483878
IKK-16||L-733060,L-733060,IKK-16,CYP2C19;CYP2C9;CYP2D6;TACR1,tachykinin antagonist,CHUK;IKBKB;PRKCZ,IKK inhibitor,1.0,1,0.41486985286053574
Bazedoxifene HCl||IT1t,IT1t,Bazedoxifene HCl,CXCR4,CC chemokine receptor antagonist,ADRA2C;ESR1;ESR2;HTR2B;PTGS2;SLC6A2,selective estrogen receptor modulator (SERM),1.0,1,0.4146426242843827
JHW-007||PENFLURIDOL,PENFLURIDOL,JHW-007,ADRA1D;ADRA2B;ADRA2C;ADRB3;CACNA1G;DRD1;DRD2;DRD3;DRD4;DRD5;HRH1;HRH2;HTR1A;HTR2A;HTR2B;HTR2C;HTR5A;HTR6;OPRK1;OPRM1,T-type calcium channel blocker,SLC6A3,dopamine reuptake inhibitor,1.0,1,0.41343328562913395
MCOPPB||Y-29794 oxalate,Y-29794 oxalate,MCOPPB,PREP,prolyl endopeptidase inhibitor,OPRK1;OPRL1;OPRM1,nociceptin/orphanin FQ receptor agonist,1.0,1,0.412543753417273
AMODIAQUINE DIHYDROCHLORIDE||Crizotinib (PF-02341066),AMODIAQUINE DIHYDROCHLORIDE,Crizotinib (PF-02341066),CYP2C8;HNMT;KCNH2,histamine receptor agonist,ABL1;ABL2;ACVR1;ACVR1B;ADRA1A;ALK;ANKK1;AURKA;AURKB;AXL;BLK;BMP2K;BMPR1B;CASK;CDK11A;CDK11B;CDK7;CSF1R;CYP2B6;CYP3A5;DCLK1;DCLK2;DDR1;DLK1;DSTYK;EGFR;EPHA1;EPHA2;EPHA3;EPHA4;EPHA5;EPHA6;EPHA7;EPHA8;EPHB1;EPHB4;FER;FES;FGR;FLT3;HTR2B;IGF1R;IKBKE;INSR;INSRR;IRAK1;IRAK3;JAK1;JAK2;JAK3;KIT;LCK;LIMK1;LIMK2;LTK;LYN;MAP3K12;MAP3K13;MAP3K19;MAP3K2;MAP3K3;MAP4K1;MAP4K2;MAP4K3;MAP4K5;MAPK7;MERTK;MET;MLKL;MST1R;MUSK;NEK9;NTRK1;NTRK2;NTRK3;NUAK2;PLK4;PRKD1;PRKD3;PTK2;PTK2B;RIPK2;ROS1;RPS6KB1;SBK3;SIK2;SLK;SRC;STK10;STK3;STK35;STK4;TAOK2;TAOK3;TBK1;TEK;TESK1;TGFBR1;TIE1;TNK1;TNK2;TNNI3K;TXK;TYK2;TYRO3;ULK1;YES1,ALK tyrosine kinase receptor inhibitor,1.0,1,0.412044278286713
PD-102807||R-96544,PD-102807,R-96544,ADRA2A;ADRA2C;CHRM2;CHRM3;CHRM4;HTR2B;SLC6A3,acetylcholine receptor antagonist,HTR2A,serotonin receptor antagonist,1.0,1,0.4119798346648676
JIB04 (NSC693627)||Ozanimod,Ozanimod,JIB04 (NSC693627),S1PR1;S1PR5,sphingosine 1-phosphate receptor agonist,KDM4A;KDM4B;KDM4C;KDM4D;KDM4E;KDM5A;KDM6B;TET1,histone lysine demethylase inhibitor,1.0,1,0.4117481822093101
